ID;Sex;AgeAtDecember31;TypeOfFigure;Periods;LifeExpectancy_1;LifeExpectancyInPerceivedGoodHealth_2;LEWithoutModerateSevereLimitations_3;LEWithoutSevereLimitations_4;LEWithoutLightModerateSevereLim_5;LEWithoutChronicMorbidity_6;LEWithoutChrMorbExclHypertension_7;LEWithoutPsychologicalComplaints_8;LifeExpectancyWithoutGALILimitations_9;LifeExpWithoutSevereGALILimitations_10
3983;Female;45 years;Percentage/average;2008;38.78;24.8;26.9;30.3;15.0;11.5;14.1;33.7;;
3984;Female;45 years;Percentage/average;2009;39.14;24.1;27.2;31.0;14.8;10.2;13.2;33.4;;
3985;Female;45 years;Percentage/average;2010;39.16;24.2;27.4;31.5;14.4;11.1;13.5;33.5;;
3986;Female;45 years;Percentage/average;2011;39.26;24.4;28.4;31.9;14.6;10.4;13.0;33.5;;
3987;Female;45 years;Percentage/average;2012;39.23;24.1;27.8;31.6;14.5;10.1;13.0;33.6;;
3988;Female;45 years;Percentage/average;2013;39.44;25.0;28.7;32.6;15.3;11.1;14.1;34.1;;
3989;Female;45 years;Percentage/average;2014;39.7;25.0;27.4;30.6;17.1;10.1;12.6;34.2;21.4;34.9
3990;Female;45 years;Percentage/average;2015;39.46;25.0;27.4;30.2;17.5;10.5;13.0;34.0;21.1;34.5
3991;Female;45 years;Percentage/average;2016;39.52;25.4;28.7;31.3;18.5;10.5;13.2;33.6;21.8;35.5
3992;Female;45 years;Percentage/average;2017;39.67;25.7;28.6;31.9;18.4;10.8;13.7;33.9;20.9;35.2
3993;Female;45 years;Percentage/average;2018;39.67;25.3;28.8;32.2;18.0;10.7;13.3;34.0;20.8;35.4
3994;Female;45 years;Percentage/average;2019;39.95;25.6;28.9;31.8;18.2;11.6;13.6;34.7;20.7;35.6
3995;Female;45 years;Percentage/average;2020;39.47;27.2;29.9;32.7;18.2;10.8;12.7;34.3;21.1;36.1
3996;Female;45 years;Percentage/average;2021;39.37;27.0;30.3;33.4;17.3;11.7;14.0;33.3;21.2;36.3
3997;Female;45 years;Percentage/average;2022;39.49;25.2;28.8;31.6;17.7;11.2;13.4;33.9;20.9;35.3
3998;Female;45 years;Percentage/average;2023;39.7;25.2;29.6;32.7;17.7;10.8;13.0;34.3;20.0;35.1
3999;Female;45 years;Standard errors;1981;;0.5;;;;0.5;;;;
4000;Female;45 years;Standard errors;1982;;0.5;;;;0.5;;;;
4001;Female;45 years;Standard errors;1983;;0.7;0.4;;;0.7;;;;
4002;Female;45 years;Standard errors;1984;;0.5;0.4;;;0.5;;;;
4003;Female;45 years;Standard errors;1985;;0.5;0.4;;;0.5;;;;
4004;Female;45 years;Standard errors;1986;;0.7;0.4;;;0.7;;;;
4005;Female;45 years;Standard errors;1987;;0.6;0.5;;;0.6;;;;
4006;Female;45 years;Standard errors;1988;;0.6;0.4;;;0.6;;;;
4007;Female;45 years;Standard errors;1989;;0.5;0.5;;;0.5;;;;
4008;Female;45 years;Standard errors;1990;;0.6;0.5;;;0.6;;;;
4009;Female;45 years;Standard errors;1991;;0.6;0.5;;;0.6;;;;
4010;Female;45 years;Standard errors;1992;;0.5;0.4;;;0.5;;;;
4011;Female;45 years;Standard errors;1993;;0.5;0.5;;;0.5;;;;
4012;Female;45 years;Standard errors;1994;;0.6;0.4;;;0.5;;;;
4013;Female;45 years;Standard errors;1995;;0.5;0.4;;;0.5;;;;
4014;Female;45 years;Standard errors;1996;;0.6;0.4;;;0.5;;;;
4015;Female;45 years;Standard errors;1997;;0.5;0.4;;;0.5;;;;
4016;Female;45 years;Standard errors;1998;;0.6;0.5;;;0.6;;;;
4017;Female;45 years;Standard errors;1999;;0.6;0.5;;;0.5;;;;
4018;Female;45 years;Standard errors;2000;;0.6;0.5;;;0.5;;;;
4019;Female;45 years;Standard errors;2001;;0.6;0.4;0.4;0.5;0.5;0.5;0.5;;
4020;Female;45 years;Standard errors;2002;;0.6;0.5;0.4;0.5;0.5;0.5;0.4;;
4021;Female;45 years;Standard errors;2003;;0.5;0.4;0.4;0.4;0.5;0.5;0.4;;
4022;Female;45 years;Standard errors;2004;;0.5;0.4;0.4;0.4;0.4;0.4;0.4;;
4023;Female;45 years;Standard errors;2005;;0.5;0.4;0.4;0.4;0.4;0.4;0.4;;
4024;Female;45 years;Standard errors;2006;;0.4;0.4;0.4;0.4;0.4;0.4;0.4;;
4025;Female;45 years;Standard errors;2007;;0.5;0.5;0.4;0.5;0.4;0.5;0.4;;
4026;Female;45 years;Standard errors;2008;;0.4;0.4;0.4;0.4;0.4;0.4;0.4;;
4027;Female;45 years;Standard errors;2009;;0.4;0.4;0.4;0.4;0.4;0.4;0.4;;
4028;Female;45 years;Standard errors;2010;;0.3;0.4;0.4;0.4;0.4;0.4;0.4;;
4029;Female;45 years;Standard errors;2011;;0.3;0.4;0.4;0.4;0.4;0.4;0.4;;
4030;Female;45 years;Standard errors;2012;;0.3;0.4;0.4;0.4;0.4;0.4;0.4;;
4031;Female;45 years;Standard errors;2013;;0.3;0.4;0.4;0.4;0.4;0.4;0.3;;
4032;Female;45 years;Standard errors;2014;;0.4;0.4;0.3;0.4;0.3;0.4;0.3;0.4;0.3
4033;Female;45 years;Standard errors;2015;;0.4;0.4;0.4;0.5;0.3;0.4;0.3;0.4;0.3
4034;Female;45 years;Standard errors;2016;;0.4;0.4;0.3;0.4;0.3;0.4;0.3;0.4;0.3
4035;Female;45 years;Standard errors;2017;;0.4;0.3;0.3;0.4;0.3;0.4;0.3;0.4;0.3
4036;Female;45 years;Standard errors;2018;;0.4;0.4;0.3;0.4;0.3;0.4;0.3;0.4;0.3
4037;Female;45 years;Standard errors;2019;;0.4;0.3;0.3;0.4;0.3;0.4;0.3;0.4;0.3
4038;Female;45 years;Standard errors;2020;;0.4;0.4;0.3;0.4;0.4;0.4;0.3;0.4;0.3
4039;Female;45 years;Standard errors;2021;;0.4;0.4;0.3;0.4;0.4;0.4;0.3;0.4;0.2
4040;Female;45 years;Standard errors;2022;;0.4;0.3;0.3;0.4;0.3;0.4;0.3;0.4;0.2
4041;Female;45 years;Standard errors;2023;;0.4;0.3;0.3;0.4;0.3;0.4;0.3;0.4;0.3
4042;Female;50 years;Percentage/average;1981;31.88;19.7;;;;15.5;;;;
4043;Female;50 years;Percentage/average;1982;32.02;20.5;;;;15.8;;;;
4044;Female;50 years;Percentage/average;1983;32.14;20.3;18.1;;;15.3;;;;
4045;Female;50 years;Percentage/average;1984;32.13;18.8;17.3;;;13.0;;;;
4046;Female;50 years;Percentage/average;1985;32.07;20.5;19.3;;;13.6;;;;
4047;Female;50 years;Percentage/average;1986;32.1;20.0;19.0;;;13.3;;;;
4048;Female;50 years;Percentage/average;1987;32.5;20.9;19.2;;;14.2;;;;
4049;Female;50 years;Percentage/average;1988;32.54;20.5;18.6;;;13.9;;;;
4050;Female;50 years;Percentage/average;1989;32.31;19.4;19.7;;;13.0;;;;
4051;Female;50 years;Percentage/average;1990;32.49;19.9;20.1;;;12.9;;;;
4052;Female;50 years;Percentage/average;1991;32.47;19.6;18.8;;;12.3;;;;
4053;Female;50 years;Percentage/average;1992;32.61;20.8;20.4;;;13.3;;;;
4054;Female;50 years;Percentage/average;1993;32.3;19.4;19.7;;;11.9;;;;
4055;Female;50 years;Percentage/average;1994;32.56;19.7;19.9;;;11.7;;;;
4056;Female;50 years;Percentage/average;1995;32.59;19.7;18.9;;;12.3;;;;
4057;Female;50 years;Percentage/average;1996;32.59;19.6;20.5;;;9.6;;;;
4058;Female;50 years;Percentage/average;1997;32.73;19.3;21.2;;;11.2;;;;
4059;Female;50 years;Percentage/average;1998;32.78;19.4;22.0;;;10.9;;;;
4060;Female;50 years;Percentage/average;1999;32.67;18.7;20.7;;;10.7;;;;
4061;Female;50 years;Percentage/average;2000;32.78;19.1;21.6;;;10.7;;;;
4062;Female;50 years;Percentage/average;2001;32.84;19.5;21.7;24.9;12.5;10.3;12.3;26.5;;
4063;Female;50 years;Percentage/average;2002;32.82;19.9;22.6;26.0;12.2;9.7;12.1;27.2;;
4064;Female;50 years;Percentage/average;2003;33.0;19.5;22.1;25.4;12.0;9.0;11.3;28.2;;
4065;Female;50 years;Percentage/average;2004;33.42;19.6;21.4;25.0;11.6;8.9;11.2;28.1;;
4066;Female;50 years;Percentage/average;2005;33.63;19.4;21.6;25.0;11.0;8.1;10.5;28.6;;
4067;Female;50 years;Percentage/average;2006;33.77;20.6;22.7;25.9;11.5;8.3;11.5;28.7;;
4068;Female;50 years;Percentage/average;2007;34.13;21.0;23.1;26.6;12.3;8.9;11.3;29.2;;
4069;Female;50 years;Percentage/average;2008;34.09;21.1;22.7;25.9;12.1;9.3;11.7;29.6;;
4070;Female;50 years;Percentage/average;2009;34.44;20.4;23.0;26.7;12.1;7.8;10.6;29.2;;
4071;Female;50 years;Percentage/average;2010;34.45;20.6;23.5;27.3;11.8;8.9;11.0;29.5;;
4072;Female;50 years;Percentage/average;2011;34.56;20.6;24.4;27.5;12.2;8.1;10.5;29.4;;
4073;Female;50 years;Percentage/average;2012;34.53;20.5;24.1;27.5;12.4;8.2;10.8;29.6;;
4074;Female;50 years;Percentage/average;2013;34.7;21.2;24.7;28.3;13.0;8.9;11.7;30.0;;
4075;Female;50 years;Percentage/average;2014;34.96;21.3;23.3;26.2;14.0;8.1;10.5;30.2;18.2;30.3
4076;Female;50 years;Percentage/average;2015;34.7;21.3;23.0;25.7;14.1;8.2;10.5;30.0;17.8;30.0
4077;Female;50 years;Percentage/average;2016;34.77;21.9;24.5;26.9;15.3;8.3;10.8;29.4;18.4;31.1
4078;Female;50 years;Percentage/average;2017;34.91;22.1;24.5;27.6;15.3;8.7;11.3;29.9;17.7;30.7
4079;Female;50 years;Percentage/average;2018;34.89;21.8;24.6;27.8;14.8;8.6;11.0;30.0;17.6;31.0
4080;Female;50 years;Percentage/average;2019;35.17;22.2;24.6;27.3;15.4;9.3;11.2;30.5;17.7;31.1
4081;Female;50 years;Percentage/average;2020;34.71;23.5;25.7;28.2;15.2;8.6;10.5;30.1;17.8;31.5
4082;Female;50 years;Percentage/average;2021;34.61;23.2;26.1;28.8;14.6;9.4;11.5;29.3;17.9;31.9
4083;Female;50 years;Percentage/average;2022;34.73;21.7;24.6;27.2;14.8;9.0;11.2;30.0;17.8;30.9
4084;Female;50 years;Percentage/average;2023;34.91;21.6;25.2;28.1;14.7;8.5;10.5;30.1;16.7;30.6
4085;Female;50 years;Standard errors;1981;;0.5;;;;0.5;;;;
4086;Female;50 years;Standard errors;1982;;0.5;;;;0.5;;;;
4087;Female;50 years;Standard errors;1983;;0.7;0.4;;;0.7;;;;
4088;Female;50 years;Standard errors;1984;;0.5;0.4;;;0.5;;;;
4089;Female;50 years;Standard errors;1985;;0.5;0.4;;;0.5;;;;
4090;Female;50 years;Standard errors;1986;;0.7;0.4;;;0.7;;;;
4091;Female;50 years;Standard errors;1987;;0.5;0.4;;;0.5;;;;
4092;Female;50 years;Standard errors;1988;;0.5;0.4;;;0.5;;;;
4093;Female;50 years;Standard errors;1989;;0.5;0.4;;;0.5;;;;
4094;Female;50 years;Standard errors;1990;;0.6;0.5;;;0.6;;;;
4095;Female;50 years;Standard errors;1991;;0.6;0.5;;;0.6;;;;
4096;Female;50 years;Standard errors;1992;;0.5;0.4;;;0.5;;;;
4097;Female;50 years;Standard errors;1993;;0.5;0.4;;;0.5;;;;
4098;Female;50 years;Standard errors;1994;;0.6;0.4;;;0.5;;;;
4099;Female;50 years;Standard errors;1995;;0.5;0.4;;;0.5;;;;
4100;Female;50 years;Standard errors;1996;;0.5;0.4;;;0.5;;;;
4101;Female;50 years;Standard errors;1997;;0.5;0.4;;;0.5;;;;
4102;Female;50 years;Standard errors;1998;;0.6;0.5;;;0.6;;;;
4103;Female;50 years;Standard errors;1999;;0.6;0.5;;;0.5;;;;
4104;Female;50 years;Standard errors;2000;;0.5;0.5;;;0.5;;;;
4105;Female;50 years;Standard errors;2001;;0.6;0.4;0.4;0.5;0.5;0.5;0.5;;
4106;Female;50 years;Standard errors;2002;;0.5;0.5;0.4;0.4;0.5;0.5;0.4;;
4107;Female;50 years;Standard errors;2003;;0.5;0.4;0.4;0.4;0.5;0.4;0.4;;
4108;Female;50 years;Standard errors;2004;;0.5;0.4;0.4;0.4;0.4;0.4;0.4;;
4109;Female;50 years;Standard errors;2005;;0.5;0.4;0.4;0.4;0.4;0.4;0.4;;
4110;Female;50 years;Standard errors;2006;;0.4;0.4;0.4;0.4;0.4;0.4;0.4;;
4111;Female;50 years;Standard errors;2007;;0.4;0.5;0.4;0.4;0.4;0.4;0.4;;
4112;Female;50 years;Standard errors;2008;;0.4;0.4;0.4;0.4;0.4;0.4;0.4;;
4113;Female;50 years;Standard errors;2009;;0.4;0.4;0.4;0.4;0.3;0.4;0.4;;
4114;Female;50 years;Standard errors;2010;;0.3;0.4;0.4;0.4;0.4;0.4;0.3;;
4115;Female;50 years;Standard errors;2011;;0.3;0.4;0.4;0.4;0.4;0.4;0.4;;
4116;Female;50 years;Standard errors;2012;;0.3;0.4;0.4;0.4;0.4;0.4;0.3;;
4117;Female;50 years;Standard errors;2013;;0.3;0.4;0.4;0.4;0.4;0.4;0.3;;
4118;Female;50 years;Standard errors;2014;;0.4;0.4;0.3;0.4;0.3;0.4;0.3;0.4;0.3
4119;Female;50 years;Standard errors;2015;;0.4;0.4;0.4;0.4;0.3;0.4;0.3;0.4;0.3
4120;Female;50 years;Standard errors;2016;;0.4;0.4;0.3;0.4;0.3;0.4;0.3;0.4;0.3
4121;Female;50 years;Standard errors;2017;;0.4;0.3;0.3;0.3;0.3;0.3;0.3;0.4;0.3
4122;Female;50 years;Standard errors;2018;;0.4;0.4;0.3;0.4;0.3;0.4;0.3;0.4;0.3
4123;Female;50 years;Standard errors;2019;;0.4;0.3;0.3;0.4;0.3;0.3;0.3;0.4;0.3
4124;Female;50 years;Standard errors;2020;;0.4;0.3;0.3;0.4;0.3;0.4;0.3;0.4;0.3
4125;Female;50 years;Standard errors;2021;;0.4;0.4;0.3;0.4;0.3;0.4;0.3;0.4;0.2
4126;Female;50 years;Standard errors;2022;;0.3;0.3;0.3;0.3;0.3;0.3;0.2;0.4;0.2
4127;Female;50 years;Standard errors;2023;;0.4;0.3;0.3;0.3;0.3;0.3;0.3;0.4;0.3
4128;Female;55 years;Percentage/average;1981;27.41;16.5;;;;13.2;;;;
4129;Female;55 years;Percentage/average;1982;27.51;17.2;;;;13.4;;;;
4130;Female;55 years;Percentage/average;1983;27.65;16.9;14.5;;;12.8;;;;
4131;Female;55 years;Percentage/average;1984;27.61;15.8;13.7;;;10.7;;;;
4132;Female;55 years;Percentage/average;1985;27.58;17.2;15.8;;;11.3;;;;
4133;Female;55 years;Percentage/average;1986;27.59;16.8;15.5;;;11.1;;;;
4134;Female;55 years;Percentage/average;1987;27.98;17.8;15.6;;;11.8;;;;
4135;Female;55 years;Percentage/average;1988;27.98;17.0;14.9;;;11.6;;;;
4136;Female;55 years;Percentage/average;1989;27.81;16.0;16.0;;;10.6;;;;
4137;Female;55 years;Percentage/average;1990;27.94;16.4;16.3;;;10.8;;;;
4138;Female;55 years;Percentage/average;1991;27.94;16.2;15.4;;;9.9;;;;
4139;Female;55 years;Percentage/average;1992;28.08;17.3;16.6;;;11.2;;;;
4140;Female;55 years;Percentage/average;1993;27.76;16.2;16.2;;;10.1;;;;
4141;Female;55 years;Percentage/average;1994;28.04;16.4;16.4;;;9.7;;;;
4142;Female;55 years;Percentage/average;1995;28.05;16.4;15.2;;;9.8;;;;
4143;Female;55 years;Percentage/average;1996;28.07;16.4;17.0;;;7.8;;;;
4144;Female;55 years;Percentage/average;1997;28.21;16.0;17.4;;;9.1;;;;
4145;Female;55 years;Percentage/average;1998;28.27;16.1;18.2;;;8.9;;;;
4146;Female;55 years;Percentage/average;1999;28.16;15.4;16.9;;;8.8;;;;
4147;Female;55 years;Percentage/average;2000;28.25;15.8;17.8;;;8.8;;;;
4148;Female;55 years;Percentage/average;2001;28.33;16.1;17.7;20.8;9.8;8.3;10.0;22.5;;
4149;Female;55 years;Percentage/average;2002;28.32;16.6;18.7;21.8;9.7;7.8;9.9;23.3;;
4150;Female;55 years;Percentage/average;2003;28.5;16.4;18.3;21.3;9.7;7.3;9.3;24.2;;
4151;Female;55 years;Percentage/average;2004;28.91;16.3;17.8;21.0;9.4;7.1;9.1;24.2;;
4152;Female;55 years;Percentage/average;2005;29.1;16.2;18.1;21.1;8.8;6.6;8.7;24.8;;
4153;Female;55 years;Percentage/average;2006;29.24;17.3;18.9;21.8;9.0;6.3;9.3;24.7;;
4154;Female;55 years;Percentage/average;2007;29.57;17.6;19.3;22.3;10.0;6.8;8.9;25.3;;
4155;Female;55 years;Percentage/average;2008;29.55;17.8;19.0;21.9;9.5;7.2;9.5;25.6;;
4156;Female;55 years;Percentage/average;2009;29.89;17.2;19.4;22.7;9.7;5.7;8.3;25.4;;
4157;Female;55 years;Percentage/average;2010;29.89;17.2;19.8;23.4;9.4;6.8;8.7;25.5;;
4158;Female;55 years;Percentage/average;2011;30.0;17.5;20.7;23.5;10.0;6.4;8.5;25.7;;
4159;Female;55 years;Percentage/average;2012;29.94;17.1;20.3;23.5;10.3;6.3;8.6;25.9;;
4160;Female;55 years;Percentage/average;2013;30.1;17.8;21.1;24.2;10.7;6.9;9.4;25.9;;
4161;Female;55 years;Percentage/average;2014;30.35;17.9;19.4;22.0;11.3;6.3;8.4;26.3;15.2;26.0
4162;Female;55 years;Percentage/average;2015;30.08;18.0;19.1;21.6;11.5;6.4;8.5;26.1;14.9;25.8
4163;Female;55 years;Percentage/average;2016;30.17;18.6;20.5;22.7;12.4;6.5;8.6;25.5;15.5;26.8
4164;Female;55 years;Percentage/average;2017;30.26;18.8;20.4;23.3;12.2;6.7;8.9;25.9;14.7;26.6
4165;Female;55 years;Percentage/average;2018;30.24;18.3;20.7;23.6;12.0;6.5;8.7;26.0;14.6;26.8
4166;Female;55 years;Percentage/average;2019;30.51;18.8;20.5;22.9;12.5;7.3;8.9;26.3;14.7;26.8
4167;Female;55 years;Percentage/average;2020;30.03;19.7;21.6;23.8;12.4;6.7;8.2;25.9;14.5;27.0
4168;Female;55 years;Percentage/average;2021;29.96;20.0;22.2;24.6;12.2;7.2;9.2;25.6;15.1;27.6
4169;Female;55 years;Percentage/average;2022;30.06;18.3;20.6;22.9;12.1;7.2;9.1;26.0;14.7;26.5
4170;Female;55 years;Percentage/average;2023;30.24;18.4;21.3;23.9;11.9;6.7;8.5;26.3;14.0;26.4
4171;Female;55 years;Standard errors;1981;;0.5;;;;0.5;;;;
4172;Female;55 years;Standard errors;1982;;0.5;;;;0.5;;;;
4173;Female;55 years;Standard errors;1983;;0.7;0.4;;;0.7;;;;
4174;Female;55 years;Standard errors;1984;;0.5;0.4;;;0.5;;;;
4175;Female;55 years;Standard errors;1985;;0.5;0.4;;;0.5;;;;
4176;Female;55 years;Standard errors;1986;;0.7;0.4;;;0.7;;;;
4177;Female;55 years;Standard errors;1987;;0.5;0.4;;;0.5;;;;
4178;Female;55 years;Standard errors;1988;;0.5;0.4;;;0.5;;;;
4179;Female;55 years;Standard errors;1989;;0.5;0.4;;;0.5;;;;
4180;Female;55 years;Standard errors;1990;;0.6;0.4;;;0.6;;;;
4181;Female;55 years;Standard errors;1991;;0.6;0.5;;;0.5;;;;
4182;Female;55 years;Standard errors;1992;;0.5;0.4;;;0.5;;;;
4183;Female;55 years;Standard errors;1993;;0.5;0.4;;;0.5;;;;
4184;Female;55 years;Standard errors;1994;;0.5;0.4;;;0.5;;;;
4185;Female;55 years;Standard errors;1995;;0.5;0.4;;;0.5;;;;
4186;Female;55 years;Standard errors;1996;;0.5;0.4;;;0.5;;;;
4187;Female;55 years;Standard errors;1997;;0.5;0.4;;;0.5;;;;
4188;Female;55 years;Standard errors;1998;;0.6;0.5;;;0.6;;;;
4189;Female;55 years;Standard errors;1999;;0.6;0.5;;;0.5;;;;
4190;Female;55 years;Standard errors;2000;;0.5;0.5;;;0.5;;;;
4191;Female;55 years;Standard errors;2001;;0.6;0.4;0.4;0.4;0.5;0.5;0.4;;
4192;Female;55 years;Standard errors;2002;;0.5;0.4;0.4;0.4;0.5;0.5;0.4;;
4193;Female;55 years;Standard errors;2003;;0.5;0.4;0.4;0.4;0.4;0.4;0.4;;
4194;Female;55 years;Standard errors;2004;;0.5;0.4;0.4;0.4;0.4;0.4;0.4;;
4195;Female;55 years;Standard errors;2005;;0.5;0.4;0.4;0.4;0.4;0.4;0.3;;
4196;Female;55 years;Standard errors;2006;;0.4;0.4;0.4;0.4;0.4;0.4;0.4;;
4197;Female;55 years;Standard errors;2007;;0.4;0.5;0.4;0.4;0.4;0.4;0.4;;
4198;Female;55 years;Standard errors;2008;;0.4;0.4;0.4;0.4;0.4;0.4;0.4;;
4199;Female;55 years;Standard errors;2009;;0.4;0.4;0.4;0.4;0.3;0.4;0.4;;
4200;Female;55 years;Standard errors;2010;;0.3;0.4;0.4;0.3;0.3;0.4;0.3;;
4201;Female;55 years;Standard errors;2011;;0.3;0.4;0.4;0.4;0.3;0.4;0.4;;
4202;Female;55 years;Standard errors;2012;;0.3;0.4;0.4;0.3;0.3;0.4;0.3;;
4203;Female;55 years;Standard errors;2013;;0.3;0.4;0.4;0.4;0.3;0.4;0.3;;
4204;Female;55 years;Standard errors;2014;;0.4;0.4;0.3;0.3;0.3;0.3;0.3;0.4;0.3
4205;Female;55 years;Standard errors;2015;;0.4;0.4;0.4;0.4;0.3;0.3;0.3;0.4;0.3
4206;Female;55 years;Standard errors;2016;;0.4;0.3;0.3;0.3;0.3;0.3;0.3;0.4;0.2
4207;Female;55 years;Standard errors;2017;;0.4;0.3;0.3;0.3;0.3;0.3;0.3;0.4;0.3
4208;Female;55 years;Standard errors;2018;;0.4;0.3;0.3;0.3;0.3;0.3;0.3;0.4;0.3
4209;Female;55 years;Standard errors;2019;;0.4;0.3;0.3;0.3;0.3;0.3;0.3;0.4;0.3
4210;Female;55 years;Standard errors;2020;;0.4;0.3;0.3;0.3;0.3;0.3;0.3;0.4;0.3
4211;Female;55 years;Standard errors;2021;;0.4;0.4;0.3;0.3;0.3;0.3;0.3;0.4;0.2
4212;Female;55 years;Standard errors;2022;;0.3;0.3;0.3;0.3;0.3;0.3;0.2;0.3;0.2
4213;Female;55 years;Standard errors;2023;;0.3;0.3;0.3;0.3;0.3;0.3;0.2;0.3;0.2
4214;Female;60 years;Percentage/average;1981;23.04;13.4;;;;10.1;;;;
4215;Female;60 years;Percentage/average;1982;23.15;14.2;;;;10.6;;;;
4216;Female;60 years;Percentage/average;1983;23.31;14.0;11.1;;;9.8;;;;
4217;Female;60 years;Percentage/average;1984;23.26;12.9;10.1;;;8.2;;;;
4218;Female;60 years;Percentage/average;1985;23.25;14.4;12.5;;;8.9;;;;
4219;Female;60 years;Percentage/average;1986;23.27;13.9;12.0;;;8.7;;;;
4220;Female;60 years;Percentage/average;1987;23.62;14.9;12.4;;;9.3;;;;
4221;Female;60 years;Percentage/average;1988;23.62;13.8;11.2;;;8.9;;;;
4222;Female;60 years;Percentage/average;1989;23.44;13.0;12.5;;;8.0;;;;
4223;Female;60 years;Percentage/average;1990;23.56;13.4;12.7;;;8.5;;;;
4224;Female;60 years;Percentage/average;1991;23.57;13.2;12.0;;;7.6;;;;
4225;Female;60 years;Percentage/average;1992;23.68;14.1;13.1;;;8.8;;;;
4226;Female;60 years;Percentage/average;1993;23.39;12.8;12.6;;;7.6;;;;
4227;Female;60 years;Percentage/average;1994;23.65;13.3;12.8;;;7.3;;;;
4228;Female;60 years;Percentage/average;1995;23.66;13.1;11.8;;;7.6;;;;
4229;Female;60 years;Percentage/average;1996;23.68;13.1;13.3;;;5.5;;;;
4230;Female;60 years;Percentage/average;1997;23.82;12.9;13.7;;;7.2;;;;
4231;Female;60 years;Percentage/average;1998;23.86;13.0;14.8;;;6.8;;;;
4232;Female;60 years;Percentage/average;1999;23.76;12.3;13.4;;;6.9;;;;
4233;Female;60 years;Percentage/average;2000;23.86;12.9;14.1;;;6.7;;;;
4234;Female;60 years;Percentage/average;2001;23.95;13.2;14.3;17.0;7.8;6.5;8.0;18.8;;
4235;Female;60 years;Percentage/average;2002;23.93;13.6;15.1;17.9;7.3;5.7;7.5;19.6;;
4236;Female;60 years;Percentage/average;2003;24.11;13.5;14.9;17.6;7.4;5.7;7.4;20.5;;
4237;Female;60 years;Percentage/average;2004;24.5;13.4;14.1;16.9;6.9;5.4;7.1;20.3;;
4238;Female;60 years;Percentage/average;2005;24.69;13.2;14.4;17.2;6.5;5.1;6.9;21.0;;
4239;Female;60 years;Percentage/average;2006;24.83;14.2;15.3;17.9;6.7;4.4;7.0;20.9;;
4240;Female;60 years;Percentage/average;2007;25.16;14.4;15.5;18.1;7.6;4.9;6.6;21.3;;
4241;Female;60 years;Percentage/average;2008;25.13;14.4;15.1;17.7;7.0;5.5;7.2;21.6;;
4242;Female;60 years;Percentage/average;2009;25.46;14.0;15.6;18.7;7.2;4.1;6.3;21.5;;
4243;Female;60 years;Percentage/average;2010;25.47;14.2;16.5;19.6;7.5;5.4;6.8;21.6;;
4244;Female;60 years;Percentage/average;2011;25.58;14.4;16.9;19.6;7.6;4.9;6.6;21.8;;
4245;Female;60 years;Percentage/average;2012;25.51;14.0;16.6;19.4;7.8;4.7;6.6;22.0;;
4246;Female;60 years;Percentage/average;2013;25.65;14.4;17.4;20.3;8.3;5.2;7.2;22.1;;
4247;Female;60 years;Percentage/average;2014;25.89;14.9;15.6;17.9;8.5;4.9;6.7;22.5;12.5;21.9
4248;Female;60 years;Percentage/average;2015;25.63;14.9;15.4;17.6;8.6;4.5;6.3;22.3;12.0;21.7
4249;Female;60 years;Percentage/average;2016;25.72;15.5;16.8;18.9;9.8;4.8;6.6;21.9;12.6;22.8
4250;Female;60 years;Percentage/average;2017;25.78;15.7;16.5;19.1;9.2;4.9;7.0;22.1;12.1;22.5
4251;Female;60 years;Percentage/average;2018;25.76;15.2;16.9;19.5;9.3;5.2;7.1;22.1;11.8;22.6
4252;Female;60 years;Percentage/average;2019;25.99;15.4;16.7;18.8;9.7;5.5;6.8;22.6;12.0;22.7
4253;Female;60 years;Percentage/average;2020;25.49;16.6;17.8;19.7;9.9;5.1;6.6;22.2;12.0;22.8
4254;Female;60 years;Percentage/average;2021;25.45;16.3;18.2;20.4;9.5;5.3;7.1;21.7;12.3;23.4
4255;Female;60 years;Percentage/average;2022;25.56;15.2;16.9;18.8;9.6;5.5;7.1;22.4;12.0;22.5
4256;Female;60 years;Percentage/average;2023;25.69;15.4;17.4;19.8;9.2;5.1;6.6;22.6;11.3;22.3
4257;Female;60 years;Standard errors;1981;;0.5;;;;0.5;;;;
4258;Female;60 years;Standard errors;1982;;0.5;;;;0.5;;;;
4259;Female;60 years;Standard errors;1983;;0.7;0.4;;;0.6;;;;
4260;Female;60 years;Standard errors;1984;;0.5;0.4;;;0.5;;;;
4261;Female;60 years;Standard errors;1985;;0.5;0.4;;;0.5;;;;
4262;Female;60 years;Standard errors;1986;;0.7;0.4;;;0.7;;;;
4263;Female;60 years;Standard errors;1987;;0.5;0.4;;;0.5;;;;
4264;Female;60 years;Standard errors;1988;;0.5;0.4;;;0.5;;;;
4265;Female;60 years;Standard errors;1989;;0.5;0.4;;;0.5;;;;
4266;Female;60 years;Standard errors;1990;;0.6;0.4;;;0.6;;;;
4267;Female;60 years;Standard errors;1991;;0.6;0.4;;;0.5;;;;
4268;Female;60 years;Standard errors;1992;;0.5;0.4;;;0.5;;;;
4269;Female;60 years;Standard errors;1993;;0.5;0.4;;;0.5;;;;
4270;Female;60 years;Standard errors;1994;;0.5;0.4;;;0.5;;;;
