ID;CountryOfUltimateControllingInstance;CharacteristicsOfCompanies;EducationLevelOfEducation;CharacteristicsOfJobsAndEmployees;Periods;EmployeeJobs_1;LabourVolume_2
8418;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Sex: Female;2014;55.0;31.0
8419;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Sex: Female;2015;56.0;30.0
8420;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Sex: Female;2016;56.0;31.0
8421;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Age: 15 to 34 years;2010;;
8422;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Age: 15 to 34 years;2011;;
8423;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Age: 15 to 34 years;2012;;
8424;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Age: 15 to 34 years;2013;34.0;19.0
8425;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Age: 15 to 34 years;2014;33.0;19.0
8426;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Age: 15 to 34 years;2015;34.0;19.0
8427;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Age: 15 to 34 years;2016;34.0;19.0
8428;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Age: 35 to 54 years;2010;;
8429;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Age: 35 to 54 years;2011;;
8430;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Age: 35 to 54 years;2012;;
8431;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Age: 35 to 54 years;2013;45.0;29.0
8432;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Age: 35 to 54 years;2014;45.0;29.0
8433;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Age: 35 to 54 years;2015;45.0;28.0
8434;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Age: 35 to 54 years;2016;45.0;29.0
8435;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Age: 55 years or older;2010;;
8436;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Age: 55 years or older;2011;;
8437;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Age: 55 years or older;2012;;
8438;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Age: 55 years or older;2013;18.0;10.0
8439;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Age: 55 years or older;2014;18.0;11.0
8440;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Age: 55 years or older;2015;20.0;12.0
8441;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Age: 55 years or older;2016;20.0;12.0
8442;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Wage: low (among lowest 30 percent);2010;;
8443;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Wage: low (among lowest 30 percent);2011;;
8444;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Wage: low (among lowest 30 percent);2012;;
8445;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Wage: low (among lowest 30 percent);2013;11.0;6.0
8446;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Wage: low (among lowest 30 percent);2014;10.0;5.0
8447;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Wage: low (among lowest 30 percent);2015;9.0;4.0
8448;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Wage: low (among lowest 30 percent);2016;8.0;4.0
8449;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Wage: middle;2010;;
8450;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Wage: middle;2011;;
8451;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Wage: middle;2012;;
8452;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Wage: middle;2013;54.0;33.0
8453;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Wage: middle;2014;56.0;33.0
8454;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Wage: middle;2015;59.0;34.0
8455;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Wage: middle;2016;59.0;34.0
8456;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Wage: high (among highest 20 percent);2010;;
8457;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Wage: high (among highest 20 percent);2011;;
8458;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Wage: high (among highest 20 percent);2012;;
8459;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Wage: high (among highest 20 percent);2013;36.0;26.0
8460;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Wage: high (among highest 20 percent);2014;37.0;27.0
8461;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Wage: high (among highest 20 percent);2015;36.0;26.0
8462;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Wage: high (among highest 20 percent);2016;38.0;28.0
8463;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Nationality: Dutch;2010;;
8464;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Nationality: Dutch;2011;;
8465;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Nationality: Dutch;2012;;
8466;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Nationality: Dutch;2013;90.0;54.0
8467;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Nationality: Dutch;2014;89.0;54.0
8468;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Nationality: Dutch;2015;91.0;54.0
8469;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Nationality: Dutch;2016;90.0;54.0
8470;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Nationality: Belgian;2010;;
8471;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Nationality: Belgian;2011;;
8472;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Nationality: Belgian;2012;;
8473;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Nationality: Belgian;2013;;
8474;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Nationality: Belgian;2014;;
8475;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Nationality: Belgian;2015;;
8476;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Nationality: Belgian;2016;;
8477;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Nationality: British;2010;;
8478;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Nationality: British;2011;;
8479;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Nationality: British;2012;;
8480;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Nationality: British;2013;;
8481;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Nationality: British;2014;;
8482;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Nationality: British;2015;;
8483;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Nationality: British;2016;;
8484;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Nationality: German;2010;;
8485;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Nationality: German;2011;;
8486;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Nationality: German;2012;;
8487;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Nationality: German;2013;;
8488;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Nationality: German;2014;;
8489;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Nationality: German;2015;;
8490;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Nationality: German;2016;;
8491;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Nationality: Polish;2010;;
8492;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Nationality: Polish;2011;;
8493;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Nationality: Polish;2012;;
8494;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Nationality: Polish;2013;;
8495;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Nationality: Polish;2014;;
8496;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Nationality: Polish;2015;;
8497;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Nationality: Polish;2016;;
8498;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Nationality: Indian;2010;;
8499;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Nationality: Indian;2011;;
8500;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Nationality: Indian;2012;;
8501;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Nationality: Indian;2013;;
8502;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Nationality: Indian;2014;;
8503;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Nationality: Indian;2015;;
8504;Total domestic and foreign;R-U Culture, recreation, other services;300 Higher education;Nationality: Indian;2016;;
