ID;Functions;Providers;Periods;HealthAndSocialCareExpenditure_1
6899;HCR12: Long-term soc. care cash benefits;HP81: Households prov. home health care;2022;2387
6900;HCR12: Long-term soc. care cash benefits;HP82: Secondary providers of health care;1998;0
6901;HCR12: Long-term soc. care cash benefits;HP82: Secondary providers of health care;1999;0
6902;HCR12: Long-term soc. care cash benefits;HP82: Secondary providers of health care;2000;0
6903;HCR12: Long-term soc. care cash benefits;HP82: Secondary providers of health care;2001;0
6904;HCR12: Long-term soc. care cash benefits;HP82: Secondary providers of health care;2002;0
6905;HCR12: Long-term soc. care cash benefits;HP82: Secondary providers of health care;2003;0
6906;HCR12: Long-term soc. care cash benefits;HP82: Secondary providers of health care;2004;0
6907;HCR12: Long-term soc. care cash benefits;HP82: Secondary providers of health care;2005;0
6908;HCR12: Long-term soc. care cash benefits;HP82: Secondary providers of health care;2006;0
6909;HCR12: Long-term soc. care cash benefits;HP82: Secondary providers of health care;2007;0
6910;HCR12: Long-term soc. care cash benefits;HP82: Secondary providers of health care;2008;0
6911;HCR12: Long-term soc. care cash benefits;HP82: Secondary providers of health care;2009;0
6912;HCR12: Long-term soc. care cash benefits;HP82: Secondary providers of health care;2010;0
6913;HCR12: Long-term soc. care cash benefits;HP82: Secondary providers of health care;2011;0
6914;HCR12: Long-term soc. care cash benefits;HP82: Secondary providers of health care;2012;0
6915;HCR12: Long-term soc. care cash benefits;HP82: Secondary providers of health care;2013;0
6916;HCR12: Long-term soc. care cash benefits;HP82: Secondary providers of health care;2014;0
6917;HCR12: Long-term soc. care cash benefits;HP82: Secondary providers of health care;2015;22
6918;HCR12: Long-term soc. care cash benefits;HP82: Secondary providers of health care;2016;10
6919;HCR12: Long-term soc. care cash benefits;HP82: Secondary providers of health care;2017;12
6920;HCR12: Long-term soc. care cash benefits;HP82: Secondary providers of health care;2018;11
6921;HCR12: Long-term soc. care cash benefits;HP82: Secondary providers of health care;2019;11
6922;HCR12: Long-term soc. care cash benefits;HP82: Secondary providers of health care;2020;10
6923;HCR12: Long-term soc. care cash benefits;HP82: Secondary providers of health care;2021;9
6924;HCR12: Long-term soc. care cash benefits;HP82: Secondary providers of health care;2022;7
6925;HCR12: Long-term soc. care cash benefits;HP9: Rest of the world;1998;0
6926;HCR12: Long-term soc. care cash benefits;HP9: Rest of the world;1999;0
6927;HCR12: Long-term soc. care cash benefits;HP9: Rest of the world;2000;0
6928;HCR12: Long-term soc. care cash benefits;HP9: Rest of the world;2001;0
6929;HCR12: Long-term soc. care cash benefits;HP9: Rest of the world;2002;0
6930;HCR12: Long-term soc. care cash benefits;HP9: Rest of the world;2003;0
6931;HCR12: Long-term soc. care cash benefits;HP9: Rest of the world;2004;0
6932;HCR12: Long-term soc. care cash benefits;HP9: Rest of the world;2005;0
6933;HCR12: Long-term soc. care cash benefits;HP9: Rest of the world;2006;0
6934;HCR12: Long-term soc. care cash benefits;HP9: Rest of the world;2007;0
6935;HCR12: Long-term soc. care cash benefits;HP9: Rest of the world;2008;0
6936;HCR12: Long-term soc. care cash benefits;HP9: Rest of the world;2009;0
6937;HCR12: Long-term soc. care cash benefits;HP9: Rest of the world;2010;0
6938;HCR12: Long-term soc. care cash benefits;HP9: Rest of the world;2011;0
6939;HCR12: Long-term soc. care cash benefits;HP9: Rest of the world;2012;0
6940;HCR12: Long-term soc. care cash benefits;HP9: Rest of the world;2013;0
6941;HCR12: Long-term soc. care cash benefits;HP9: Rest of the world;2014;0
6942;HCR12: Long-term soc. care cash benefits;HP9: Rest of the world;2015;0
6943;HCR12: Long-term soc. care cash benefits;HP9: Rest of the world;2016;0
6944;HCR12: Long-term soc. care cash benefits;HP9: Rest of the world;2017;0
6945;HCR12: Long-term soc. care cash benefits;HP9: Rest of the world;2018;0
6946;HCR12: Long-term soc. care cash benefits;HP9: Rest of the world;2019;0
6947;HCR12: Long-term soc. care cash benefits;HP9: Rest of the world;2020;0
6948;HCR12: Long-term soc. care cash benefits;HP9: Rest of the world;2021;0
6949;HCR12: Long-term soc. care cash benefits;HP9: Rest of the world;2022;0
6950;HCR12: Long-term soc. care cash benefits;Welfare, children's day care;1998;0
6951;HCR12: Long-term soc. care cash benefits;Welfare, children's day care;1999;0
6952;HCR12: Long-term soc. care cash benefits;Welfare, children's day care;2000;0
6953;HCR12: Long-term soc. care cash benefits;Welfare, children's day care;2001;0
6954;HCR12: Long-term soc. care cash benefits;Welfare, children's day care;2002;0
6955;HCR12: Long-term soc. care cash benefits;Welfare, children's day care;2003;0
6956;HCR12: Long-term soc. care cash benefits;Welfare, children's day care;2004;0
6957;HCR12: Long-term soc. care cash benefits;Welfare, children's day care;2005;0
6958;HCR12: Long-term soc. care cash benefits;Welfare, children's day care;2006;0
6959;HCR12: Long-term soc. care cash benefits;Welfare, children's day care;2007;0
6960;HCR12: Long-term soc. care cash benefits;Welfare, children's day care;2008;0
6961;HCR12: Long-term soc. care cash benefits;Welfare, children's day care;2009;0
6962;HCR12: Long-term soc. care cash benefits;Welfare, children's day care;2010;0
6963;HCR12: Long-term soc. care cash benefits;Welfare, children's day care;2011;0
6964;HCR12: Long-term soc. care cash benefits;Welfare, children's day care;2012;0
6965;HCR12: Long-term soc. care cash benefits;Welfare, children's day care;2013;0
6966;HCR12: Long-term soc. care cash benefits;Welfare, children's day care;2014;0
6967;HCR12: Long-term soc. care cash benefits;Welfare, children's day care;2015;0
6968;HCR12: Long-term soc. care cash benefits;Welfare, children's day care;2016;0
6969;HCR12: Long-term soc. care cash benefits;Welfare, children's day care;2017;0
6970;HCR12: Long-term soc. care cash benefits;Welfare, children's day care;2018;0
6971;HCR12: Long-term soc. care cash benefits;Welfare, children's day care;2019;0
6972;HCR12: Long-term soc. care cash benefits;Welfare, children's day care;2020;0
6973;HCR12: Long-term soc. care cash benefits;Welfare, children's day care;2021;0
6974;HCR12: Long-term soc. care cash benefits;Welfare, children's day care;2022;0
6975;HCR2: Health promotion multi-sector;Total health and social care providers;1998;109
6976;HCR2: Health promotion multi-sector;Total health and social care providers;1999;129
6977;HCR2: Health promotion multi-sector;Total health and social care providers;2000;142
6978;HCR2: Health promotion multi-sector;Total health and social care providers;2001;185
6979;HCR2: Health promotion multi-sector;Total health and social care providers;2002;244
6980;HCR2: Health promotion multi-sector;Total health and social care providers;2003;207
6981;HCR2: Health promotion multi-sector;Total health and social care providers;2004;192
6982;HCR2: Health promotion multi-sector;Total health and social care providers;2005;194
6983;HCR2: Health promotion multi-sector;Total health and social care providers;2006;169
6984;HCR2: Health promotion multi-sector;Total health and social care providers;2007;170
6985;HCR2: Health promotion multi-sector;Total health and social care providers;2008;177
6986;HCR2: Health promotion multi-sector;Total health and social care providers;2009;186
6987;HCR2: Health promotion multi-sector;Total health and social care providers;2010;285
6988;HCR2: Health promotion multi-sector;Total health and social care providers;2011;268
6989;HCR2: Health promotion multi-sector;Total health and social care providers;2012;256
6990;HCR2: Health promotion multi-sector;Total health and social care providers;2013;261
6991;HCR2: Health promotion multi-sector;Total health and social care providers;2014;307
6992;HCR2: Health promotion multi-sector;Total health and social care providers;2015;314
6993;HCR2: Health promotion multi-sector;Total health and social care providers;2016;333
6994;HCR2: Health promotion multi-sector;Total health and social care providers;2017;340
6995;HCR2: Health promotion multi-sector;Total health and social care providers;2018;352
6996;HCR2: Health promotion multi-sector;Total health and social care providers;2019;342
6997;HCR2: Health promotion multi-sector;Total health and social care providers;2020;370
6998;HCR2: Health promotion multi-sector;Total health and social care providers;2021;448
6999;HCR2: Health promotion multi-sector;Total health and social care providers;2022;469
7000;HCR2: Health promotion multi-sector;Total health care providers;1998;109
7001;HCR2: Health promotion multi-sector;Total health care providers;1999;129
7002;HCR2: Health promotion multi-sector;Total health care providers;2000;142
7003;HCR2: Health promotion multi-sector;Total health care providers;2001;185
7004;HCR2: Health promotion multi-sector;Total health care providers;2002;244
7005;HCR2: Health promotion multi-sector;Total health care providers;2003;207
7006;HCR2: Health promotion multi-sector;Total health care providers;2004;192
7007;HCR2: Health promotion multi-sector;Total health care providers;2005;194
7008;HCR2: Health promotion multi-sector;Total health care providers;2006;169
7009;HCR2: Health promotion multi-sector;Total health care providers;2007;170
7010;HCR2: Health promotion multi-sector;Total health care providers;2008;177
7011;HCR2: Health promotion multi-sector;Total health care providers;2009;186
7012;HCR2: Health promotion multi-sector;Total health care providers;2010;285
7013;HCR2: Health promotion multi-sector;Total health care providers;2011;268
7014;HCR2: Health promotion multi-sector;Total health care providers;2012;256
7015;HCR2: Health promotion multi-sector;Total health care providers;2013;261
7016;HCR2: Health promotion multi-sector;Total health care providers;2014;307
7017;HCR2: Health promotion multi-sector;Total health care providers;2015;314
7018;HCR2: Health promotion multi-sector;Total health care providers;2016;333
7019;HCR2: Health promotion multi-sector;Total health care providers;2017;340
7020;HCR2: Health promotion multi-sector;Total health care providers;2018;352
7021;HCR2: Health promotion multi-sector;Total health care providers;2019;342
7022;HCR2: Health promotion multi-sector;Total health care providers;2020;370
7023;HCR2: Health promotion multi-sector;Total health care providers;2021;448
7024;HCR2: Health promotion multi-sector;Total health care providers;2022;469
7025;HCR2: Health promotion multi-sector;HP1: Hospitals;1998;0
7026;HCR2: Health promotion multi-sector;HP1: Hospitals;1999;0
7027;HCR2: Health promotion multi-sector;HP1: Hospitals;2000;0
7028;HCR2: Health promotion multi-sector;HP1: Hospitals;2001;0
7029;HCR2: Health promotion multi-sector;HP1: Hospitals;2002;0
7030;HCR2: Health promotion multi-sector;HP1: Hospitals;2003;0
7031;HCR2: Health promotion multi-sector;HP1: Hospitals;2004;0
7032;HCR2: Health promotion multi-sector;HP1: Hospitals;2005;0
7033;HCR2: Health promotion multi-sector;HP1: Hospitals;2006;0
7034;HCR2: Health promotion multi-sector;HP1: Hospitals;2007;0
7035;HCR2: Health promotion multi-sector;HP1: Hospitals;2008;0
7036;HCR2: Health promotion multi-sector;HP1: Hospitals;2009;0
7037;HCR2: Health promotion multi-sector;HP1: Hospitals;2010;0
7038;HCR2: Health promotion multi-sector;HP1: Hospitals;2011;0
7039;HCR2: Health promotion multi-sector;HP1: Hospitals;2012;0
7040;HCR2: Health promotion multi-sector;HP1: Hospitals;2013;0
7041;HCR2: Health promotion multi-sector;HP1: Hospitals;2014;0
7042;HCR2: Health promotion multi-sector;HP1: Hospitals;2015;0
7043;HCR2: Health promotion multi-sector;HP1: Hospitals;2016;0
7044;HCR2: Health promotion multi-sector;HP1: Hospitals;2017;0
7045;HCR2: Health promotion multi-sector;HP1: Hospitals;2018;0
7046;HCR2: Health promotion multi-sector;HP1: Hospitals;2019;0
7047;HCR2: Health promotion multi-sector;HP1: Hospitals;2020;0
7048;HCR2: Health promotion multi-sector;HP1: Hospitals;2021;0
7049;HCR2: Health promotion multi-sector;HP1: Hospitals;2022;0
7050;HCR2: Health promotion multi-sector;HP11: General and university hospitals;1998;0
7051;HCR2: Health promotion multi-sector;HP11: General and university hospitals;1999;0
7052;HCR2: Health promotion multi-sector;HP11: General and university hospitals;2000;0
7053;HCR2: Health promotion multi-sector;HP11: General and university hospitals;2001;0
7054;HCR2: Health promotion multi-sector;HP11: General and university hospitals;2002;0
7055;HCR2: Health promotion multi-sector;HP11: General and university hospitals;2003;0
7056;HCR2: Health promotion multi-sector;HP11: General and university hospitals;2004;0
7057;HCR2: Health promotion multi-sector;HP11: General and university hospitals;2005;0
7058;HCR2: Health promotion multi-sector;HP11: General and university hospitals;2006;0
7059;HCR2: Health promotion multi-sector;HP11: General and university hospitals;2007;0
7060;HCR2: Health promotion multi-sector;HP11: General and university hospitals;2008;0
7061;HCR2: Health promotion multi-sector;HP11: General and university hospitals;2009;0
7062;HCR2: Health promotion multi-sector;HP11: General and university hospitals;2010;0
7063;HCR2: Health promotion multi-sector;HP11: General and university hospitals;2011;0
7064;HCR2: Health promotion multi-sector;HP11: General and university hospitals;2012;0
7065;HCR2: Health promotion multi-sector;HP11: General and university hospitals;2013;0
7066;HCR2: Health promotion multi-sector;HP11: General and university hospitals;2014;0
7067;HCR2: Health promotion multi-sector;HP11: General and university hospitals;2015;0
7068;HCR2: Health promotion multi-sector;HP11: General and university hospitals;2016;0
7069;HCR2: Health promotion multi-sector;HP11: General and university hospitals;2017;0
7070;HCR2: Health promotion multi-sector;HP11: General and university hospitals;2018;0
7071;HCR2: Health promotion multi-sector;HP11: General and university hospitals;2019;0
7072;HCR2: Health promotion multi-sector;HP11: General and university hospitals;2020;0
7073;HCR2: Health promotion multi-sector;HP11: General and university hospitals;2021;0
7074;HCR2: Health promotion multi-sector;HP11: General and university hospitals;2022;0
7075;HCR2: Health promotion multi-sector;HP12: Mental health institutions,;1998;0
7076;HCR2: Health promotion multi-sector;HP12: Mental health institutions,;1999;0
7077;HCR2: Health promotion multi-sector;HP12: Mental health institutions,;2000;0
7078;HCR2: Health promotion multi-sector;HP12: Mental health institutions,;2001;0
7079;HCR2: Health promotion multi-sector;HP12: Mental health institutions,;2002;0
7080;HCR2: Health promotion multi-sector;HP12: Mental health institutions,;2003;0
7081;HCR2: Health promotion multi-sector;HP12: Mental health institutions,;2004;0
7082;HCR2: Health promotion multi-sector;HP12: Mental health institutions,;2005;0
7083;HCR2: Health promotion multi-sector;HP12: Mental health institutions,;2006;0
7084;HCR2: Health promotion multi-sector;HP12: Mental health institutions,;2007;0
7085;HCR2: Health promotion multi-sector;HP12: Mental health institutions,;2008;0
