ID;ModesOfTravel;Population;Margins;RegionCharacteristics;Periods;TransportPerformance_1
5376;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Limburg (PV);2018;0.3
5377;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Limburg (PV);2019;0.3
5378;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Limburg (PV);2020;0.4
5379;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Limburg (PV);2021;0.5
5380;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Limburg (PV);2022;0.5
5381;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Limburg (PV);2023;0.4
5382;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Extremely urbanised;2018;1.3
5383;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Extremely urbanised;2019;1.3
5384;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Extremely urbanised;2020;1.6
5385;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Extremely urbanised;2021;2.1
5386;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Extremely urbanised;2022;1.9
5387;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Extremely urbanised;2023;1.8
5388;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Strongly urbanised;2018;1.4
5389;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Strongly urbanised;2019;1.4
5390;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Strongly urbanised;2020;1.9
5391;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Strongly urbanised;2021;2.2
5392;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Strongly urbanised;2022;2.0
5393;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Strongly urbanised;2023;1.9
5394;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Moderately urbanised;2018;0.7
5395;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Moderately urbanised;2019;0.6
5396;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Moderately urbanised;2020;0.9
5397;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Moderately urbanised;2021;1.0
5398;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Moderately urbanised;2022;1.0
5399;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Moderately urbanised;2023;1.0
5400;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Hardly urbanised;2018;0.8
5401;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Hardly urbanised;2019;0.9
5402;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Hardly urbanised;2020;1.2
5403;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Hardly urbanised;2021;1.5
5404;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Hardly urbanised;2022;1.3
5405;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Hardly urbanised;2023;1.2
5406;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Not urbanised;2018;0.3
5407;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Not urbanised;2019;0.3
5408;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Not urbanised;2020;0.4
5409;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Not urbanised;2021;0.5
5410;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Not urbanised;2022;0.4
5411;Walking;Population: 12 years or older;Lower bound 95% confidence interval;Not urbanised;2023;0.4
5412;Walking;Population: 12 years or older;Upper bound 95% confidence interval;The Netherlands;2018;4.9
5413;Walking;Population: 12 years or older;Upper bound 95% confidence interval;The Netherlands;2019;4.9
5414;Walking;Population: 12 years or older;Upper bound 95% confidence interval;The Netherlands;2020;6.4
5415;Walking;Population: 12 years or older;Upper bound 95% confidence interval;The Netherlands;2021;7.8
5416;Walking;Population: 12 years or older;Upper bound 95% confidence interval;The Netherlands;2022;7.0
5417;Walking;Population: 12 years or older;Upper bound 95% confidence interval;The Netherlands;2023;6.7
5418;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Noord-Nederland (LD);2018;0.4
5419;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Noord-Nederland (LD);2019;0.5
5420;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Noord-Nederland (LD);2020;0.6
5421;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Noord-Nederland (LD);2021;0.7
5422;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Noord-Nederland (LD);2022;0.7
5423;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Noord-Nederland (LD);2023;0.7
5424;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Oost-Nederland (LD);2018;1.0
5425;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Oost-Nederland (LD);2019;1.0
5426;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Oost-Nederland (LD);2020;1.3
5427;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Oost-Nederland (LD);2021;1.6
5428;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Oost-Nederland (LD);2022;1.4
5429;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Oost-Nederland (LD);2023;1.4
5430;Walking;Population: 12 years or older;Upper bound 95% confidence interval;West-Nederland (LD);2018;2.5
5431;Walking;Population: 12 years or older;Upper bound 95% confidence interval;West-Nederland (LD);2019;2.5
5432;Walking;Population: 12 years or older;Upper bound 95% confidence interval;West-Nederland (LD);2020;3.1
5433;Walking;Population: 12 years or older;Upper bound 95% confidence interval;West-Nederland (LD);2021;3.8
5434;Walking;Population: 12 years or older;Upper bound 95% confidence interval;West-Nederland (LD);2022;3.4
5435;Walking;Population: 12 years or older;Upper bound 95% confidence interval;West-Nederland (LD);2023;3.3
5436;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Zuid-Nederland (LD);2018;1.1
5437;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Zuid-Nederland (LD);2019;1.1
5438;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Zuid-Nederland (LD);2020;1.5
5439;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Zuid-Nederland (LD);2021;1.8
5440;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Zuid-Nederland (LD);2022;1.5
5441;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Zuid-Nederland (LD);2023;1.5
5442;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Groningen (PV);2018;0.2
5443;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Groningen (PV);2019;0.2
5444;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Groningen (PV);2020;0.2
5445;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Groningen (PV);2021;0.3
5446;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Groningen (PV);2022;0.2
5447;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Groningen (PV);2023;0.3
5448;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Fryslân (PV);2018;0.2
5449;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Fryslân (PV);2019;0.2
5450;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Fryslân (PV);2020;0.3
5451;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Fryslân (PV);2021;0.3
5452;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Fryslân (PV);2022;0.3
5453;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Fryslân (PV);2023;0.3
5454;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Drenthe (PV);2018;0.1
5455;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Drenthe (PV);2019;0.2
5456;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Drenthe (PV);2020;0.2
5457;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Drenthe (PV);2021;0.2
5458;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Drenthe (PV);2022;0.2
5459;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Drenthe (PV);2023;0.2
5460;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Overijssel (PV);2018;0.3
5461;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Overijssel (PV);2019;0.3
5462;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Overijssel (PV);2020;0.4
5463;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Overijssel (PV);2021;0.5
5464;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Overijssel (PV);2022;0.5
5465;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Overijssel (PV);2023;0.4
5466;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Flevoland (PV);2018;0.1
5467;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Flevoland (PV);2019;0.1
5468;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Flevoland (PV);2020;0.1
5469;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Flevoland (PV);2021;0.2
5470;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Flevoland (PV);2022;0.2
5471;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Flevoland (PV);2023;0.2
5472;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Gelderland (PV);2018;0.6
5473;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Gelderland (PV);2019;0.6
5474;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Gelderland (PV);2020;0.8
5475;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Gelderland (PV);2021;1.0
5476;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Gelderland (PV);2022;0.8
5477;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Gelderland (PV);2023;0.8
5478;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Utrecht (PV);2018;0.4
5479;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Utrecht (PV);2019;0.4
5480;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Utrecht (PV);2020;0.5
5481;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Utrecht (PV);2021;0.6
5482;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Utrecht (PV);2022;0.6
5483;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Utrecht (PV);2023;0.5
5484;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Noord-Holland (PV);2018;0.9
5485;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Noord-Holland (PV);2019;0.9
5486;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Noord-Holland (PV);2020;1.1
5487;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Noord-Holland (PV);2021;1.4
5488;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Noord-Holland (PV);2022;1.3
5489;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Noord-Holland (PV);2023;1.2
5490;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Zuid-Holland (PV);2018;1.2
5491;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Zuid-Holland (PV);2019;1.1
5492;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Zuid-Holland (PV);2020;1.4
5493;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Zuid-Holland (PV);2021;1.7
5494;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Zuid-Holland (PV);2022;1.5
5495;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Zuid-Holland (PV);2023;1.5
5496;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Zeeland (PV);2018;0.1
5497;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Zeeland (PV);2019;0.1
5498;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Zeeland (PV);2020;0.2
5499;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Zeeland (PV);2021;0.2
5500;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Zeeland (PV);2022;0.2
5501;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Zeeland (PV);2023;0.2
5502;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Noord-Brabant (PV);2018;0.7
5503;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Noord-Brabant (PV);2019;0.7
5504;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Noord-Brabant (PV);2020;1.0
5505;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Noord-Brabant (PV);2021;1.2
5506;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Noord-Brabant (PV);2022;1.0
5507;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Noord-Brabant (PV);2023;1.0
5508;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Limburg (PV);2018;0.4
5509;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Limburg (PV);2019;0.4
5510;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Limburg (PV);2020;0.5
5511;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Limburg (PV);2021;0.6
5512;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Limburg (PV);2022;0.5
5513;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Limburg (PV);2023;0.5
5514;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Extremely urbanised;2018;1.5
5515;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Extremely urbanised;2019;1.5
5516;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Extremely urbanised;2020;1.7
5517;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Extremely urbanised;2021;2.3
5518;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Extremely urbanised;2022;2.0
5519;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Extremely urbanised;2023;2.0
5520;Walking;Population: 12 years or older;Upper bound 95% confidence interval;Strongly urbanised;2018;1.6
