ID;EmployeeResidentNonResident;EmployeeCharacteristics;SectorBranchesSIC2008;JobCharacteristics;CountriesOfOrigin;Periods;JobsForeignBornEmployees_1
9630;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2018 1st quarter;2.5
9631;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2018 2nd quarter;2.5
9632;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2018 3rd quarter;2.6
9633;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2018 4th quarter;2.6
9634;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2018;2.5
9635;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2019 1st quarter;2.7
9636;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2019 2nd quarter;2.8
9637;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2019 3rd quarter;2.8
9638;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2019 4th quarter;2.9
9639;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2019;2.8
9640;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2020 1st quarter;2.9
9641;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2020 2nd quarter;2.9
9642;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2020 3rd quarter;2.9
9643;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2020 4th quarter;2.9
9644;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2020;2.9
9645;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2021 1st quarter;2.8
9646;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2021 2nd quarter;2.8
9647;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2021 3rd quarter;2.9
9648;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2021 4th quarter;2.9
9649;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2021;2.9
9650;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2022 1st quarter;2.9
9651;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2022 2nd quarter;3.0
9652;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2022 3rd quarter;3.0
9653;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2022 4th quarter;3.1
9654;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2022;3.0
9655;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2023 1st quarter;3.2
9656;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2023 2nd quarter;3.2
9657;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2023 3rd quarter;3.2
9658;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2023 4th quarter;3.2
9659;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;United Kingdom;2023;3.2
9660;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2010 1st quarter;14.7
9661;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2010 2nd quarter;14.9
9662;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2010 3rd quarter;15.0
9663;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2010 4th quarter;15.1
9664;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2010;14.9
9665;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2011 1st quarter;15.6
9666;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2011 2nd quarter;15.6
9667;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2011 3rd quarter;15.8
9668;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2011 4th quarter;15.8
9669;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2011;15.7
9670;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2012 1st quarter;16.7
9671;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2012 2nd quarter;17.0
9672;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2012 3rd quarter;17.2
9673;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2012 4th quarter;16.7
9674;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2012;16.9
9675;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2013 1st quarter;18.4
9676;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2013 2nd quarter;18.4
9677;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2013 3rd quarter;18.0
9678;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2013 4th quarter;18.0
9679;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2013;18.2
9680;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2014 1st quarter;18.6
9681;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2014 2nd quarter;18.8
9682;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2014 3rd quarter;18.5
9683;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2014 4th quarter;18.7
9684;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2014;18.7
9685;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2015 1st quarter;20.7
9686;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2015 2nd quarter;21.1
9687;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2015 3rd quarter;20.3
9688;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2015 4th quarter;20.8
9689;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2015;20.7
9690;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2016 1st quarter;21.6
9691;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2016 2nd quarter;22.1
9692;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2016 3rd quarter;22.0
9693;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2016 4th quarter;22.6
9694;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2016;22.1
9695;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2017 1st quarter;23.4
9696;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2017 2nd quarter;24.4
9697;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2017 3rd quarter;24.8
9698;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2017 4th quarter;25.4
9699;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2017;24.5
9700;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2018 1st quarter;26.6
9701;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2018 2nd quarter;27.6
9702;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2018 3rd quarter;28.0
9703;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2018 4th quarter;29.0
9704;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2018;27.8
9705;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2019 1st quarter;30.8
9706;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2019 2nd quarter;31.9
9707;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2019 3rd quarter;32.6
9708;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2019 4th quarter;33.6
9709;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2019;32.2
9710;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2020 1st quarter;35.7
9711;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2020 2nd quarter;36.7
9712;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2020 3rd quarter;37.5
9713;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2020 4th quarter;37.4
9714;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2020;36.8
9715;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2021 1st quarter;36.8
9716;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2021 2nd quarter;38.7
9717;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2021 3rd quarter;39.8
9718;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2021 4th quarter;40.9
9719;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2021;39.1
9720;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2022 1st quarter;43.5
9721;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2022 2nd quarter;46.6
9722;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2022 3rd quarter;48.2
9723;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2022 4th quarter;50.0
9724;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2022;47.1
9725;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2023 1st quarter;57.0
9726;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2023 2nd quarter;60.6
9727;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2023 3rd quarter;61.7
9728;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2023 4th quarter;63.9
9729;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Outside Europe;2023;60.8
9730;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Dutch Caribbean;2010 1st quarter;1.6
9731;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Dutch Caribbean;2010 2nd quarter;1.6
9732;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Dutch Caribbean;2010 3rd quarter;1.6
9733;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Dutch Caribbean;2010 4th quarter;1.6
9734;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Dutch Caribbean;2010;1.6
9735;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Dutch Caribbean;2011 1st quarter;1.7
9736;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Dutch Caribbean;2011 2nd quarter;1.7
9737;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Dutch Caribbean;2011 3rd quarter;1.7
9738;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Dutch Caribbean;2011 4th quarter;1.7
9739;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Dutch Caribbean;2011;1.7
9740;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Dutch Caribbean;2012 1st quarter;1.8
9741;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Dutch Caribbean;2012 2nd quarter;1.8
9742;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Dutch Caribbean;2012 3rd quarter;1.8
9743;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Dutch Caribbean;2012 4th quarter;1.7
9744;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Dutch Caribbean;2012;1.8
9745;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Dutch Caribbean;2013 1st quarter;1.9
9746;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Dutch Caribbean;2013 2nd quarter;1.9
9747;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Dutch Caribbean;2013 3rd quarter;1.8
9748;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Dutch Caribbean;2013 4th quarter;1.8
9749;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Dutch Caribbean;2013;1.9
9750;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Dutch Caribbean;2014 1st quarter;1.9
9751;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Dutch Caribbean;2014 2nd quarter;1.9
9752;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Dutch Caribbean;2014 3rd quarter;1.9
9753;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Dutch Caribbean;2014 4th quarter;1.9
9754;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Dutch Caribbean;2014;1.9
9755;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Dutch Caribbean;2015 1st quarter;2.1
9756;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Dutch Caribbean;2015 2nd quarter;2.1
9757;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 25 to 29 euro;Dutch Caribbean;2015 3rd quarter;2.0
