ID;Sex;Age;MaritalStatus;CountryOfOrigin;CountryOfBirth;ParentsCountryOfBirth;Periods;Population_1
8993;Total males and females;Total;Total;United Kingdom;Person born abroad;Two parents born in the Netherlands;2024;4500.0
8994;Total males and females;Total;Total;United Kingdom;Person born abroad;One parent born in NL, one born abroad;2022;7001.0
8995;Total males and females;Total;Total;United Kingdom;Person born abroad;One parent born in NL, one born abroad;2023;7074.0
8996;Total males and females;Total;Total;United Kingdom;Person born abroad;One parent born in NL, one born abroad;2024;7163.0
8997;Total males and females;Total;Total;United Kingdom;Person born abroad;Two parents born abroad;2022;49428.0
8998;Total males and females;Total;Total;United Kingdom;Person born abroad;Two parents born abroad;2023;49365.0
8999;Total males and females;Total;Total;United Kingdom;Person born abroad;Two parents born abroad;2024;49636.0
9000;Total males and females;Total;Total;United Arab Emirates;Total;Total;2022;3742.0
9001;Total males and females;Total;Total;United Arab Emirates;Total;Total;2023;4303.0
9002;Total males and females;Total;Total;United Arab Emirates;Total;Total;2024;4907.0
9003;Total males and females;Total;Total;United Arab Emirates;Total;Two parents born in the Netherlands;2022;457.0
9004;Total males and females;Total;Total;United Arab Emirates;Total;Two parents born in the Netherlands;2023;462.0
9005;Total males and females;Total;Total;United Arab Emirates;Total;Two parents born in the Netherlands;2024;471.0
9006;Total males and females;Total;Total;United Arab Emirates;Total;One parent born in NL, one born abroad;2022;575.0
9007;Total males and females;Total;Total;United Arab Emirates;Total;One parent born in NL, one born abroad;2023;622.0
9008;Total males and females;Total;Total;United Arab Emirates;Total;One parent born in NL, one born abroad;2024;646.0
9009;Total males and females;Total;Total;United Arab Emirates;Total;Two parents born abroad;2022;2710.0
9010;Total males and females;Total;Total;United Arab Emirates;Total;Two parents born abroad;2023;3219.0
9011;Total males and females;Total;Total;United Arab Emirates;Total;Two parents born abroad;2024;3790.0
9012;Total males and females;Total;Total;United Arab Emirates;Person born in the Netherlands;Total;2022;451.0
9013;Total males and females;Total;Total;United Arab Emirates;Person born in the Netherlands;Total;2023;502.0
9014;Total males and females;Total;Total;United Arab Emirates;Person born in the Netherlands;Total;2024;535.0
9015;Total males and females;Total;Total;United Arab Emirates;Person born in the Netherlands;Two parents born in the Netherlands;2022;
9016;Total males and females;Total;Total;United Arab Emirates;Person born in the Netherlands;Two parents born in the Netherlands;2023;
9017;Total males and females;Total;Total;United Arab Emirates;Person born in the Netherlands;Two parents born in the Netherlands;2024;
9018;Total males and females;Total;Total;United Arab Emirates;Person born in the Netherlands;One parent born in NL, one born abroad;2022;235.0
9019;Total males and females;Total;Total;United Arab Emirates;Person born in the Netherlands;One parent born in NL, one born abroad;2023;263.0
9020;Total males and females;Total;Total;United Arab Emirates;Person born in the Netherlands;One parent born in NL, one born abroad;2024;272.0
9021;Total males and females;Total;Total;United Arab Emirates;Person born in the Netherlands;Two parents born abroad;2022;216.0
9022;Total males and females;Total;Total;United Arab Emirates;Person born in the Netherlands;Two parents born abroad;2023;239.0
9023;Total males and females;Total;Total;United Arab Emirates;Person born in the Netherlands;Two parents born abroad;2024;263.0
9024;Total males and females;Total;Total;United Arab Emirates;Person born abroad;Total;2022;3291.0
9025;Total males and females;Total;Total;United Arab Emirates;Person born abroad;Total;2023;3801.0
9026;Total males and females;Total;Total;United Arab Emirates;Person born abroad;Total;2024;4372.0
9027;Total males and females;Total;Total;United Arab Emirates;Person born abroad;Two parents born in the Netherlands;2022;457.0
9028;Total males and females;Total;Total;United Arab Emirates;Person born abroad;Two parents born in the Netherlands;2023;462.0
9029;Total males and females;Total;Total;United Arab Emirates;Person born abroad;Two parents born in the Netherlands;2024;471.0
9030;Total males and females;Total;Total;United Arab Emirates;Person born abroad;One parent born in NL, one born abroad;2022;340.0
9031;Total males and females;Total;Total;United Arab Emirates;Person born abroad;One parent born in NL, one born abroad;2023;359.0
9032;Total males and females;Total;Total;United Arab Emirates;Person born abroad;One parent born in NL, one born abroad;2024;374.0
9033;Total males and females;Total;Total;United Arab Emirates;Person born abroad;Two parents born abroad;2022;2494.0
9034;Total males and females;Total;Total;United Arab Emirates;Person born abroad;Two parents born abroad;2023;2980.0
9035;Total males and females;Total;Total;United Arab Emirates;Person born abroad;Two parents born abroad;2024;3527.0
9036;Total males and females;Total;Total;United States of America;Total;Total;2022;55039.0
9037;Total males and females;Total;Total;United States of America;Total;Total;2023;57943.0
9038;Total males and females;Total;Total;United States of America;Total;Total;2024;60633.0
9039;Total males and females;Total;Total;United States of America;Total;Two parents born in the Netherlands;2022;5793.0
9040;Total males and females;Total;Total;United States of America;Total;Two parents born in the Netherlands;2023;5874.0
9041;Total males and females;Total;Total;United States of America;Total;Two parents born in the Netherlands;2024;5928.0
9042;Total males and females;Total;Total;United States of America;Total;One parent born in NL, one born abroad;2022;19392.0
9043;Total males and females;Total;Total;United States of America;Total;One parent born in NL, one born abroad;2023;19827.0
9044;Total males and females;Total;Total;United States of America;Total;One parent born in NL, one born abroad;2024;20274.0
9045;Total males and females;Total;Total;United States of America;Total;Two parents born abroad;2022;29854.0
9046;Total males and females;Total;Total;United States of America;Total;Two parents born abroad;2023;32242.0
9047;Total males and females;Total;Total;United States of America;Total;Two parents born abroad;2024;34431.0
9048;Total males and females;Total;Total;United States of America;Person born in the Netherlands;Total;2022;16850.0
9049;Total males and females;Total;Total;United States of America;Person born in the Netherlands;Total;2023;17332.0
9050;Total males and females;Total;Total;United States of America;Person born in the Netherlands;Total;2024;17822.0
9051;Total males and females;Total;Total;United States of America;Person born in the Netherlands;Two parents born in the Netherlands;2022;
9052;Total males and females;Total;Total;United States of America;Person born in the Netherlands;Two parents born in the Netherlands;2023;
9053;Total males and females;Total;Total;United States of America;Person born in the Netherlands;Two parents born in the Netherlands;2024;
9054;Total males and females;Total;Total;United States of America;Person born in the Netherlands;One parent born in NL, one born abroad;2022;14915.0
9055;Total males and females;Total;Total;United States of America;Person born in the Netherlands;One parent born in NL, one born abroad;2023;15265.0
9056;Total males and females;Total;Total;United States of America;Person born in the Netherlands;One parent born in NL, one born abroad;2024;15600.0
9057;Total males and females;Total;Total;United States of America;Person born in the Netherlands;Two parents born abroad;2022;1935.0
9058;Total males and females;Total;Total;United States of America;Person born in the Netherlands;Two parents born abroad;2023;2067.0
9059;Total males and females;Total;Total;United States of America;Person born in the Netherlands;Two parents born abroad;2024;2222.0
9060;Total males and females;Total;Total;United States of America;Person born abroad;Total;2022;38189.0
9061;Total males and females;Total;Total;United States of America;Person born abroad;Total;2023;40611.0
9062;Total males and females;Total;Total;United States of America;Person born abroad;Total;2024;42811.0
9063;Total males and females;Total;Total;United States of America;Person born abroad;Two parents born in the Netherlands;2022;5793.0
9064;Total males and females;Total;Total;United States of America;Person born abroad;Two parents born in the Netherlands;2023;5874.0
9065;Total males and females;Total;Total;United States of America;Person born abroad;Two parents born in the Netherlands;2024;5928.0
9066;Total males and females;Total;Total;United States of America;Person born abroad;One parent born in NL, one born abroad;2022;4477.0
9067;Total males and females;Total;Total;United States of America;Person born abroad;One parent born in NL, one born abroad;2023;4562.0
9068;Total males and females;Total;Total;United States of America;Person born abroad;One parent born in NL, one born abroad;2024;4674.0
9069;Total males and females;Total;Total;United States of America;Person born abroad;Two parents born abroad;2022;27919.0
9070;Total males and females;Total;Total;United States of America;Person born abroad;Two parents born abroad;2023;30175.0
9071;Total males and females;Total;Total;United States of America;Person born abroad;Two parents born abroad;2024;32209.0
9072;Total males and females;Total;Total;Remote Islands of the United States;Total;Total;2022;1.0
9073;Total males and females;Total;Total;Remote Islands of the United States;Total;Total;2023;1.0
9074;Total males and females;Total;Total;Remote Islands of the United States;Total;Total;2024;2.0
9075;Total males and females;Total;Total;Remote Islands of the United States;Total;Two parents born in the Netherlands;2022;0.0
9076;Total males and females;Total;Total;Remote Islands of the United States;Total;Two parents born in the Netherlands;2023;0.0
9077;Total males and females;Total;Total;Remote Islands of the United States;Total;Two parents born in the Netherlands;2024;0.0
9078;Total males and females;Total;Total;Remote Islands of the United States;Total;One parent born in NL, one born abroad;2022;1.0
9079;Total males and females;Total;Total;Remote Islands of the United States;Total;One parent born in NL, one born abroad;2023;1.0
9080;Total males and females;Total;Total;Remote Islands of the United States;Total;One parent born in NL, one born abroad;2024;1.0
9081;Total males and females;Total;Total;Remote Islands of the United States;Total;Two parents born abroad;2022;0.0
9082;Total males and females;Total;Total;Remote Islands of the United States;Total;Two parents born abroad;2023;0.0
9083;Total males and females;Total;Total;Remote Islands of the United States;Total;Two parents born abroad;2024;1.0
9084;Total males and females;Total;Total;Remote Islands of the United States;Person born in the Netherlands;Total;2022;1.0
9085;Total males and females;Total;Total;Remote Islands of the United States;Person born in the Netherlands;Total;2023;1.0
9086;Total males and females;Total;Total;Remote Islands of the United States;Person born in the Netherlands;Total;2024;1.0
9087;Total males and females;Total;Total;Remote Islands of the United States;Person born in the Netherlands;Two parents born in the Netherlands;2022;
9088;Total males and females;Total;Total;Remote Islands of the United States;Person born in the Netherlands;Two parents born in the Netherlands;2023;
9089;Total males and females;Total;Total;Remote Islands of the United States;Person born in the Netherlands;Two parents born in the Netherlands;2024;
9090;Total males and females;Total;Total;Remote Islands of the United States;Person born in the Netherlands;One parent born in NL, one born abroad;2022;1.0
9091;Total males and females;Total;Total;Remote Islands of the United States;Person born in the Netherlands;One parent born in NL, one born abroad;2023;1.0
9092;Total males and females;Total;Total;Remote Islands of the United States;Person born in the Netherlands;One parent born in NL, one born abroad;2024;1.0
9093;Total males and females;Total;Total;Remote Islands of the United States;Person born in the Netherlands;Two parents born abroad;2022;0.0
