ID;Transactions;InstitutionalSectors;Periods;GovernmentRevenue_1
8421;D21 Taxes on products;Provinces;2020;0
8422;D21 Taxes on products;Provinces;2021 1st quarter;0
8423;D21 Taxes on products;Provinces;2021 2nd quarter;0
8424;D21 Taxes on products;Provinces;2021 3rd quarter;0
8425;D21 Taxes on products;Provinces;2021 4th quarter;0
8426;D21 Taxes on products;Provinces;2021;0
8427;D21 Taxes on products;Provinces;2022 1st quarter;0
8428;D21 Taxes on products;Provinces;2022 2nd quarter;0
8429;D21 Taxes on products;Provinces;2022 3rd quarter;0
8430;D21 Taxes on products;Provinces;2022 4th quarter;0
8431;D21 Taxes on products;Provinces;2022;0
8432;D21 Taxes on products;Provinces;2023 1st quarter;0
8433;D21 Taxes on products;Provinces;2023 2nd quarter;0
8434;D21 Taxes on products;Provinces;2023 3rd quarter;0
8435;D21 Taxes on products;Provinces;2023 4th quarter;0
8436;D21 Taxes on products;Provinces;2023;0
8437;D21 Taxes on products;Provinces;2024 1st quarter;0
8438;D21 Taxes on products;Provinces;2024 2nd quarter;0
8439;D21 Taxes on products;Provinces;2024 3rd quarter;0
8440;D21 Taxes on products;Provinces;2024 4th quarter;0
8441;D21 Taxes on products;Provinces;2024;0
8442;D21 Taxes on products;Public water boards;1995;0
8443;D21 Taxes on products;Public water boards;1996;0
8444;D21 Taxes on products;Public water boards;1997;0
8445;D21 Taxes on products;Public water boards;1998;0
8446;D21 Taxes on products;Public water boards;1999 1st quarter;0
8447;D21 Taxes on products;Public water boards;1999 2nd quarter;0
8448;D21 Taxes on products;Public water boards;1999 3rd quarter;0
8449;D21 Taxes on products;Public water boards;1999 4th quarter;0
8450;D21 Taxes on products;Public water boards;1999;0
8451;D21 Taxes on products;Public water boards;2000 1st quarter;0
8452;D21 Taxes on products;Public water boards;2000 2nd quarter;0
8453;D21 Taxes on products;Public water boards;2000 3rd quarter;0
8454;D21 Taxes on products;Public water boards;2000 4th quarter;0
8455;D21 Taxes on products;Public water boards;2000;0
8456;D21 Taxes on products;Public water boards;2001 1st quarter;0
8457;D21 Taxes on products;Public water boards;2001 2nd quarter;0
8458;D21 Taxes on products;Public water boards;2001 3rd quarter;0
8459;D21 Taxes on products;Public water boards;2001 4th quarter;0
8460;D21 Taxes on products;Public water boards;2001;0
8461;D21 Taxes on products;Public water boards;2002 1st quarter;0
8462;D21 Taxes on products;Public water boards;2002 2nd quarter;0
8463;D21 Taxes on products;Public water boards;2002 3rd quarter;0
8464;D21 Taxes on products;Public water boards;2002 4th quarter;0
8465;D21 Taxes on products;Public water boards;2002;0
8466;D21 Taxes on products;Public water boards;2003 1st quarter;0
8467;D21 Taxes on products;Public water boards;2003 2nd quarter;0
8468;D21 Taxes on products;Public water boards;2003 3rd quarter;0
8469;D21 Taxes on products;Public water boards;2003 4th quarter;0
8470;D21 Taxes on products;Public water boards;2003;0
8471;D21 Taxes on products;Public water boards;2004 1st quarter;0
8472;D21 Taxes on products;Public water boards;2004 2nd quarter;0
8473;D21 Taxes on products;Public water boards;2004 3rd quarter;0
8474;D21 Taxes on products;Public water boards;2004 4th quarter;0
8475;D21 Taxes on products;Public water boards;2004;0
8476;D21 Taxes on products;Public water boards;2005 1st quarter;0
8477;D21 Taxes on products;Public water boards;2005 2nd quarter;0
8478;D21 Taxes on products;Public water boards;2005 3rd quarter;0
8479;D21 Taxes on products;Public water boards;2005 4th quarter;0
8480;D21 Taxes on products;Public water boards;2005;0
8481;D21 Taxes on products;Public water boards;2006 1st quarter;0
8482;D21 Taxes on products;Public water boards;2006 2nd quarter;0
8483;D21 Taxes on products;Public water boards;2006 3rd quarter;0
8484;D21 Taxes on products;Public water boards;2006 4th quarter;0
8485;D21 Taxes on products;Public water boards;2006;0
8486;D21 Taxes on products;Public water boards;2007 1st quarter;0
8487;D21 Taxes on products;Public water boards;2007 2nd quarter;0
8488;D21 Taxes on products;Public water boards;2007 3rd quarter;0
8489;D21 Taxes on products;Public water boards;2007 4th quarter;0
8490;D21 Taxes on products;Public water boards;2007;0
8491;D21 Taxes on products;Public water boards;2008 1st quarter;0
8492;D21 Taxes on products;Public water boards;2008 2nd quarter;0
8493;D21 Taxes on products;Public water boards;2008 3rd quarter;0
8494;D21 Taxes on products;Public water boards;2008 4th quarter;0
8495;D21 Taxes on products;Public water boards;2008;0
8496;D21 Taxes on products;Public water boards;2009 1st quarter;0
8497;D21 Taxes on products;Public water boards;2009 2nd quarter;0
8498;D21 Taxes on products;Public water boards;2009 3rd quarter;0
8499;D21 Taxes on products;Public water boards;2009 4th quarter;0
8500;D21 Taxes on products;Public water boards;2009;0
8501;D21 Taxes on products;Public water boards;2010 1st quarter;0
8502;D21 Taxes on products;Public water boards;2010 2nd quarter;0
8503;D21 Taxes on products;Public water boards;2010 3rd quarter;0
8504;D21 Taxes on products;Public water boards;2010 4th quarter;0
8505;D21 Taxes on products;Public water boards;2010;0
8506;D21 Taxes on products;Public water boards;2011 1st quarter;0
8507;D21 Taxes on products;Public water boards;2011 2nd quarter;0
8508;D21 Taxes on products;Public water boards;2011 3rd quarter;0
8509;D21 Taxes on products;Public water boards;2011 4th quarter;0
8510;D21 Taxes on products;Public water boards;2011;0
8511;D21 Taxes on products;Public water boards;2012 1st quarter;0
8512;D21 Taxes on products;Public water boards;2012 2nd quarter;0
8513;D21 Taxes on products;Public water boards;2012 3rd quarter;0
8514;D21 Taxes on products;Public water boards;2012 4th quarter;0
8515;D21 Taxes on products;Public water boards;2012;0
8516;D21 Taxes on products;Public water boards;2013 1st quarter;0
8517;D21 Taxes on products;Public water boards;2013 2nd quarter;0
8518;D21 Taxes on products;Public water boards;2013 3rd quarter;0
8519;D21 Taxes on products;Public water boards;2013 4th quarter;0
8520;D21 Taxes on products;Public water boards;2013;0
8521;D21 Taxes on products;Public water boards;2014 1st quarter;0
8522;D21 Taxes on products;Public water boards;2014 2nd quarter;0
8523;D21 Taxes on products;Public water boards;2014 3rd quarter;0
8524;D21 Taxes on products;Public water boards;2014 4th quarter;0
8525;D21 Taxes on products;Public water boards;2014;0
8526;D21 Taxes on products;Public water boards;2015 1st quarter;0
8527;D21 Taxes on products;Public water boards;2015 2nd quarter;0
8528;D21 Taxes on products;Public water boards;2015 3rd quarter;0
8529;D21 Taxes on products;Public water boards;2015 4th quarter;0
8530;D21 Taxes on products;Public water boards;2015;0
8531;D21 Taxes on products;Public water boards;2016 1st quarter;0
8532;D21 Taxes on products;Public water boards;2016 2nd quarter;0
8533;D21 Taxes on products;Public water boards;2016 3rd quarter;0
8534;D21 Taxes on products;Public water boards;2016 4th quarter;0
8535;D21 Taxes on products;Public water boards;2016;0
8536;D21 Taxes on products;Public water boards;2017 1st quarter;0
8537;D21 Taxes on products;Public water boards;2017 2nd quarter;0
8538;D21 Taxes on products;Public water boards;2017 3rd quarter;0
8539;D21 Taxes on products;Public water boards;2017 4th quarter;0
8540;D21 Taxes on products;Public water boards;2017;0
8541;D21 Taxes on products;Public water boards;2018 1st quarter;0
8542;D21 Taxes on products;Public water boards;2018 2nd quarter;0
8543;D21 Taxes on products;Public water boards;2018 3rd quarter;0
8544;D21 Taxes on products;Public water boards;2018 4th quarter;0
8545;D21 Taxes on products;Public water boards;2018;0
8546;D21 Taxes on products;Public water boards;2019 1st quarter;0
8547;D21 Taxes on products;Public water boards;2019 2nd quarter;0
8548;D21 Taxes on products;Public water boards;2019 3rd quarter;0
8549;D21 Taxes on products;Public water boards;2019 4th quarter;0
8550;D21 Taxes on products;Public water boards;2019;0
8551;D21 Taxes on products;Public water boards;2020 1st quarter;0
8552;D21 Taxes on products;Public water boards;2020 2nd quarter;0
8553;D21 Taxes on products;Public water boards;2020 3rd quarter;0
8554;D21 Taxes on products;Public water boards;2020 4th quarter;0
8555;D21 Taxes on products;Public water boards;2020;0
8556;D21 Taxes on products;Public water boards;2021 1st quarter;0
8557;D21 Taxes on products;Public water boards;2021 2nd quarter;0
8558;D21 Taxes on products;Public water boards;2021 3rd quarter;0
8559;D21 Taxes on products;Public water boards;2021 4th quarter;0
8560;D21 Taxes on products;Public water boards;2021;0
8561;D21 Taxes on products;Public water boards;2022 1st quarter;0
8562;D21 Taxes on products;Public water boards;2022 2nd quarter;0
8563;D21 Taxes on products;Public water boards;2022 3rd quarter;0
8564;D21 Taxes on products;Public water boards;2022 4th quarter;0
8565;D21 Taxes on products;Public water boards;2022;0
8566;D21 Taxes on products;Public water boards;2023 1st quarter;0
8567;D21 Taxes on products;Public water boards;2023 2nd quarter;0
8568;D21 Taxes on products;Public water boards;2023 3rd quarter;0
8569;D21 Taxes on products;Public water boards;2023 4th quarter;0
8570;D21 Taxes on products;Public water boards;2023;0
8571;D21 Taxes on products;Public water boards;2024 1st quarter;0
8572;D21 Taxes on products;Public water boards;2024 2nd quarter;0
8573;D21 Taxes on products;Public water boards;2024 3rd quarter;0
8574;D21 Taxes on products;Public water boards;2024 4th quarter;0
8575;D21 Taxes on products;Public water boards;2024;0
8576;D21 Taxes on products;Other local government;1995;0
8577;D21 Taxes on products;Other local government;1996;0
8578;D21 Taxes on products;Other local government;1997;0
8579;D21 Taxes on products;Other local government;1998;0
8580;D21 Taxes on products;Other local government;1999 1st quarter;0
8581;D21 Taxes on products;Other local government;1999 2nd quarter;0
8582;D21 Taxes on products;Other local government;1999 3rd quarter;0
8583;D21 Taxes on products;Other local government;1999 4th quarter;0
8584;D21 Taxes on products;Other local government;1999;0
8585;D21 Taxes on products;Other local government;2000 1st quarter;0
8586;D21 Taxes on products;Other local government;2000 2nd quarter;0
8587;D21 Taxes on products;Other local government;2000 3rd quarter;0
8588;D21 Taxes on products;Other local government;2000 4th quarter;0
8589;D21 Taxes on products;Other local government;2000;0
8590;D21 Taxes on products;Other local government;2001 1st quarter;0
8591;D21 Taxes on products;Other local government;2001 2nd quarter;0
8592;D21 Taxes on products;Other local government;2001 3rd quarter;0
8593;D21 Taxes on products;Other local government;2001 4th quarter;0
8594;D21 Taxes on products;Other local government;2001;0
8595;D21 Taxes on products;Other local government;2002 1st quarter;0
8596;D21 Taxes on products;Other local government;2002 2nd quarter;0
8597;D21 Taxes on products;Other local government;2002 3rd quarter;0
8598;D21 Taxes on products;Other local government;2002 4th quarter;0
8599;D21 Taxes on products;Other local government;2002;0
8600;D21 Taxes on products;Other local government;2003 1st quarter;0
8601;D21 Taxes on products;Other local government;2003 2nd quarter;0
8602;D21 Taxes on products;Other local government;2003 3rd quarter;0
8603;D21 Taxes on products;Other local government;2003 4th quarter;0
8604;D21 Taxes on products;Other local government;2003;0
8605;D21 Taxes on products;Other local government;2004 1st quarter;0
8606;D21 Taxes on products;Other local government;2004 2nd quarter;0
8607;D21 Taxes on products;Other local government;2004 3rd quarter;0
8608;D21 Taxes on products;Other local government;2004 4th quarter;0
8609;D21 Taxes on products;Other local government;2004;0
8610;D21 Taxes on products;Other local government;2005 1st quarter;0
8611;D21 Taxes on products;Other local government;2005 2nd quarter;0
8612;D21 Taxes on products;Other local government;2005 3rd quarter;0
8613;D21 Taxes on products;Other local government;2005 4th quarter;0
8614;D21 Taxes on products;Other local government;2005;0
8615;D21 Taxes on products;Other local government;2006 1st quarter;0
8616;D21 Taxes on products;Other local government;2006 2nd quarter;0
8617;D21 Taxes on products;Other local government;2006 3rd quarter;0
8618;D21 Taxes on products;Other local government;2006 4th quarter;0
8619;D21 Taxes on products;Other local government;2006;0
8620;D21 Taxes on products;Other local government;2007 1st quarter;0
8621;D21 Taxes on products;Other local government;2007 2nd quarter;0
8622;D21 Taxes on products;Other local government;2007 3rd quarter;0
8623;D21 Taxes on products;Other local government;2007 4th quarter;0
8624;D21 Taxes on products;Other local government;2007;0
8625;D21 Taxes on products;Other local government;2008 1st quarter;0
8626;D21 Taxes on products;Other local government;2008 2nd quarter;0
8627;D21 Taxes on products;Other local government;2008 3rd quarter;0
8628;D21 Taxes on products;Other local government;2008 4th quarter;0
8629;D21 Taxes on products;Other local government;2008;0
8630;D21 Taxes on products;Other local government;2009 1st quarter;0
8631;D21 Taxes on products;Other local government;2009 2nd quarter;0
8632;D21 Taxes on products;Other local government;2009 3rd quarter;0
8633;D21 Taxes on products;Other local government;2009 4th quarter;0
8634;D21 Taxes on products;Other local government;2009;0
8635;D21 Taxes on products;Other local government;2010 1st quarter;0
8636;D21 Taxes on products;Other local government;2010 2nd quarter;0
8637;D21 Taxes on products;Other local government;2010 3rd quarter;0
8638;D21 Taxes on products;Other local government;2010 4th quarter;0
8639;D21 Taxes on products;Other local government;2010;0
8640;D21 Taxes on products;Other local government;2011 1st quarter;0
8641;D21 Taxes on products;Other local government;2011 2nd quarter;0
8642;D21 Taxes on products;Other local government;2011 3rd quarter;0
8643;D21 Taxes on products;Other local government;2011 4th quarter;0
8644;D21 Taxes on products;Other local government;2011;0
8645;D21 Taxes on products;Other local government;2012 1st quarter;0
8646;D21 Taxes on products;Other local government;2012 2nd quarter;0
8647;D21 Taxes on products;Other local government;2012 3rd quarter;0
8648;D21 Taxes on products;Other local government;2012 4th quarter;0
8649;D21 Taxes on products;Other local government;2012;0
8650;D21 Taxes on products;Other local government;2013 1st quarter;0
8651;D21 Taxes on products;Other local government;2013 2nd quarter;0
8652;D21 Taxes on products;Other local government;2013 3rd quarter;0
8653;D21 Taxes on products;Other local government;2013 4th quarter;0
8654;D21 Taxes on products;Other local government;2013;0
8655;D21 Taxes on products;Other local government;2014 1st quarter;0
8656;D21 Taxes on products;Other local government;2014 2nd quarter;0
8657;D21 Taxes on products;Other local government;2014 3rd quarter;0
8658;D21 Taxes on products;Other local government;2014 4th quarter;0
