ID;Transactions;InstitutionalSectors;Periods;GovernmentExpenditure_1
9680;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2004 4th quarter;9
9681;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2004;27
9682;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2005 1st quarter;23
9683;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2005 2nd quarter;22
9684;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2005 3rd quarter;22
9685;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2005 4th quarter;30
9686;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2005;97
9687;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2006 1st quarter;30
9688;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2006 2nd quarter;28
9689;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2006 3rd quarter;28
9690;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2006 4th quarter;31
9691;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2006;117
9692;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2007 1st quarter;53
9693;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2007 2nd quarter;49
9694;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2007 3rd quarter;48
9695;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2007 4th quarter;52
9696;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2007;202
9697;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2008 1st quarter;100
9698;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2008 2nd quarter;95
9699;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2008 3rd quarter;94
9700;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2008 4th quarter;97
9701;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2008;386
9702;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2009 1st quarter;111
9703;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2009 2nd quarter;108
9704;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2009 3rd quarter;107
9705;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2009 4th quarter;108
9706;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2009;434
9707;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2010 1st quarter;151
9708;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2010 2nd quarter;144
9709;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2010 3rd quarter;145
9710;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2010 4th quarter;151
9711;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2010;591
9712;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2011 1st quarter;146
9713;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2011 2nd quarter;144
9714;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2011 3rd quarter;140
9715;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2011 4th quarter;143
9716;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2011;573
9717;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2012 1st quarter;153
9718;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2012 2nd quarter;147
9719;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2012 3rd quarter;147
9720;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2012 4th quarter;150
9721;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2012;597
9722;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2013 1st quarter;156
9723;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2013 2nd quarter;152
9724;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2013 3rd quarter;152
9725;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2013 4th quarter;151
9726;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2013;611
9727;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2014 1st quarter;93
9728;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2014 2nd quarter;87
9729;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2014 3rd quarter;88
9730;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2014 4th quarter;93
9731;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2014;361
9732;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2015 1st quarter;162
9733;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2015 2nd quarter;162
9734;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2015 3rd quarter;162
9735;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2015 4th quarter;160
9736;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2015;646
9737;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2016 1st quarter;172
9738;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2016 2nd quarter;176
9739;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2016 3rd quarter;174
9740;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2016 4th quarter;174
9741;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2016;696
9742;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2017 1st quarter;177
9743;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2017 2nd quarter;181
9744;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2017 3rd quarter;182
9745;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2017 4th quarter;182
9746;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2017;722
9747;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2018 1st quarter;200
9748;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2018 2nd quarter;203
9749;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2018 3rd quarter;205
9750;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2018 4th quarter;207
9751;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2018;815
9752;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2019 1st quarter;224
9753;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2019 2nd quarter;231
9754;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2019 3rd quarter;220
9755;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2019 4th quarter;227
9756;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2019;902
9757;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2020 1st quarter;235
9758;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2020 2nd quarter;226
9759;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2020 3rd quarter;230
9760;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2020 4th quarter;230
9761;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2020;921
9762;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2021 1st quarter;238
9763;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2021 2nd quarter;229
9764;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2021 3rd quarter;232
9765;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2021 4th quarter;236
9766;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2021;935
9767;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2022 1st quarter;256
9768;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2022 2nd quarter;264
9769;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2022 3rd quarter;252
9770;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2022 4th quarter;261
9771;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2022;1033
9772;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2023 1st quarter;279
9773;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2023 2nd quarter;274
9774;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2023 3rd quarter;285
9775;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2023 4th quarter;333
9776;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2023;1171
9777;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2024 1st quarter;283
9778;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2024 2nd quarter;278
9779;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2024 3rd quarter;289
9780;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2024 4th quarter;337
9781;D632 Social transfers in kind via mark..;Local intergovernmental organisations;2024;1187
9782;D632 Social transfers in kind via mark..;Provinces;1995;1231
9783;D632 Social transfers in kind via mark..;Provinces;1996;1279
9784;D632 Social transfers in kind via mark..;Provinces;1997;128
9785;D632 Social transfers in kind via mark..;Provinces;1998;169
9786;D632 Social transfers in kind via mark..;Provinces;1999 1st quarter;47
9787;D632 Social transfers in kind via mark..;Provinces;1999 2nd quarter;47
9788;D632 Social transfers in kind via mark..;Provinces;1999 3rd quarter;47
9789;D632 Social transfers in kind via mark..;Provinces;1999 4th quarter;46
9790;D632 Social transfers in kind via mark..;Provinces;1999;187
9791;D632 Social transfers in kind via mark..;Provinces;2000 1st quarter;52
9792;D632 Social transfers in kind via mark..;Provinces;2000 2nd quarter;52
9793;D632 Social transfers in kind via mark..;Provinces;2000 3rd quarter;52
9794;D632 Social transfers in kind via mark..;Provinces;2000 4th quarter;51
