ID;Population;Sex;PersonalCharacteristics;Margins;Periods;TrafficParticipation_1;UseOfPublicTransport_2
4685;Population: 12 years or older;Sex unknown;Equivalised income: 4th 20%-group;Value;2023;;
4686;Population: 12 years or older;Sex unknown;Equivalised income: 4th 20%-group;Lower bound 95% confidence interval;2018;;
4687;Population: 12 years or older;Sex unknown;Equivalised income: 4th 20%-group;Lower bound 95% confidence interval;2019;;
4688;Population: 12 years or older;Sex unknown;Equivalised income: 4th 20%-group;Lower bound 95% confidence interval;2020;;
4689;Population: 12 years or older;Sex unknown;Equivalised income: 4th 20%-group;Lower bound 95% confidence interval;2021;;
4690;Population: 12 years or older;Sex unknown;Equivalised income: 4th 20%-group;Lower bound 95% confidence interval;2022;;
4691;Population: 12 years or older;Sex unknown;Equivalised income: 4th 20%-group;Lower bound 95% confidence interval;2023;;
4692;Population: 12 years or older;Sex unknown;Equivalised income: 4th 20%-group;Upper bound 95% confidence interval;2018;;
4693;Population: 12 years or older;Sex unknown;Equivalised income: 4th 20%-group;Upper bound 95% confidence interval;2019;;
4694;Population: 12 years or older;Sex unknown;Equivalised income: 4th 20%-group;Upper bound 95% confidence interval;2020;;
4695;Population: 12 years or older;Sex unknown;Equivalised income: 4th 20%-group;Upper bound 95% confidence interval;2021;;
4696;Population: 12 years or older;Sex unknown;Equivalised income: 4th 20%-group;Upper bound 95% confidence interval;2022;;
4697;Population: 12 years or older;Sex unknown;Equivalised income: 4th 20%-group;Upper bound 95% confidence interval;2023;;
4698;Population: 12 years or older;Sex unknown;Equivalised income: 5th 20%-group;Value;2018;;
4699;Population: 12 years or older;Sex unknown;Equivalised income: 5th 20%-group;Value;2019;;
4700;Population: 12 years or older;Sex unknown;Equivalised income: 5th 20%-group;Value;2020;;
4701;Population: 12 years or older;Sex unknown;Equivalised income: 5th 20%-group;Value;2021;;
4702;Population: 12 years or older;Sex unknown;Equivalised income: 5th 20%-group;Value;2022;;
4703;Population: 12 years or older;Sex unknown;Equivalised income: 5th 20%-group;Value;2023;;
4704;Population: 12 years or older;Sex unknown;Equivalised income: 5th 20%-group;Lower bound 95% confidence interval;2018;;
4705;Population: 12 years or older;Sex unknown;Equivalised income: 5th 20%-group;Lower bound 95% confidence interval;2019;;
4706;Population: 12 years or older;Sex unknown;Equivalised income: 5th 20%-group;Lower bound 95% confidence interval;2020;;
4707;Population: 12 years or older;Sex unknown;Equivalised income: 5th 20%-group;Lower bound 95% confidence interval;2021;;
4708;Population: 12 years or older;Sex unknown;Equivalised income: 5th 20%-group;Lower bound 95% confidence interval;2022;;
4709;Population: 12 years or older;Sex unknown;Equivalised income: 5th 20%-group;Lower bound 95% confidence interval;2023;;
4710;Population: 12 years or older;Sex unknown;Equivalised income: 5th 20%-group;Upper bound 95% confidence interval;2018;;
4711;Population: 12 years or older;Sex unknown;Equivalised income: 5th 20%-group;Upper bound 95% confidence interval;2019;;
4712;Population: 12 years or older;Sex unknown;Equivalised income: 5th 20%-group;Upper bound 95% confidence interval;2020;;
4713;Population: 12 years or older;Sex unknown;Equivalised income: 5th 20%-group;Upper bound 95% confidence interval;2021;;
4714;Population: 12 years or older;Sex unknown;Equivalised income: 5th 20%-group;Upper bound 95% confidence interval;2022;;
4715;Population: 12 years or older;Sex unknown;Equivalised income: 5th 20%-group;Upper bound 95% confidence interval;2023;;
4716;Population: 12 years or older;Sex unknown;Students with week pass publ. transp.;Value;2018;;
4717;Population: 12 years or older;Sex unknown;Students with week pass publ. transp.;Value;2019;;
4718;Population: 12 years or older;Sex unknown;Students with week pass publ. transp.;Value;2020;;
4719;Population: 12 years or older;Sex unknown;Students with week pass publ. transp.;Value;2021;;
4720;Population: 12 years or older;Sex unknown;Students with week pass publ. transp.;Value;2022;;
4721;Population: 12 years or older;Sex unknown;Students with week pass publ. transp.;Value;2023;;
4722;Population: 12 years or older;Sex unknown;Students with week pass publ. transp.;Lower bound 95% confidence interval;2018;;
4723;Population: 12 years or older;Sex unknown;Students with week pass publ. transp.;Lower bound 95% confidence interval;2019;;
4724;Population: 12 years or older;Sex unknown;Students with week pass publ. transp.;Lower bound 95% confidence interval;2020;;
4725;Population: 12 years or older;Sex unknown;Students with week pass publ. transp.;Lower bound 95% confidence interval;2021;;
4726;Population: 12 years or older;Sex unknown;Students with week pass publ. transp.;Lower bound 95% confidence interval;2022;;
4727;Population: 12 years or older;Sex unknown;Students with week pass publ. transp.;Lower bound 95% confidence interval;2023;;
4728;Population: 12 years or older;Sex unknown;Students with week pass publ. transp.;Upper bound 95% confidence interval;2018;;
4729;Population: 12 years or older;Sex unknown;Students with week pass publ. transp.;Upper bound 95% confidence interval;2019;;
4730;Population: 12 years or older;Sex unknown;Students with week pass publ. transp.;Upper bound 95% confidence interval;2020;;
4731;Population: 12 years or older;Sex unknown;Students with week pass publ. transp.;Upper bound 95% confidence interval;2021;;
4732;Population: 12 years or older;Sex unknown;Students with week pass publ. transp.;Upper bound 95% confidence interval;2022;;
4733;Population: 12 years or older;Sex unknown;Students with week pass publ. transp.;Upper bound 95% confidence interval;2023;;
4734;Population: 12 years or older;Sex unknown;Students with weekend pass publ. transp.;Value;2018;;
4735;Population: 12 years or older;Sex unknown;Students with weekend pass publ. transp.;Value;2019;;
4736;Population: 12 years or older;Sex unknown;Students with weekend pass publ. transp.;Value;2020;;
4737;Population: 12 years or older;Sex unknown;Students with weekend pass publ. transp.;Value;2021;;
4738;Population: 12 years or older;Sex unknown;Students with weekend pass publ. transp.;Value;2022;;
4739;Population: 12 years or older;Sex unknown;Students with weekend pass publ. transp.;Value;2023;;
4740;Population: 12 years or older;Sex unknown;Students with weekend pass publ. transp.;Lower bound 95% confidence interval;2018;;
4741;Population: 12 years or older;Sex unknown;Students with weekend pass publ. transp.;Lower bound 95% confidence interval;2019;;
4742;Population: 12 years or older;Sex unknown;Students with weekend pass publ. transp.;Lower bound 95% confidence interval;2020;;
4743;Population: 12 years or older;Sex unknown;Students with weekend pass publ. transp.;Lower bound 95% confidence interval;2021;;
4744;Population: 12 years or older;Sex unknown;Students with weekend pass publ. transp.;Lower bound 95% confidence interval;2022;;
4745;Population: 12 years or older;Sex unknown;Students with weekend pass publ. transp.;Lower bound 95% confidence interval;2023;;
4746;Population: 12 years or older;Sex unknown;Students with weekend pass publ. transp.;Upper bound 95% confidence interval;2018;;
4747;Population: 12 years or older;Sex unknown;Students with weekend pass publ. transp.;Upper bound 95% confidence interval;2019;;
4748;Population: 12 years or older;Sex unknown;Students with weekend pass publ. transp.;Upper bound 95% confidence interval;2020;;
4749;Population: 12 years or older;Sex unknown;Students with weekend pass publ. transp.;Upper bound 95% confidence interval;2021;;
4750;Population: 12 years or older;Sex unknown;Students with weekend pass publ. transp.;Upper bound 95% confidence interval;2022;;
4751;Population: 12 years or older;Sex unknown;Students with weekend pass publ. transp.;Upper bound 95% confidence interval;2023;;
4752;Population: 12 years or older;Sex unknown;Persons without student publ.transp.card;Value;2018;;
4753;Population: 12 years or older;Sex unknown;Persons without student publ.transp.card;Value;2019;;
4754;Population: 12 years or older;Sex unknown;Persons without student publ.transp.card;Value;2020;;
4755;Population: 12 years or older;Sex unknown;Persons without student publ.transp.card;Value;2021;;
4756;Population: 12 years or older;Sex unknown;Persons without student publ.transp.card;Value;2022;;
4757;Population: 12 years or older;Sex unknown;Persons without student publ.transp.card;Value;2023;;
4758;Population: 12 years or older;Sex unknown;Persons without student publ.transp.card;Lower bound 95% confidence interval;2018;;
4759;Population: 12 years or older;Sex unknown;Persons without student publ.transp.card;Lower bound 95% confidence interval;2019;;
4760;Population: 12 years or older;Sex unknown;Persons without student publ.transp.card;Lower bound 95% confidence interval;2020;;
4761;Population: 12 years or older;Sex unknown;Persons without student publ.transp.card;Lower bound 95% confidence interval;2021;;
4762;Population: 12 years or older;Sex unknown;Persons without student publ.transp.card;Lower bound 95% confidence interval;2022;;
4763;Population: 12 years or older;Sex unknown;Persons without student publ.transp.card;Lower bound 95% confidence interval;2023;;
4764;Population: 12 years or older;Sex unknown;Persons without student publ.transp.card;Upper bound 95% confidence interval;2018;;
4765;Population: 12 years or older;Sex unknown;Persons without student publ.transp.card;Upper bound 95% confidence interval;2019;;
4766;Population: 12 years or older;Sex unknown;Persons without student publ.transp.card;Upper bound 95% confidence interval;2020;;
4767;Population: 12 years or older;Sex unknown;Persons without student publ.transp.card;Upper bound 95% confidence interval;2021;;
4768;Population: 12 years or older;Sex unknown;Persons without student publ.transp.card;Upper bound 95% confidence interval;2022;;
4769;Population: 12 years or older;Sex unknown;Persons without student publ.transp.card;Upper bound 95% confidence interval;2023;;
4770;Population: 12 years or older;Sex unknown;Level of educ: 1. Low;Value;2018;;
4771;Population: 12 years or older;Sex unknown;Level of educ: 1. Low;Value;2019;;
4772;Population: 12 years or older;Sex unknown;Level of educ: 1. Low;Value;2020;;
4773;Population: 12 years or older;Sex unknown;Level of educ: 1. Low;Value;2021;;
4774;Population: 12 years or older;Sex unknown;Level of educ: 1. Low;Value;2022;;
4775;Population: 12 years or older;Sex unknown;Level of educ: 1. Low;Value;2023;;
4776;Population: 12 years or older;Sex unknown;Level of educ: 1. Low;Lower bound 95% confidence interval;2018;;
4777;Population: 12 years or older;Sex unknown;Level of educ: 1. Low;Lower bound 95% confidence interval;2019;;
4778;Population: 12 years or older;Sex unknown;Level of educ: 1. Low;Lower bound 95% confidence interval;2020;;
4779;Population: 12 years or older;Sex unknown;Level of educ: 1. Low;Lower bound 95% confidence interval;2021;;
4780;Population: 12 years or older;Sex unknown;Level of educ: 1. Low;Lower bound 95% confidence interval;2022;;
4781;Population: 12 years or older;Sex unknown;Level of educ: 1. Low;Lower bound 95% confidence interval;2023;;
4782;Population: 12 years or older;Sex unknown;Level of educ: 1. Low;Upper bound 95% confidence interval;2018;;
4783;Population: 12 years or older;Sex unknown;Level of educ: 1. Low;Upper bound 95% confidence interval;2019;;
4784;Population: 12 years or older;Sex unknown;Level of educ: 1. Low;Upper bound 95% confidence interval;2020;;
4785;Population: 12 years or older;Sex unknown;Level of educ: 1. Low;Upper bound 95% confidence interval;2021;;
4786;Population: 12 years or older;Sex unknown;Level of educ: 1. Low;Upper bound 95% confidence interval;2022;;
4787;Population: 12 years or older;Sex unknown;Level of educ: 1. Low;Upper bound 95% confidence interval;2023;;
4788;Population: 12 years or older;Sex unknown;Level of educ: 2 Intermediate;Value;2018;;
4789;Population: 12 years or older;Sex unknown;Level of educ: 2 Intermediate;Value;2019;;
4790;Population: 12 years or older;Sex unknown;Level of educ: 2 Intermediate;Value;2020;;
4791;Population: 12 years or older;Sex unknown;Level of educ: 2 Intermediate;Value;2021;;
4792;Population: 12 years or older;Sex unknown;Level of educ: 2 Intermediate;Value;2022;;
4793;Population: 12 years or older;Sex unknown;Level of educ: 2 Intermediate;Value;2023;;
4794;Population: 12 years or older;Sex unknown;Level of educ: 2 Intermediate;Lower bound 95% confidence interval;2018;;
4795;Population: 12 years or older;Sex unknown;Level of educ: 2 Intermediate;Lower bound 95% confidence interval;2019;;
4796;Population: 12 years or older;Sex unknown;Level of educ: 2 Intermediate;Lower bound 95% confidence interval;2020;;
4797;Population: 12 years or older;Sex unknown;Level of educ: 2 Intermediate;Lower bound 95% confidence interval;2021;;
4798;Population: 12 years or older;Sex unknown;Level of educ: 2 Intermediate;Lower bound 95% confidence interval;2022;;
4799;Population: 12 years or older;Sex unknown;Level of educ: 2 Intermediate;Lower bound 95% confidence interval;2023;;
4800;Population: 12 years or older;Sex unknown;Level of educ: 2 Intermediate;Upper bound 95% confidence interval;2018;;
4801;Population: 12 years or older;Sex unknown;Level of educ: 2 Intermediate;Upper bound 95% confidence interval;2019;;
4802;Population: 12 years or older;Sex unknown;Level of educ: 2 Intermediate;Upper bound 95% confidence interval;2020;;
4803;Population: 12 years or older;Sex unknown;Level of educ: 2 Intermediate;Upper bound 95% confidence interval;2021;;
4804;Population: 12 years or older;Sex unknown;Level of educ: 2 Intermediate;Upper bound 95% confidence interval;2022;;
4805;Population: 12 years or older;Sex unknown;Level of educ: 2 Intermediate;Upper bound 95% confidence interval;2023;;
4806;Population: 12 years or older;Sex unknown;Level of educ: 3 High;Value;2018;;
4807;Population: 12 years or older;Sex unknown;Level of educ: 3 High;Value;2019;;
