ID;TypeOfBankruptcy;Age;Periods;PronouncedBankrupcies_1
6298;Nat. person with sole proprietorship;45 to 49 years;2016 2nd quarter;23
6299;Nat. person with sole proprietorship;45 to 49 years;2016 July;7
6300;Nat. person with sole proprietorship;45 to 49 years;2016 August;9
6301;Nat. person with sole proprietorship;45 to 49 years;2016 September;12
6302;Nat. person with sole proprietorship;45 to 49 years;2016 3rd quarter;28
6303;Nat. person with sole proprietorship;45 to 49 years;2016 October;13
6304;Nat. person with sole proprietorship;45 to 49 years;2016 November;7
6305;Nat. person with sole proprietorship;45 to 49 years;2016 December;9
6306;Nat. person with sole proprietorship;45 to 49 years;2016 4th quarter;29
6307;Nat. person with sole proprietorship;45 to 49 years;2016;109
6308;Nat. person with sole proprietorship;45 to 49 years;2017 January;12
6309;Nat. person with sole proprietorship;45 to 49 years;2017 February;9
6310;Nat. person with sole proprietorship;45 to 49 years;2017 March;10
6311;Nat. person with sole proprietorship;45 to 49 years;2017 1st quarter;31
6312;Nat. person with sole proprietorship;45 to 49 years;2017 April;12
6313;Nat. person with sole proprietorship;45 to 49 years;2017 May;7
6314;Nat. person with sole proprietorship;45 to 49 years;2017 June;7
6315;Nat. person with sole proprietorship;45 to 49 years;2017 2nd quarter;26
6316;Nat. person with sole proprietorship;45 to 49 years;2017 July;10
6317;Nat. person with sole proprietorship;45 to 49 years;2017 August;6
6318;Nat. person with sole proprietorship;45 to 49 years;2017 September;5
6319;Nat. person with sole proprietorship;45 to 49 years;2017 3rd quarter;21
6320;Nat. person with sole proprietorship;45 to 49 years;2017 October;9
6321;Nat. person with sole proprietorship;45 to 49 years;2017 November;2
6322;Nat. person with sole proprietorship;45 to 49 years;2017 December;6
6323;Nat. person with sole proprietorship;45 to 49 years;2017 4th quarter;17
6324;Nat. person with sole proprietorship;45 to 49 years;2017;95
6325;Nat. person with sole proprietorship;45 to 49 years;2018 January;13
6326;Nat. person with sole proprietorship;45 to 49 years;2018 February;9
6327;Nat. person with sole proprietorship;45 to 49 years;2018 March;6
6328;Nat. person with sole proprietorship;45 to 49 years;2018 1st quarter;28
6329;Nat. person with sole proprietorship;45 to 49 years;2018 April;8
6330;Nat. person with sole proprietorship;45 to 49 years;2018 May;8
6331;Nat. person with sole proprietorship;45 to 49 years;2018 June;5
6332;Nat. person with sole proprietorship;45 to 49 years;2018 2nd quarter;21
6333;Nat. person with sole proprietorship;45 to 49 years;2018 July;7
6334;Nat. person with sole proprietorship;45 to 49 years;2018 August;9
6335;Nat. person with sole proprietorship;45 to 49 years;2018 September;5
6336;Nat. person with sole proprietorship;45 to 49 years;2018 3rd quarter;21
6337;Nat. person with sole proprietorship;45 to 49 years;2018 October;3
6338;Nat. person with sole proprietorship;45 to 49 years;2018 November;5
6339;Nat. person with sole proprietorship;45 to 49 years;2018 December;2
6340;Nat. person with sole proprietorship;45 to 49 years;2018 4th quarter;10
6341;Nat. person with sole proprietorship;45 to 49 years;2018;80
6342;Nat. person with sole proprietorship;45 to 49 years;2019 January;10
6343;Nat. person with sole proprietorship;45 to 49 years;2019 February;7
6344;Nat. person with sole proprietorship;45 to 49 years;2019 March;3
6345;Nat. person with sole proprietorship;45 to 49 years;2019 1st quarter;20
6346;Nat. person with sole proprietorship;45 to 49 years;2019 April;10
6347;Nat. person with sole proprietorship;45 to 49 years;2019 May;11
6348;Nat. person with sole proprietorship;45 to 49 years;2019 June;6
6349;Nat. person with sole proprietorship;45 to 49 years;2019 2nd quarter;27
6350;Nat. person with sole proprietorship;45 to 49 years;2019 July;5
6351;Nat. person with sole proprietorship;45 to 49 years;2019 August;8
6352;Nat. person with sole proprietorship;45 to 49 years;2019 September;11
6353;Nat. person with sole proprietorship;45 to 49 years;2019 3rd quarter;24
6354;Nat. person with sole proprietorship;45 to 49 years;2019 October;8
6355;Nat. person with sole proprietorship;45 to 49 years;2019 November;13
6356;Nat. person with sole proprietorship;45 to 49 years;2019 December;10
6357;Nat. person with sole proprietorship;45 to 49 years;2019 4th quarter;31
6358;Nat. person with sole proprietorship;45 to 49 years;2019;102
6359;Nat. person with sole proprietorship;45 to 49 years;2020 January;6
6360;Nat. person with sole proprietorship;45 to 49 years;2020 February;12
6361;Nat. person with sole proprietorship;45 to 49 years;2020 March;5
6362;Nat. person with sole proprietorship;45 to 49 years;2020 1st quarter;23
6363;Nat. person with sole proprietorship;45 to 49 years;2020 April;6
6364;Nat. person with sole proprietorship;45 to 49 years;2020 May;10
6365;Nat. person with sole proprietorship;45 to 49 years;2020 June;8
6366;Nat. person with sole proprietorship;45 to 49 years;2020 2nd quarter;24
6367;Nat. person with sole proprietorship;45 to 49 years;2020 July;6
6368;Nat. person with sole proprietorship;45 to 49 years;2020 August;1
6369;Nat. person with sole proprietorship;45 to 49 years;2020 September;5
6370;Nat. person with sole proprietorship;45 to 49 years;2020 3rd quarter;12
6371;Nat. person with sole proprietorship;45 to 49 years;2020 October;0
6372;Nat. person with sole proprietorship;45 to 49 years;2020 November;7
6373;Nat. person with sole proprietorship;45 to 49 years;2020 December;6
6374;Nat. person with sole proprietorship;45 to 49 years;2020 4th quarter;13
6375;Nat. person with sole proprietorship;45 to 49 years;2020;72
6376;Nat. person with sole proprietorship;45 to 49 years;2021 January;4
6377;Nat. person with sole proprietorship;45 to 49 years;2021 February;1
6378;Nat. person with sole proprietorship;45 to 49 years;2021 March;5
6379;Nat. person with sole proprietorship;45 to 49 years;2021 1st quarter;10
6380;Nat. person with sole proprietorship;45 to 49 years;2021 April;5
6381;Nat. person with sole proprietorship;45 to 49 years;2021 May;2
6382;Nat. person with sole proprietorship;45 to 49 years;2021 June;1
6383;Nat. person with sole proprietorship;45 to 49 years;2021 2nd quarter;8
6384;Nat. person with sole proprietorship;45 to 49 years;2021 July;4
6385;Nat. person with sole proprietorship;45 to 49 years;2021 August;2
6386;Nat. person with sole proprietorship;45 to 49 years;2021 September;0
6387;Nat. person with sole proprietorship;45 to 49 years;2021 3rd quarter;6
6388;Nat. person with sole proprietorship;45 to 49 years;2021 October;3
6389;Nat. person with sole proprietorship;45 to 49 years;2021 November;2
6390;Nat. person with sole proprietorship;45 to 49 years;2021 December;5
6391;Nat. person with sole proprietorship;45 to 49 years;2021 4th quarter;10
6392;Nat. person with sole proprietorship;45 to 49 years;2021;34
6393;Nat. person with sole proprietorship;45 to 49 years;2022 January;2
6394;Nat. person with sole proprietorship;45 to 49 years;2022 February;4
6395;Nat. person with sole proprietorship;45 to 49 years;2022 March;4
6396;Nat. person with sole proprietorship;45 to 49 years;2022 1st quarter;10
6397;Nat. person with sole proprietorship;45 to 49 years;2022 April;3
6398;Nat. person with sole proprietorship;45 to 49 years;2022 May;9
6399;Nat. person with sole proprietorship;45 to 49 years;2022 June;1
6400;Nat. person with sole proprietorship;45 to 49 years;2022 2nd quarter;13
6401;Nat. person with sole proprietorship;45 to 49 years;2022 July;0
6402;Nat. person with sole proprietorship;45 to 49 years;2022 August;5
6403;Nat. person with sole proprietorship;45 to 49 years;2022 September;1
6404;Nat. person with sole proprietorship;45 to 49 years;2022 3rd quarter;6
6405;Nat. person with sole proprietorship;45 to 49 years;2022 October;2
6406;Nat. person with sole proprietorship;45 to 49 years;2022 November;3
6407;Nat. person with sole proprietorship;45 to 49 years;2022 December;1
6408;Nat. person with sole proprietorship;45 to 49 years;2022 4th quarter;6
6409;Nat. person with sole proprietorship;45 to 49 years;2022;35
6410;Nat. person with sole proprietorship;45 to 49 years;2023 January;4
6411;Nat. person with sole proprietorship;45 to 49 years;2023 February;3
6412;Nat. person with sole proprietorship;45 to 49 years;2023 March;1
6413;Nat. person with sole proprietorship;45 to 49 years;2023 1st quarter;8
6414;Nat. person with sole proprietorship;45 to 49 years;2023 April;4
6415;Nat. person with sole proprietorship;45 to 49 years;2023 May;3
6416;Nat. person with sole proprietorship;45 to 49 years;2023 June;2
6417;Nat. person with sole proprietorship;45 to 49 years;2023 2nd quarter;9
6418;Nat. person with sole proprietorship;45 to 49 years;2023 July;2
6419;Nat. person with sole proprietorship;45 to 49 years;2023 August;5
6420;Nat. person with sole proprietorship;45 to 49 years;2023 September;4
6421;Nat. person with sole proprietorship;45 to 49 years;2023 3rd quarter;11
6422;Nat. person with sole proprietorship;45 to 49 years;2023 October;5
6423;Nat. person with sole proprietorship;45 to 49 years;2023 November;4
6424;Nat. person with sole proprietorship;45 to 49 years;2023 December;2
6425;Nat. person with sole proprietorship;45 to 49 years;2023 4th quarter;11
6426;Nat. person with sole proprietorship;45 to 49 years;2023;39
6427;Nat. person with sole proprietorship;45 to 49 years;2024 January;6
6428;Nat. person with sole proprietorship;45 to 49 years;2024 February;3
6429;Nat. person with sole proprietorship;45 to 49 years;2024 March;5
6430;Nat. person with sole proprietorship;45 to 49 years;2024 1st quarter;14
6431;Nat. person with sole proprietorship;45 to 49 years;2024 April;3
6432;Nat. person with sole proprietorship;45 to 49 years;2024 May;2
6433;Nat. person with sole proprietorship;45 to 49 years;2024 June;0
6434;Nat. person with sole proprietorship;45 to 49 years;2024 2nd quarter;5
6435;Nat. person with sole proprietorship;45 to 49 years;2024 July;2
6436;Nat. person with sole proprietorship;45 to 49 years;2024 August;3
6437;Nat. person with sole proprietorship;45 to 49 years;2024 September;6
6438;Nat. person with sole proprietorship;45 to 49 years;2024 3rd quarter;11
6439;Nat. person with sole proprietorship;45 to 49 years;2024 October;5
6440;Nat. person with sole proprietorship;45 to 49 years;2024 November;5
6441;Nat. person with sole proprietorship;45 to 49 years;2024 December;4
6442;Nat. person with sole proprietorship;45 to 49 years;2024 4th quarter;14
6443;Nat. person with sole proprietorship;45 to 49 years;2024;44
6444;Nat. person with sole proprietorship;45 to 49 years;2025 January;7
6445;Nat. person with sole proprietorship;45 to 49 years;2025 February;4
6446;Nat. person with sole proprietorship;45 to 49 years;2025 March;6
6447;Nat. person with sole proprietorship;45 to 49 years;2025 1st quarter;17
6448;Nat. person with sole proprietorship;50 to 54 years;2013 January;12
6449;Nat. person with sole proprietorship;50 to 54 years;2013 February;13
6450;Nat. person with sole proprietorship;50 to 54 years;2013 March;8
6451;Nat. person with sole proprietorship;50 to 54 years;2013 1st quarter;33
6452;Nat. person with sole proprietorship;50 to 54 years;2013 April;13
6453;Nat. person with sole proprietorship;50 to 54 years;2013 May;13
6454;Nat. person with sole proprietorship;50 to 54 years;2013 June;15
6455;Nat. person with sole proprietorship;50 to 54 years;2013 2nd quarter;41
6456;Nat. person with sole proprietorship;50 to 54 years;2013 July;22
6457;Nat. person with sole proprietorship;50 to 54 years;2013 August;9
6458;Nat. person with sole proprietorship;50 to 54 years;2013 September;12
6459;Nat. person with sole proprietorship;50 to 54 years;2013 3rd quarter;43
6460;Nat. person with sole proprietorship;50 to 54 years;2013 October;13
6461;Nat. person with sole proprietorship;50 to 54 years;2013 November;12
6462;Nat. person with sole proprietorship;50 to 54 years;2013 December;14
6463;Nat. person with sole proprietorship;50 to 54 years;2013 4th quarter;39
6464;Nat. person with sole proprietorship;50 to 54 years;2013;156
6465;Nat. person with sole proprietorship;50 to 54 years;2014 January;14
6466;Nat. person with sole proprietorship;50 to 54 years;2014 February;7
6467;Nat. person with sole proprietorship;50 to 54 years;2014 March;13
6468;Nat. person with sole proprietorship;50 to 54 years;2014 1st quarter;34
6469;Nat. person with sole proprietorship;50 to 54 years;2014 April;21
6470;Nat. person with sole proprietorship;50 to 54 years;2014 May;4
6471;Nat. person with sole proprietorship;50 to 54 years;2014 June;8
6472;Nat. person with sole proprietorship;50 to 54 years;2014 2nd quarter;33
6473;Nat. person with sole proprietorship;50 to 54 years;2014 July;9
6474;Nat. person with sole proprietorship;50 to 54 years;2014 August;10
6475;Nat. person with sole proprietorship;50 to 54 years;2014 September;12
6476;Nat. person with sole proprietorship;50 to 54 years;2014 3rd quarter;31
6477;Nat. person with sole proprietorship;50 to 54 years;2014 October;10
6478;Nat. person with sole proprietorship;50 to 54 years;2014 November;15
6479;Nat. person with sole proprietorship;50 to 54 years;2014 December;17
6480;Nat. person with sole proprietorship;50 to 54 years;2014 4th quarter;42
6481;Nat. person with sole proprietorship;50 to 54 years;2014;140
6482;Nat. person with sole proprietorship;50 to 54 years;2015 January;18
6483;Nat. person with sole proprietorship;50 to 54 years;2015 February;9
6484;Nat. person with sole proprietorship;50 to 54 years;2015 March;9
6485;Nat. person with sole proprietorship;50 to 54 years;2015 1st quarter;36
6486;Nat. person with sole proprietorship;50 to 54 years;2015 April;9
6487;Nat. person with sole proprietorship;50 to 54 years;2015 May;9
6488;Nat. person with sole proprietorship;50 to 54 years;2015 June;12
6489;Nat. person with sole proprietorship;50 to 54 years;2015 2nd quarter;30
6490;Nat. person with sole proprietorship;50 to 54 years;2015 July;9
6491;Nat. person with sole proprietorship;50 to 54 years;2015 August;8
6492;Nat. person with sole proprietorship;50 to 54 years;2015 September;9
6493;Nat. person with sole proprietorship;50 to 54 years;2015 3rd quarter;26
6494;Nat. person with sole proprietorship;50 to 54 years;2015 October;4
6495;Nat. person with sole proprietorship;50 to 54 years;2015 November;5
