ID;OwnerTenant;HouseholdCharacteristics;DwellingCharacteristics;Margins;Periods;SatisfactionWithCurrentDwelling_1;SatisfactionWithLivingEnvironment_2
9288;Total;Duration of residence: 5 to 9 years;Dwelling: 2nd 25%-group WOZ;Value;2002;;
9289;Total;Duration of residence: 5 to 9 years;Dwelling: 2nd 25%-group WOZ;Value;2006;;
9290;Total;Duration of residence: 5 to 9 years;Dwelling: 2nd 25%-group WOZ;Value;2009;;
9291;Total;Duration of residence: 5 to 9 years;Dwelling: 2nd 25%-group WOZ;Value;2012;84.7;79.7
9292;Total;Duration of residence: 5 to 9 years;Dwelling: 2nd 25%-group WOZ;Value;2015;80.7;77.9
9293;Total;Duration of residence: 5 to 9 years;Dwelling: 2nd 25%-group WOZ;Value;2018;77.0;80.6
9294;Total;Duration of residence: 5 to 9 years;Dwelling: 2nd 25%-group WOZ;Value;2021;81.5;81.1
9295;Total;Duration of residence: 5 to 9 years;Dwelling: 2nd 25%-group WOZ;Value;2024;75.0;75.0
9296;Total;Duration of residence: 5 to 9 years;Dwelling: 2nd 25%-group WOZ;Lower bound 95% confidence interval;2002;;
9297;Total;Duration of residence: 5 to 9 years;Dwelling: 2nd 25%-group WOZ;Lower bound 95% confidence interval;2006;;
9298;Total;Duration of residence: 5 to 9 years;Dwelling: 2nd 25%-group WOZ;Lower bound 95% confidence interval;2009;;
9299;Total;Duration of residence: 5 to 9 years;Dwelling: 2nd 25%-group WOZ;Lower bound 95% confidence interval;2012;82.9;77.9
9300;Total;Duration of residence: 5 to 9 years;Dwelling: 2nd 25%-group WOZ;Lower bound 95% confidence interval;2015;78.7;75.9
9301;Total;Duration of residence: 5 to 9 years;Dwelling: 2nd 25%-group WOZ;Lower bound 95% confidence interval;2018;74.7;78.5
9302;Total;Duration of residence: 5 to 9 years;Dwelling: 2nd 25%-group WOZ;Lower bound 95% confidence interval;2021;79.1;78.9
9303;Total;Duration of residence: 5 to 9 years;Dwelling: 2nd 25%-group WOZ;Lower bound 95% confidence interval;2024;72.0;72.1
9304;Total;Duration of residence: 5 to 9 years;Dwelling: 2nd 25%-group WOZ;Upper bound 95% confidence interval;2002;;
9305;Total;Duration of residence: 5 to 9 years;Dwelling: 2nd 25%-group WOZ;Upper bound 95% confidence interval;2006;;
9306;Total;Duration of residence: 5 to 9 years;Dwelling: 2nd 25%-group WOZ;Upper bound 95% confidence interval;2009;;
9307;Total;Duration of residence: 5 to 9 years;Dwelling: 2nd 25%-group WOZ;Upper bound 95% confidence interval;2012;86.3;81.5
9308;Total;Duration of residence: 5 to 9 years;Dwelling: 2nd 25%-group WOZ;Upper bound 95% confidence interval;2015;82.5;79.7
9309;Total;Duration of residence: 5 to 9 years;Dwelling: 2nd 25%-group WOZ;Upper bound 95% confidence interval;2018;79.1;82.4
9310;Total;Duration of residence: 5 to 9 years;Dwelling: 2nd 25%-group WOZ;Upper bound 95% confidence interval;2021;83.7;83.2
9311;Total;Duration of residence: 5 to 9 years;Dwelling: 2nd 25%-group WOZ;Upper bound 95% confidence interval;2024;77.8;77.7
9312;Total;Duration of residence: 5 to 9 years;Dwellings: 3rd 25%-group WOZ;Value;2002;;
9313;Total;Duration of residence: 5 to 9 years;Dwellings: 3rd 25%-group WOZ;Value;2006;;
9314;Total;Duration of residence: 5 to 9 years;Dwellings: 3rd 25%-group WOZ;Value;2009;;
9315;Total;Duration of residence: 5 to 9 years;Dwellings: 3rd 25%-group WOZ;Value;2012;93.1;87.3
9316;Total;Duration of residence: 5 to 9 years;Dwellings: 3rd 25%-group WOZ;Value;2015;90.4;86.0
9317;Total;Duration of residence: 5 to 9 years;Dwellings: 3rd 25%-group WOZ;Value;2018;87.7;86.0
9318;Total;Duration of residence: 5 to 9 years;Dwellings: 3rd 25%-group WOZ;Value;2021;88.5;87.4
9319;Total;Duration of residence: 5 to 9 years;Dwellings: 3rd 25%-group WOZ;Value;2024;85.6;84.3
9320;Total;Duration of residence: 5 to 9 years;Dwellings: 3rd 25%-group WOZ;Lower bound 95% confidence interval;2002;;
9321;Total;Duration of residence: 5 to 9 years;Dwellings: 3rd 25%-group WOZ;Lower bound 95% confidence interval;2006;;
9322;Total;Duration of residence: 5 to 9 years;Dwellings: 3rd 25%-group WOZ;Lower bound 95% confidence interval;2009;;
9323;Total;Duration of residence: 5 to 9 years;Dwellings: 3rd 25%-group WOZ;Lower bound 95% confidence interval;2012;91.8;85.8
9324;Total;Duration of residence: 5 to 9 years;Dwellings: 3rd 25%-group WOZ;Lower bound 95% confidence interval;2015;89.0;84.4
9325;Total;Duration of residence: 5 to 9 years;Dwellings: 3rd 25%-group WOZ;Lower bound 95% confidence interval;2018;85.8;84.1
9326;Total;Duration of residence: 5 to 9 years;Dwellings: 3rd 25%-group WOZ;Lower bound 95% confidence interval;2021;86.4;85.4
9327;Total;Duration of residence: 5 to 9 years;Dwellings: 3rd 25%-group WOZ;Lower bound 95% confidence interval;2024;83.1;81.9
9328;Total;Duration of residence: 5 to 9 years;Dwellings: 3rd 25%-group WOZ;Upper bound 95% confidence interval;2002;;
9329;Total;Duration of residence: 5 to 9 years;Dwellings: 3rd 25%-group WOZ;Upper bound 95% confidence interval;2006;;
9330;Total;Duration of residence: 5 to 9 years;Dwellings: 3rd 25%-group WOZ;Upper bound 95% confidence interval;2009;;
9331;Total;Duration of residence: 5 to 9 years;Dwellings: 3rd 25%-group WOZ;Upper bound 95% confidence interval;2012;94.2;88.7
9332;Total;Duration of residence: 5 to 9 years;Dwellings: 3rd 25%-group WOZ;Upper bound 95% confidence interval;2015;91.7;87.5
9333;Total;Duration of residence: 5 to 9 years;Dwellings: 3rd 25%-group WOZ;Upper bound 95% confidence interval;2018;89.4;87.7
9334;Total;Duration of residence: 5 to 9 years;Dwellings: 3rd 25%-group WOZ;Upper bound 95% confidence interval;2021;90.3;89.2
9335;Total;Duration of residence: 5 to 9 years;Dwellings: 3rd 25%-group WOZ;Upper bound 95% confidence interval;2024;87.8;86.5
9336;Total;Duration of residence: 5 to 9 years;Dwellings: 4th 25%-group WOZ;Value;2002;;
9337;Total;Duration of residence: 5 to 9 years;Dwellings: 4th 25%-group WOZ;Value;2006;;
9338;Total;Duration of residence: 5 to 9 years;Dwellings: 4th 25%-group WOZ;Value;2009;;
9339;Total;Duration of residence: 5 to 9 years;Dwellings: 4th 25%-group WOZ;Value;2012;96.4;91.0
9340;Total;Duration of residence: 5 to 9 years;Dwellings: 4th 25%-group WOZ;Value;2015;94.8;89.1
9341;Total;Duration of residence: 5 to 9 years;Dwellings: 4th 25%-group WOZ;Value;2018;94.8;90.6
9342;Total;Duration of residence: 5 to 9 years;Dwellings: 4th 25%-group WOZ;Value;2021;93.7;91.5
9343;Total;Duration of residence: 5 to 9 years;Dwellings: 4th 25%-group WOZ;Value;2024;91.7;89.7
9344;Total;Duration of residence: 5 to 9 years;Dwellings: 4th 25%-group WOZ;Lower bound 95% confidence interval;2002;;
9345;Total;Duration of residence: 5 to 9 years;Dwellings: 4th 25%-group WOZ;Lower bound 95% confidence interval;2006;;
9346;Total;Duration of residence: 5 to 9 years;Dwellings: 4th 25%-group WOZ;Lower bound 95% confidence interval;2009;;
9347;Total;Duration of residence: 5 to 9 years;Dwellings: 4th 25%-group WOZ;Lower bound 95% confidence interval;2012;95.4;89.7
9348;Total;Duration of residence: 5 to 9 years;Dwellings: 4th 25%-group WOZ;Lower bound 95% confidence interval;2015;93.6;87.5
9349;Total;Duration of residence: 5 to 9 years;Dwellings: 4th 25%-group WOZ;Lower bound 95% confidence interval;2018;93.3;88.8
9350;Total;Duration of residence: 5 to 9 years;Dwellings: 4th 25%-group WOZ;Lower bound 95% confidence interval;2021;92.1;89.9
9351;Total;Duration of residence: 5 to 9 years;Dwellings: 4th 25%-group WOZ;Lower bound 95% confidence interval;2024;89.7;87.7
9352;Total;Duration of residence: 5 to 9 years;Dwellings: 4th 25%-group WOZ;Upper bound 95% confidence interval;2002;;
9353;Total;Duration of residence: 5 to 9 years;Dwellings: 4th 25%-group WOZ;Upper bound 95% confidence interval;2006;;
9354;Total;Duration of residence: 5 to 9 years;Dwellings: 4th 25%-group WOZ;Upper bound 95% confidence interval;2009;;
9355;Total;Duration of residence: 5 to 9 years;Dwellings: 4th 25%-group WOZ;Upper bound 95% confidence interval;2012;97.2;92.2
9356;Total;Duration of residence: 5 to 9 years;Dwellings: 4th 25%-group WOZ;Upper bound 95% confidence interval;2015;95.8;90.4
9357;Total;Duration of residence: 5 to 9 years;Dwellings: 4th 25%-group WOZ;Upper bound 95% confidence interval;2018;95.9;92.1
9358;Total;Duration of residence: 5 to 9 years;Dwellings: 4th 25%-group WOZ;Upper bound 95% confidence interval;2021;95.1;92.9
9359;Total;Duration of residence: 5 to 9 years;Dwellings: 4th 25%-group WOZ;Upper bound 95% confidence interval;2024;93.4;91.5
9360;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : included;Value;2002;91.2;86.7
9361;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : included;Value;2006;90.3;85.8
9362;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : included;Value;2009;90.9;83.9
9363;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : included;Value;2012;90.4;85.0
9364;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : included;Value;2015;86.9;82.9
9365;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : included;Value;2018;83.2;84.0
9366;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : included;Value;2021;86.7;85.8
9367;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : included;Value;2024;83.5;83.9
9368;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : included;Lower bound 95% confidence interval;2002;90.5;85.9
9369;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : included;Lower bound 95% confidence interval;2006;89.5;84.9
9370;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : included;Lower bound 95% confidence interval;2009;90.2;83.0
9371;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : included;Lower bound 95% confidence interval;2012;89.6;84.0
9372;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : included;Lower bound 95% confidence interval;2015;85.9;81.8
9373;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : included;Lower bound 95% confidence interval;2018;82.0;82.8
9374;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : included;Lower bound 95% confidence interval;2021;85.5;84.6
9375;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : included;Lower bound 95% confidence interval;2024;82.1;82.5
9376;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : included;Upper bound 95% confidence interval;2002;91.9;87.5
9377;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : included;Upper bound 95% confidence interval;2006;91.0;86.7
9378;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : included;Upper bound 95% confidence interval;2009;91.6;84.9
9379;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : included;Upper bound 95% confidence interval;2012;91.2;85.9
9380;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : included;Upper bound 95% confidence interval;2015;87.8;83.9
9381;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : included;Upper bound 95% confidence interval;2018;84.4;85.1
9382;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : included;Upper bound 95% confidence interval;2021;87.9;86.9
9383;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : included;Upper bound 95% confidence interval;2024;84.9;85.2
9384;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : not included;Value;2002;76.9;75.0
9385;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : not included;Value;2006;78.6;78.4
9386;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : not included;Value;2009;77.4;75.1
9387;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : not included;Value;2012;78.6;76.3
9388;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : not included;Value;2015;76.3;74.8
9389;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : not included;Value;2018;72.3;74.9
9390;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : not included;Value;2021;73.8;77.2
9391;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : not included;Value;2024;69.4;72.3
9392;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : not included;Lower bound 95% confidence interval;2002;75.3;73.4
9393;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : not included;Lower bound 95% confidence interval;2006;76.9;76.8
9394;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : not included;Lower bound 95% confidence interval;2009;75.7;73.4
9395;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : not included;Lower bound 95% confidence interval;2012;76.8;74.5
9396;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : not included;Lower bound 95% confidence interval;2015;74.5;72.9
9397;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : not included;Lower bound 95% confidence interval;2018;70.2;72.9
9398;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : not included;Lower bound 95% confidence interval;2021;71.4;75.0
9399;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : not included;Lower bound 95% confidence interval;2024;66.5;69.5
9400;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : not included;Upper bound 95% confidence interval;2002;78.5;76.6
9401;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : not included;Upper bound 95% confidence interval;2006;80.1;79.9
9402;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : not included;Upper bound 95% confidence interval;2009;79.0;76.7
9403;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : not included;Upper bound 95% confidence interval;2012;80.2;78.1
9404;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : not included;Upper bound 95% confidence interval;2015;78.1;76.5
9405;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : not included;Upper bound 95% confidence interval;2018;74.3;76.8
9406;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : not included;Upper bound 95% confidence interval;2021;76.0;79.2
9407;Total;Duration of residence: 5 to 9 years;Own garden, grounds etc. : not included;Upper bound 95% confidence interval;2024;72.2;74.9
9408;Total;Duration of residence: 10 to 19 years;Total dwellings;Value;2002;90.4;84.6
9409;Total;Duration of residence: 10 to 19 years;Total dwellings;Value;2006;90.4;85.4
9410;Total;Duration of residence: 10 to 19 years;Total dwellings;Value;2009;90.3;83.8
9411;Total;Duration of residence: 10 to 19 years;Total dwellings;Value;2012;89.1;84.5
9412;Total;Duration of residence: 10 to 19 years;Total dwellings;Value;2015;87.3;82.0
9413;Total;Duration of residence: 10 to 19 years;Total dwellings;Value;2018;84.0;83.1
9414;Total;Duration of residence: 10 to 19 years;Total dwellings;Value;2021;84.2;82.9
9415;Total;Duration of residence: 10 to 19 years;Total dwellings;Value;2024;83.2;82.7
9416;Total;Duration of residence: 10 to 19 years;Total dwellings;Lower bound 95% confidence interval;2002;89.8;84.0
9417;Total;Duration of residence: 10 to 19 years;Total dwellings;Lower bound 95% confidence interval;2006;89.8;84.7
9418;Total;Duration of residence: 10 to 19 years;Total dwellings;Lower bound 95% confidence interval;2009;89.7;83.1
9419;Total;Duration of residence: 10 to 19 years;Total dwellings;Lower bound 95% confidence interval;2012;88.4;83.8
9420;Total;Duration of residence: 10 to 19 years;Total dwellings;Lower bound 95% confidence interval;2015;86.6;81.3
9421;Total;Duration of residence: 10 to 19 years;Total dwellings;Lower bound 95% confidence interval;2018;83.2;82.3
9422;Total;Duration of residence: 10 to 19 years;Total dwellings;Lower bound 95% confidence interval;2021;83.3;82.0
9423;Total;Duration of residence: 10 to 19 years;Total dwellings;Lower bound 95% confidence interval;2024;82.2;81.7
9424;Total;Duration of residence: 10 to 19 years;Total dwellings;Upper bound 95% confidence interval;2002;90.9;85.3
9425;Total;Duration of residence: 10 to 19 years;Total dwellings;Upper bound 95% confidence interval;2006;91.0;86.1
9426;Total;Duration of residence: 10 to 19 years;Total dwellings;Upper bound 95% confidence interval;2009;90.9;84.5
9427;Total;Duration of residence: 10 to 19 years;Total dwellings;Upper bound 95% confidence interval;2012;89.7;85.2
9428;Total;Duration of residence: 10 to 19 years;Total dwellings;Upper bound 95% confidence interval;2015;88.0;82.8
