ID;InstitutionalSectors;TransactionsAndBalancingItems;Periods;GovernmentProductionAndConsumption_1
5805;Other local government;D11 Wages and salaries;2000;11007
5806;Other local government;D11 Wages and salaries;2001;11750
5807;Other local government;D11 Wages and salaries;2002;12357
5808;Other local government;D11 Wages and salaries;2003;13094
5809;Other local government;D11 Wages and salaries;2004;13266
5810;Other local government;D11 Wages and salaries;2005;13451
5811;Other local government;D11 Wages and salaries;2006;14207
5812;Other local government;D11 Wages and salaries;2007;15249
5813;Other local government;D11 Wages and salaries;2008;16857
5814;Other local government;D11 Wages and salaries;2009;18095
5815;Other local government;D11 Wages and salaries;2010;18549
5816;Other local government;D11 Wages and salaries;2011;18514
5817;Other local government;D11 Wages and salaries;2012;18463
5818;Other local government;D11 Wages and salaries;2013;15850
5819;Other local government;D11 Wages and salaries;2014;15902
5820;Other local government;D11 Wages and salaries;2015;16226
5821;Other local government;D11 Wages and salaries;2016;16780
5822;Other local government;D11 Wages and salaries;2017;17015
5823;Other local government;D11 Wages and salaries;2018;17483
5824;Other local government;D11 Wages and salaries;2019;17899
5825;Other local government;D11 Wages and salaries;2020;19094
5826;Other local government;D11 Wages and salaries;2021;19668
5827;Other local government;D11 Wages and salaries;2022;21502
5828;Other local government;D11 Wages and salaries;2023;23573
5829;Other local government;D12 Employer's social contributions;1995;2210
5830;Other local government;D12 Employer's social contributions;1996;2390
5831;Other local government;D12 Employer's social contributions;1997;2116
5832;Other local government;D12 Employer's social contributions;1998;2745
5833;Other local government;D12 Employer's social contributions;1999;2904
5834;Other local government;D12 Employer's social contributions;2000;3067
5835;Other local government;D12 Employer's social contributions;2001;3285
5836;Other local government;D12 Employer's social contributions;2002;3593
5837;Other local government;D12 Employer's social contributions;2003;3915
5838;Other local government;D12 Employer's social contributions;2004;4258
5839;Other local government;D12 Employer's social contributions;2005;4507
5840;Other local government;D12 Employer's social contributions;2006;4517
5841;Other local government;D12 Employer's social contributions;2007;4625
5842;Other local government;D12 Employer's social contributions;2008;5223
5843;Other local government;D12 Employer's social contributions;2009;5381
5844;Other local government;D12 Employer's social contributions;2010;5609
5845;Other local government;D12 Employer's social contributions;2011;5689
5846;Other local government;D12 Employer's social contributions;2012;5904
5847;Other local government;D12 Employer's social contributions;2013;5073
5848;Other local government;D12 Employer's social contributions;2014;5333
5849;Other local government;D12 Employer's social contributions;2015;5150
5850;Other local government;D12 Employer's social contributions;2016;5177
5851;Other local government;D12 Employer's social contributions;2017;5562
5852;Other local government;D12 Employer's social contributions;2018;5917
5853;Other local government;D12 Employer's social contributions;2019;6337
5854;Other local government;D12 Employer's social contributions;2020;6630
5855;Other local government;D12 Employer's social contributions;2021;6942
5856;Other local government;D12 Employer's social contributions;2022;7915
5857;Other local government;D12 Employer's social contributions;2023;8332
5858;Other local government;D29 Other taxes on production;1995;64
5859;Other local government;D29 Other taxes on production;1996;66
5860;Other local government;D29 Other taxes on production;1997;73
5861;Other local government;D29 Other taxes on production;1998;71
5862;Other local government;D29 Other taxes on production;1999;76
5863;Other local government;D29 Other taxes on production;2000;79
5864;Other local government;D29 Other taxes on production;2001;80
5865;Other local government;D29 Other taxes on production;2002;90
5866;Other local government;D29 Other taxes on production;2003;99
5867;Other local government;D29 Other taxes on production;2004;109
5868;Other local government;D29 Other taxes on production;2005;116
5869;Other local government;D29 Other taxes on production;2006;136
5870;Other local government;D29 Other taxes on production;2007;148
5871;Other local government;D29 Other taxes on production;2008;164
5872;Other local government;D29 Other taxes on production;2009;183
5873;Other local government;D29 Other taxes on production;2010;199
5874;Other local government;D29 Other taxes on production;2011;204
5875;Other local government;D29 Other taxes on production;2012;177
5876;Other local government;D29 Other taxes on production;2013;145
5877;Other local government;D29 Other taxes on production;2014;152
5878;Other local government;D29 Other taxes on production;2015;223
5879;Other local government;D29 Other taxes on production;2016;223
5880;Other local government;D29 Other taxes on production;2017;209
5881;Other local government;D29 Other taxes on production;2018;218
5882;Other local government;D29 Other taxes on production;2019;202
5883;Other local government;D29 Other taxes on production;2020;198
5884;Other local government;D29 Other taxes on production;2021;225
5885;Other local government;D29 Other taxes on production;2022;237
5886;Other local government;D29 Other taxes on production;2023;255
5887;Other local government;D39 Other subsidies on production;1995;-7
5888;Other local government;D39 Other subsidies on production;1996;-22
5889;Other local government;D39 Other subsidies on production;1997;-27
5890;Other local government;D39 Other subsidies on production;1998;-30
5891;Other local government;D39 Other subsidies on production;1999;-44
5892;Other local government;D39 Other subsidies on production;2000;-56
5893;Other local government;D39 Other subsidies on production;2001;-84
5894;Other local government;D39 Other subsidies on production;2002;-97
5895;Other local government;D39 Other subsidies on production;2003;-100
5896;Other local government;D39 Other subsidies on production;2004;-194
5897;Other local government;D39 Other subsidies on production;2005;-144
5898;Other local government;D39 Other subsidies on production;2006;-139
5899;Other local government;D39 Other subsidies on production;2007;-134
5900;Other local government;D39 Other subsidies on production;2008;-136
5901;Other local government;D39 Other subsidies on production;2009;-168
5902;Other local government;D39 Other subsidies on production;2010;-151
5903;Other local government;D39 Other subsidies on production;2011;-137
5904;Other local government;D39 Other subsidies on production;2012;-119
5905;Other local government;D39 Other subsidies on production;2013;-38
5906;Other local government;D39 Other subsidies on production;2014;-20
5907;Other local government;D39 Other subsidies on production;2015;-17
5908;Other local government;D39 Other subsidies on production;2016;-21
5909;Other local government;D39 Other subsidies on production;2017;-33
5910;Other local government;D39 Other subsidies on production;2018;-36
5911;Other local government;D39 Other subsidies on production;2019;-35
5912;Other local government;D39 Other subsidies on production;2020;-291
5913;Other local government;D39 Other subsidies on production;2021;-245
5914;Other local government;D39 Other subsidies on production;2022;-152
5915;Other local government;D39 Other subsidies on production;2023;-108
5916;Other local government;B2n Net operating surplus;1995;0
5917;Other local government;B2n Net operating surplus;1996;0
5918;Other local government;B2n Net operating surplus;1997;0
5919;Other local government;B2n Net operating surplus;1998;0
5920;Other local government;B2n Net operating surplus;1999;0
5921;Other local government;B2n Net operating surplus;2000;0
5922;Other local government;B2n Net operating surplus;2001;0
5923;Other local government;B2n Net operating surplus;2002;0
5924;Other local government;B2n Net operating surplus;2003;0
5925;Other local government;B2n Net operating surplus;2004;0
5926;Other local government;B2n Net operating surplus;2005;0
5927;Other local government;B2n Net operating surplus;2006;0
5928;Other local government;B2n Net operating surplus;2007;0
5929;Other local government;B2n Net operating surplus;2008;0
5930;Other local government;B2n Net operating surplus;2009;0
5931;Other local government;B2n Net operating surplus;2010;0
5932;Other local government;B2n Net operating surplus;2011;0
5933;Other local government;B2n Net operating surplus;2012;0
5934;Other local government;B2n Net operating surplus;2013;0
5935;Other local government;B2n Net operating surplus;2014;0
5936;Other local government;B2n Net operating surplus;2015;0
5937;Other local government;B2n Net operating surplus;2016;0
5938;Other local government;B2n Net operating surplus;2017;0
5939;Other local government;B2n Net operating surplus;2018;0
