ID;OwnerOrTenant;HouseholdCharacteristics;DwellingCharacteristics;Accuracy;Periods;TotalHousingCosts_1;NetRentOrMortgage_2;AdditionalHousingCosts_3;HousingCostRatio_4;NonSkewedRent_5;SkewedTowardsCheapRent_6;SkewedTowardsExpensiveRent_7
9102;Owner;Disposable income: 3rd 20%-group;Own garden, grounds etc. : not included;Lower bound 95% confidence interval;2018;688.0;517.0;169.0;25.5;;;
9103;Owner;Disposable income: 3rd 20%-group;Own garden, grounds etc. : not included;Lower bound 95% confidence interval;2021;674.0;509.0;162.0;22.4;;;
9104;Owner;Disposable income: 3rd 20%-group;Own garden, grounds etc. : not included;Upper bound 95% confidence interval;2012;749.0;572.0;180.0;29.5;;;
9105;Owner;Disposable income: 3rd 20%-group;Own garden, grounds etc. : not included;Upper bound 95% confidence interval;2015;743.0;575.0;171.0;28.1;;;
9106;Owner;Disposable income: 3rd 20%-group;Own garden, grounds etc. : not included;Upper bound 95% confidence interval;2018;730.0;559.0;174.0;27.1;;;
9107;Owner;Disposable income: 3rd 20%-group;Own garden, grounds etc. : not included;Upper bound 95% confidence interval;2021;727.0;561.0;169.0;24.1;;;
9108;Owner;Disposable income: 3rd 20%-group;Total dwellings;Value;2012;810.0;584.0;225.0;31.0;;;
9109;Owner;Disposable income: 3rd 20%-group;Total dwellings;Value;2015;761.0;549.0;213.0;28.9;;;
9110;Owner;Disposable income: 3rd 20%-group;Total dwellings;Value;2018;769.0;558.0;211.0;28.0;;;
9111;Owner;Disposable income: 3rd 20%-group;Total dwellings;Value;2021;745.0;540.0;205.0;24.2;;;
9112;Owner;Disposable income: 3rd 20%-group;Total dwellings;Lower bound 95% confidence interval;2012;798.0;573.0;224.0;30.7;;;
9113;Owner;Disposable income: 3rd 20%-group;Total dwellings;Lower bound 95% confidence interval;2015;751.0;539.0;211.0;28.5;;;
9114;Owner;Disposable income: 3rd 20%-group;Total dwellings;Lower bound 95% confidence interval;2018;759.0;548.0;209.0;27.7;;;
9115;Owner;Disposable income: 3rd 20%-group;Total dwellings;Lower bound 95% confidence interval;2021;734.0;529.0;203.0;23.9;;;
9116;Owner;Disposable income: 3rd 20%-group;Total dwellings;Upper bound 95% confidence interval;2012;821.0;595.0;227.0;31.4;;;
9117;Owner;Disposable income: 3rd 20%-group;Total dwellings;Upper bound 95% confidence interval;2015;772.0;559.0;214.0;29.2;;;
9118;Owner;Disposable income: 3rd 20%-group;Total dwellings;Upper bound 95% confidence interval;2018;779.0;568.0;213.0;28.4;;;
9119;Owner;Disposable income: 3rd 20%-group;Total dwellings;Upper bound 95% confidence interval;2021;756.0;551.0;206.0;24.6;;;
9120;Owner;Disposable income: 3rd 20%-group;"Type of dwelling: single-family; total";Value;2012;829.0;592.0;238.0;31.6;;;
9121;Owner;Disposable income: 3rd 20%-group;"Type of dwelling: single-family; total";Value;2015;774.0;550.0;224.0;29.3;;;
9122;Owner;Disposable income: 3rd 20%-group;"Type of dwelling: single-family; total";Value;2018;785.0;564.0;222.0;28.5;;;
9123;Owner;Disposable income: 3rd 20%-group;"Type of dwelling: single-family; total";Value;2021;757.0;542.0;215.0;24.5;;;
9124;Owner;Disposable income: 3rd 20%-group;"Type of dwelling: single-family; total";Lower bound 95% confidence interval;2012;816.0;578.0;236.0;31.2;;;
9125;Owner;Disposable income: 3rd 20%-group;"Type of dwelling: single-family; total";Lower bound 95% confidence interval;2015;763.0;539.0;222.0;28.9;;;
9126;Owner;Disposable income: 3rd 20%-group;"Type of dwelling: single-family; total";Lower bound 95% confidence interval;2018;774.0;552.0;220.0;28.1;;;
9127;Owner;Disposable income: 3rd 20%-group;"Type of dwelling: single-family; total";Lower bound 95% confidence interval;2021;745.0;530.0;213.0;24.1;;;
9128;Owner;Disposable income: 3rd 20%-group;"Type of dwelling: single-family; total";Upper bound 95% confidence interval;2012;843.0;605.0;240.0;32.0;;;
9129;Owner;Disposable income: 3rd 20%-group;"Type of dwelling: single-family; total";Upper bound 95% confidence interval;2015;785.0;561.0;226.0;29.7;;;
9130;Owner;Disposable income: 3rd 20%-group;"Type of dwelling: single-family; total";Upper bound 95% confidence interval;2018;797.0;575.0;223.0;28.9;;;
9131;Owner;Disposable income: 3rd 20%-group;"Type of dwelling: single-family; total";Upper bound 95% confidence interval;2021;770.0;555.0;217.0;24.9;;;
9132;Owner;Disposable income: 3rd 20%-group;Type of dwelling: detached house;Value;2012;858.0;582.0;276.0;32.6;;;
9133;Owner;Disposable income: 3rd 20%-group;Type of dwelling: detached house;Value;2015;816.0;555.0;261.0;30.7;;;
9134;Owner;Disposable income: 3rd 20%-group;Type of dwelling: detached house;Value;2018;844.0;585.0;259.0;30.4;;;
9135;Owner;Disposable income: 3rd 20%-group;Type of dwelling: detached house;Value;2021;786.0;533.0;253.0;25.3;;;
9136;Owner;Disposable income: 3rd 20%-group;Type of dwelling: detached house;Lower bound 95% confidence interval;2012;825.0;550.0;271.0;31.4;;;
9137;Owner;Disposable income: 3rd 20%-group;Type of dwelling: detached house;Lower bound 95% confidence interval;2015;786.0;526.0;256.0;29.6;;;
9138;Owner;Disposable income: 3rd 20%-group;Type of dwelling: detached house;Lower bound 95% confidence interval;2018;813.0;554.0;255.0;29.4;;;
9139;Owner;Disposable income: 3rd 20%-group;Type of dwelling: detached house;Lower bound 95% confidence interval;2021;755.0;502.0;249.0;24.5;;;
9140;Owner;Disposable income: 3rd 20%-group;Type of dwelling: detached house;Upper bound 95% confidence interval;2012;891.0;613.0;281.0;33.7;;;
9141;Owner;Disposable income: 3rd 20%-group;Type of dwelling: detached house;Upper bound 95% confidence interval;2015;845.0;583.0;266.0;31.8;;;
9142;Owner;Disposable income: 3rd 20%-group;Type of dwelling: detached house;Upper bound 95% confidence interval;2018;876.0;616.0;264.0;31.5;;;
9143;Owner;Disposable income: 3rd 20%-group;Type of dwelling: detached house;Upper bound 95% confidence interval;2021;818.0;564.0;258.0;26.2;;;
9144;Owner;Disposable income: 3rd 20%-group;Type of dwelling: semi-detached house;Value;2012;810.0;570.0;240.0;30.8;;;
9145;Owner;Disposable income: 3rd 20%-group;Type of dwelling: semi-detached house;Value;2015;764.0;536.0;228.0;28.8;;;
9146;Owner;Disposable income: 3rd 20%-group;Type of dwelling: semi-detached house;Value;2018;760.0;535.0;225.0;27.7;;;
9147;Owner;Disposable income: 3rd 20%-group;Type of dwelling: semi-detached house;Value;2021;721.0;505.0;216.0;23.5;;;
9148;Owner;Disposable income: 3rd 20%-group;Type of dwelling: semi-detached house;Lower bound 95% confidence interval;2012;782.0;542.0;237.0;29.9;;;
9149;Owner;Disposable income: 3rd 20%-group;Type of dwelling: semi-detached house;Lower bound 95% confidence interval;2015;740.0;512.0;225.0;28.0;;;
9150;Owner;Disposable income: 3rd 20%-group;Type of dwelling: semi-detached house;Lower bound 95% confidence interval;2018;733.0;508.0;222.0;26.8;;;
9151;Owner;Disposable income: 3rd 20%-group;Type of dwelling: semi-detached house;Lower bound 95% confidence interval;2021;699.0;484.0;212.0;22.8;;;
9152;Owner;Disposable income: 3rd 20%-group;Type of dwelling: semi-detached house;Upper bound 95% confidence interval;2012;837.0;597.0;243.0;31.8;;;
9153;Owner;Disposable income: 3rd 20%-group;Type of dwelling: semi-detached house;Upper bound 95% confidence interval;2015;789.0;560.0;232.0;29.7;;;
9154;Owner;Disposable income: 3rd 20%-group;Type of dwelling: semi-detached house;Upper bound 95% confidence interval;2018;788.0;562.0;228.0;28.5;;;
9155;Owner;Disposable income: 3rd 20%-group;Type of dwelling: semi-detached house;Upper bound 95% confidence interval;2021;743.0;527.0;219.0;24.2;;;
9156;Owner;Disposable income: 3rd 20%-group;Type of dwelling: corner house;Value;2012;832.0;599.0;233.0;31.8;;;
9157;Owner;Disposable income: 3rd 20%-group;Type of dwelling: corner house;Value;2015;782.0;564.0;218.0;29.7;;;
9158;Owner;Disposable income: 3rd 20%-group;Type of dwelling: corner house;Value;2018;773.0;560.0;213.0;28.1;;;
9159;Owner;Disposable income: 3rd 20%-group;Type of dwelling: corner house;Value;2021;761.0;552.0;209.0;24.7;;;
9160;Owner;Disposable income: 3rd 20%-group;Type of dwelling: corner house;Lower bound 95% confidence interval;2012;807.0;574.0;230.0;30.8;;;
9161;Owner;Disposable income: 3rd 20%-group;Type of dwelling: corner house;Lower bound 95% confidence interval;2015;756.0;538.0;215.0;28.7;;;
9162;Owner;Disposable income: 3rd 20%-group;Type of dwelling: corner house;Lower bound 95% confidence interval;2018;748.0;536.0;209.0;27.2;;;
9163;Owner;Disposable income: 3rd 20%-group;Type of dwelling: corner house;Lower bound 95% confidence interval;2021;735.0;526.0;205.0;23.9;;;
9164;Owner;Disposable income: 3rd 20%-group;Type of dwelling: corner house;Upper bound 95% confidence interval;2012;858.0;624.0;237.0;32.7;;;
9165;Owner;Disposable income: 3rd 20%-group;Type of dwelling: corner house;Upper bound 95% confidence interval;2015;808.0;589.0;222.0;30.6;;;
9166;Owner;Disposable income: 3rd 20%-group;Type of dwelling: corner house;Upper bound 95% confidence interval;2018;798.0;585.0;216.0;28.9;;;
9167;Owner;Disposable income: 3rd 20%-group;Type of dwelling: corner house;Upper bound 95% confidence interval;2021;787.0;578.0;213.0;25.5;;;
9168;Owner;Disposable income: 3rd 20%-group;Type of dwelling: terraced house;Value;2012;823.0;606.0;217.0;31.4;;;
9169;Owner;Disposable income: 3rd 20%-group;Type of dwelling: terraced house;Value;2015;754.0;550.0;204.0;28.7;;;
9170;Owner;Disposable income: 3rd 20%-group;Type of dwelling: terraced house;Value;2018;772.0;569.0;203.0;28.1;;;
9171;Owner;Disposable income: 3rd 20%-group;Type of dwelling: terraced house;Value;2021;759.0;564.0;195.0;24.5;;;
9172;Owner;Disposable income: 3rd 20%-group;Type of dwelling: terraced house;Lower bound 95% confidence interval;2012;801.0;584.0;215.0;30.7;;;
9173;Owner;Disposable income: 3rd 20%-group;Type of dwelling: terraced house;Lower bound 95% confidence interval;2015;739.0;536.0;201.0;28.1;;;
9174;Owner;Disposable income: 3rd 20%-group;Type of dwelling: terraced house;Lower bound 95% confidence interval;2018;758.0;554.0;201.0;27.6;;;
9175;Owner;Disposable income: 3rd 20%-group;Type of dwelling: terraced house;Lower bound 95% confidence interval;2021;738.0;544.0;192.0;23.9;;;
9176;Owner;Disposable income: 3rd 20%-group;Type of dwelling: terraced house;Upper bound 95% confidence interval;2012;845.0;627.0;220.0;32.0;;;
9177;Owner;Disposable income: 3rd 20%-group;Type of dwelling: terraced house;Upper bound 95% confidence interval;2015;768.0;565.0;206.0;29.2;;;
9178;Owner;Disposable income: 3rd 20%-group;Type of dwelling: terraced house;Upper bound 95% confidence interval;2018;787.0;584.0;206.0;28.7;;;
9179;Owner;Disposable income: 3rd 20%-group;Type of dwelling: terraced house;Upper bound 95% confidence interval;2021;780.0;585.0;197.0;25.2;;;
9180;Owner;Disposable income: 3rd 20%-group;Type of dwelling: multi-family;Value;2012;729.0;555.0;174.0;28.7;;;
9181;Owner;Disposable income: 3rd 20%-group;Type of dwelling: multi-family;Value;2015;708.0;542.0;166.0;27.2;;;
9182;Owner;Disposable income: 3rd 20%-group;Type of dwelling: multi-family;Value;2018;705.0;536.0;170.0;26.2;;;
9183;Owner;Disposable income: 3rd 20%-group;Type of dwelling: multi-family;Value;2021;697.0;532.0;164.0;23.1;;;
9184;Owner;Disposable income: 3rd 20%-group;Type of dwelling: multi-family;Lower bound 95% confidence interval;2012;711.0;537.0;171.0;28.0;;;
9185;Owner;Disposable income: 3rd 20%-group;Type of dwelling: multi-family;Lower bound 95% confidence interval;2015;683.0;517.0;163.0;26.4;;;
9186;Owner;Disposable income: 3rd 20%-group;Type of dwelling: multi-family;Lower bound 95% confidence interval;2018;687.0;517.0;167.0;25.5;;;
9187;Owner;Disposable income: 3rd 20%-group;Type of dwelling: multi-family;Lower bound 95% confidence interval;2021;673.0;509.0;161.0;22.4;;;
9188;Owner;Disposable income: 3rd 20%-group;Type of dwelling: multi-family;Upper bound 95% confidence interval;2012;747.0;572.0;177.0;29.4;;;
9189;Owner;Disposable income: 3rd 20%-group;Type of dwelling: multi-family;Upper bound 95% confidence interval;2015;733.0;567.0;169.0;27.9;;;
9190;Owner;Disposable income: 3rd 20%-group;Type of dwelling: multi-family;Upper bound 95% confidence interval;2018;724.0;554.0;172.0;26.9;;;
9191;Owner;Disposable income: 3rd 20%-group;Type of dwelling: multi-family;Upper bound 95% confidence interval;2021;720.0;556.0;167.0;23.9;;;
9192;Owner;Disposable income: 3rd 20%-group;Living surface: less than  75 m²;Value;2012;706.0;498.0;207.0;27.5;;;
9193;Owner;Disposable income: 3rd 20%-group;Living surface: less than  75 m²;Value;2015;708.0;541.0;167.0;27.1;;;
9194;Owner;Disposable income: 3rd 20%-group;Living surface: less than  75 m²;Value;2018;704.0;533.0;171.0;26.5;;;
9195;Owner;Disposable income: 3rd 20%-group;Living surface: less than  75 m²;Value;2021;694.0;531.0;164.0;23.4;;;
9196;Owner;Disposable income: 3rd 20%-group;Living surface: less than  75 m²;Lower bound 95% confidence interval;2012;684.0;477.0;203.0;26.7;;;
9197;Owner;Disposable income: 3rd 20%-group;Living surface: less than  75 m²;Lower bound 95% confidence interval;2015;665.0;498.0;163.0;26.1;;;
9198;Owner;Disposable income: 3rd 20%-group;Living surface: less than  75 m²;Lower bound 95% confidence interval;2018;676.0;505.0;167.0;25.4;;;
9199;Owner;Disposable income: 3rd 20%-group;Living surface: less than  75 m²;Lower bound 95% confidence interval;2021;659.0;495.0;159.0;22.2;;;
9200;Owner;Disposable income: 3rd 20%-group;Living surface: less than  75 m²;Upper bound 95% confidence interval;2012;727.0;520.0;212.0;28.3;;;
9201;Owner;Disposable income: 3rd 20%-group;Living surface: less than  75 m²;Upper bound 95% confidence interval;2015;751.0;584.0;171.0;28.2;;;
9202;Owner;Disposable income: 3rd 20%-group;Living surface: less than  75 m²;Upper bound 95% confidence interval;2018;733.0;562.0;176.0;27.6;;;
9203;Owner;Disposable income: 3rd 20%-group;Living surface: less than  75 m²;Upper bound 95% confidence interval;2021;730.0;566.0;169.0;24.6;;;
9204;Owner;Disposable income: 3rd 20%-group;Living surface: 75 to 99 m²;Value;2012;752.0;549.0;203.0;29.3;;;
9205;Owner;Disposable income: 3rd 20%-group;Living surface: 75 to 99 m²;Value;2015;705.0;515.0;190.0;27.1;;;
9206;Owner;Disposable income: 3rd 20%-group;Living surface: 75 to 99 m²;Value;2018;726.0;537.0;189.0;26.8;;;
9207;Owner;Disposable income: 3rd 20%-group;Living surface: 75 to 99 m²;Value;2021;699.0;519.0;180.0;23.2;;;
9208;Owner;Disposable income: 3rd 20%-group;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2012;732.0;529.0;199.0;28.5;;;
9209;Owner;Disposable income: 3rd 20%-group;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2015;688.0;498.0;187.0;26.4;;;
9210;Owner;Disposable income: 3rd 20%-group;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2018;710.0;521.0;186.0;26.2;;;
9211;Owner;Disposable income: 3rd 20%-group;Living surface: 75 to 99 m²;Lower bound 95% confidence interval;2021;678.0;498.0;177.0;22.5;;;
9212;Owner;Disposable income: 3rd 20%-group;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2012;772.0;569.0;207.0;30.1;;;
9213;Owner;Disposable income: 3rd 20%-group;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2015;722.0;532.0;193.0;27.7;;;
9214;Owner;Disposable income: 3rd 20%-group;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2018;743.0;554.0;192.0;27.4;;;
9215;Owner;Disposable income: 3rd 20%-group;Living surface: 75 to 99 m²;Upper bound 95% confidence interval;2021;720.0;540.0;183.0;23.9;;;
9216;Owner;Disposable income: 3rd 20%-group;Living surface: 100 to 149 m²;Value;2012;807.0;583.0;224.0;30.7;;;
9217;Owner;Disposable income: 3rd 20%-group;Living surface: 100 to 149 m²;Value;2015;750.0;536.0;214.0;28.5;;;
9218;Owner;Disposable income: 3rd 20%-group;Living surface: 100 to 149 m²;Value;2018;757.0;546.0;212.0;27.5;;;
9219;Owner;Disposable income: 3rd 20%-group;Living surface: 100 to 149 m²;Value;2021;732.0;528.0;203.0;23.7;;;
9220;Owner;Disposable income: 3rd 20%-group;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2012;787.0;563.0;222.0;30.1;;;
9221;Owner;Disposable income: 3rd 20%-group;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2015;738.0;524.0;212.0;28.0;;;
9222;Owner;Disposable income: 3rd 20%-group;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2018;745.0;533.0;210.0;27.1;;;
9223;Owner;Disposable income: 3rd 20%-group;Living surface: 100 to 149 m²;Lower bound 95% confidence interval;2021;717.0;514.0;201.0;23.2;;;
9224;Owner;Disposable income: 3rd 20%-group;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2012;827.0;603.0;227.0;31.3;;;
9225;Owner;Disposable income: 3rd 20%-group;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2015;763.0;548.0;216.0;28.9;;;
9226;Owner;Disposable income: 3rd 20%-group;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2018;770.0;558.0;213.0;28.0;;;
9227;Owner;Disposable income: 3rd 20%-group;Living surface: 100 to 149 m²;Upper bound 95% confidence interval;2021;746.0;543.0;205.0;24.1;;;
9228;Owner;Disposable income: 3rd 20%-group;Living surface: 150 m² or more;Value;2012;922.0;667.0;254.0;35.0;;;
9229;Owner;Disposable income: 3rd 20%-group;Living surface: 150 m² or more;Value;2015;880.0;623.0;257.0;32.9;;;
9230;Owner;Disposable income: 3rd 20%-group;Living surface: 150 m² or more;Value;2018;878.0;625.0;252.0;31.5;;;
9231;Owner;Disposable income: 3rd 20%-group;Living surface: 150 m² or more;Value;2021;844.0;594.0;250.0;27.0;;;
9232;Owner;Disposable income: 3rd 20%-group;Living surface: 150 m² or more;Lower bound 95% confidence interval;2012;898.0;644.0;251.0;34.2;;;
9233;Owner;Disposable income: 3rd 20%-group;Living surface: 150 m² or more;Lower bound 95% confidence interval;2015;849.0;594.0;252.0;31.8;;;
9234;Owner;Disposable income: 3rd 20%-group;Living surface: 150 m² or more;Lower bound 95% confidence interval;2018;845.0;594.0;248.0;30.5;;;
9235;Owner;Disposable income: 3rd 20%-group;Living surface: 150 m² or more;Lower bound 95% confidence interval;2021;814.0;564.0;246.0;26.2;;;
9236;Owner;Disposable income: 3rd 20%-group;Living surface: 150 m² or more;Upper bound 95% confidence interval;2012;946.0;691.0;258.0;35.9;;;
9237;Owner;Disposable income: 3rd 20%-group;Living surface: 150 m² or more;Upper bound 95% confidence interval;2015;911.0;653.0;261.0;34.0;;;
9238;Owner;Disposable income: 3rd 20%-group;Living surface: 150 m² or more;Upper bound 95% confidence interval;2018;910.0;657.0;257.0;32.5;;;
9239;Owner;Disposable income: 3rd 20%-group;Living surface: 150 m² or more;Upper bound 95% confidence interval;2021;874.0;623.0;254.0;27.8;;;
9240;Owner;Disposable income: 4th 20%-group;Dwelling: 1st 25%-group WOZ;Value;2012;866.0;643.0;223.0;25.0;;;
9241;Owner;Disposable income: 4th 20%-group;Dwelling: 1st 25%-group WOZ;Value;2015;731.0;517.0;215.0;20.5;;;
9242;Owner;Disposable income: 4th 20%-group;Dwelling: 1st 25%-group WOZ;Value;2018;773.0;557.0;215.0;20.6;;;
9243;Owner;Disposable income: 4th 20%-group;Dwelling: 1st 25%-group WOZ;Value;2021;742.0;530.0;212.0;17.4;;;
9244;Owner;Disposable income: 4th 20%-group;Dwelling: 1st 25%-group WOZ;Lower bound 95% confidence interval;2012;824.0;601.0;218.0;23.8;;;
