ID;OwnerTenant;HouseholdCharacteristics;Margins;Regions;Periods;SatisfactionWithCurrentDwelling_1;SatisfactionWithLivingEnvironment_2
7887;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Oost-Groningen (CR);2024;94.6;92.3
7888;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Delfzijl en omgeving (CR);2002;91.7;86.9
7889;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Delfzijl en omgeving (CR);2006;;
7890;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Delfzijl en omgeving (CR);2009;;
7891;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Delfzijl en omgeving (CR);2012;;
7892;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Delfzijl en omgeving (CR);2015;;
7893;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Delfzijl en omgeving (CR);2018;;
7894;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Delfzijl en omgeving (CR);2021;;
7895;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Delfzijl en omgeving (CR);2024;;
7896;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Overig Groningen (CR);2002;94.0;92.9
7897;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Overig Groningen (CR);2006;94.4;92.2
7898;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Overig Groningen (CR);2009;93.5;88.8
7899;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Overig Groningen (CR);2012;92.6;91.1
7900;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Overig Groningen (CR);2015;90.7;85.0
7901;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Overig Groningen (CR);2018;86.7;88.7
7902;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Overig Groningen (CR);2021;92.4;86.6
7903;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Overig Groningen (CR);2024;88.4;85.8
7904;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Friesland (CR);2002;93.4;95.9
7905;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Friesland (CR);2006;98.5;88.4
7906;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Friesland (CR);2009;95.3;89.6
7907;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Friesland (CR);2012;96.6;92.9
7908;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Friesland (CR);2015;88.1;90.8
7909;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Friesland (CR);2018;92.0;90.6
7910;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Friesland (CR);2021;95.7;95.4
7911;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Friesland (CR);2024;87.0;89.7
7912;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidwest-Friesland (CR);2002;99.2;96.5
7913;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidwest-Friesland (CR);2006;95.7;97.1
7914;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidwest-Friesland (CR);2009;95.4;95.2
7915;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidwest-Friesland (CR);2012;97.8;95.3
7916;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidwest-Friesland (CR);2015;90.4;94.4
7917;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidwest-Friesland (CR);2018;93.5;93.4
7918;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidwest-Friesland (CR);2021;93.6;95.9
7919;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidwest-Friesland (CR);2024;94.0;99.3
7920;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidoost-Friesland (CR);2002;97.3;95.7
7921;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidoost-Friesland (CR);2006;98.1;91.6
7922;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidoost-Friesland (CR);2009;97.4;92.3
7923;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidoost-Friesland (CR);2012;95.9;93.4
7924;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidoost-Friesland (CR);2015;95.2;96.4
7925;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidoost-Friesland (CR);2018;92.5;93.5
7926;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidoost-Friesland (CR);2021;95.0;93.3
7927;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidoost-Friesland (CR);2024;93.9;91.8
7928;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Drenthe (CR);2002;94.6;92.6
7929;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Drenthe (CR);2006;97.2;94.5
7930;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Drenthe (CR);2009;97.4;96.2
7931;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Drenthe (CR);2012;96.3;96.2
7932;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Drenthe (CR);2015;95.5;94.1
7933;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Drenthe (CR);2018;90.7;97.3
7934;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Drenthe (CR);2021;96.5;95.5
7935;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Drenthe (CR);2024;93.9;89.7
7936;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidoost-Drenthe (CR);2002;92.9;93.0
7937;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidoost-Drenthe (CR);2006;97.1;91.0
7938;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidoost-Drenthe (CR);2009;97.1;96.2
7939;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidoost-Drenthe (CR);2012;97.2;95.5
7940;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidoost-Drenthe (CR);2015;93.6;85.3
7941;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidoost-Drenthe (CR);2018;90.0;85.1
7942;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidoost-Drenthe (CR);2021;94.9;89.9
7943;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidoost-Drenthe (CR);2024;83.4;87.9
7944;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidwest-Drenthe (CR);2002;95.4;92.5
7945;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidwest-Drenthe (CR);2006;96.1;94.9
7946;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidwest-Drenthe (CR);2009;100.0;92.3
7947;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidwest-Drenthe (CR);2012;97.9;96.4
7948;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidwest-Drenthe (CR);2015;97.4;95.9
7949;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidwest-Drenthe (CR);2018;92.8;91.4
7950;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidwest-Drenthe (CR);2021;95.5;94.8
7951;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidwest-Drenthe (CR);2024;90.4;95.4
7952;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Overijssel (CR);2002;98.0;92.8
7953;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Overijssel (CR);2006;94.4;92.1
7954;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Overijssel (CR);2009;94.8;89.2
7955;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Overijssel (CR);2012;95.4;92.5
7956;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Overijssel (CR);2015;93.3;88.4
7957;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Overijssel (CR);2018;91.8;91.1
7958;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Overijssel (CR);2021;91.2;91.1
7959;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Noord-Overijssel (CR);2024;92.5;93.8
7960;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidwest-Overijssel (CR);2002;96.3;91.0
7961;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidwest-Overijssel (CR);2006;94.7;91.1
7962;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidwest-Overijssel (CR);2009;98.3;94.6
7963;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidwest-Overijssel (CR);2012;96.7;93.6
7964;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidwest-Overijssel (CR);2015;93.6;87.6
7965;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidwest-Overijssel (CR);2018;92.7;94.3
7966;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidwest-Overijssel (CR);2021;99.1;94.7
7967;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidwest-Overijssel (CR);2024;97.3;95.5
7968;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Twente (CR);2002;95.4;91.7
7969;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Twente (CR);2006;94.6;92.0
7970;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Twente (CR);2009;94.9;92.3
7971;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Twente (CR);2012;93.4;91.6
7972;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Twente (CR);2015;91.3;90.0
7973;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Twente (CR);2018;88.0;88.6
7974;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Twente (CR);2021;93.3;88.8
7975;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Twente (CR);2024;89.1;93.1
7976;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Veluwe (CR);2002;93.9;92.3
7977;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Veluwe (CR);2006;93.3;90.9
7978;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Veluwe (CR);2009;95.6;89.9
7979;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Veluwe (CR);2012;92.0;89.4
7980;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Veluwe (CR);2015;92.6;91.1
7981;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Veluwe (CR);2018;91.9;89.9
7982;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Veluwe (CR);2021;93.0;90.9
7983;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Veluwe (CR);2024;89.3;90.0
7984;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Achterhoek (CR);2002;96.3;94.3
7985;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Achterhoek (CR);2006;96.6;93.2
7986;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Achterhoek (CR);2009;96.1;91.3
7987;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Achterhoek (CR);2012;96.0;94.1
7988;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Achterhoek (CR);2015;93.1;87.0
7989;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Achterhoek (CR);2018;89.0;83.5
7990;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Achterhoek (CR);2021;91.5;87.9
7991;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Achterhoek (CR);2024;91.7;94.4
7992;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Arnhem/Nijmegen (CR);2002;92.8;86.2
7993;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Arnhem/Nijmegen (CR);2006;93.2;85.9
7994;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Arnhem/Nijmegen (CR);2009;87.0;82.3
7995;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Arnhem/Nijmegen (CR);2012;88.0;84.0
7996;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Arnhem/Nijmegen (CR);2015;86.4;82.2
7997;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Arnhem/Nijmegen (CR);2018;83.4;85.3
7998;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Arnhem/Nijmegen (CR);2021;85.0;84.8
7999;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Arnhem/Nijmegen (CR);2024;87.9;87.0
8000;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidwest-Gelderland (CR);2002;96.5;91.2
8001;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidwest-Gelderland (CR);2006;96.2;95.1
8002;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidwest-Gelderland (CR);2009;96.0;93.4
8003;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidwest-Gelderland (CR);2012;98.4;92.9
8004;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidwest-Gelderland (CR);2015;97.8;92.7
8005;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidwest-Gelderland (CR);2018;90.6;86.4
8006;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidwest-Gelderland (CR);2021;91.0;91.5
8007;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Zuidwest-Gelderland (CR);2024;91.9;94.4
8008;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Utrecht (CR);2002;92.9;89.0
8009;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Utrecht (CR);2006;92.6;89.1
8010;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Utrecht (CR);2009;93.2;86.5
8011;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Utrecht (CR);2012;93.0;86.9
8012;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Utrecht (CR);2015;90.3;84.5
8013;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Utrecht (CR);2018;89.0;84.4
8014;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Utrecht (CR);2021;87.9;88.9
8015;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Utrecht (CR);2024;85.8;87.5
8016;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Kop van Noord-Holland (CR);2002;95.6;90.6
8017;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Kop van Noord-Holland (CR);2006;93.9;91.5
8018;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Kop van Noord-Holland (CR);2009;96.2;89.3
8019;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Kop van Noord-Holland (CR);2012;96.0;90.4
8020;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Kop van Noord-Holland (CR);2015;95.2;91.2
8021;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Kop van Noord-Holland (CR);2018;93.8;92.8
8022;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Kop van Noord-Holland (CR);2021;96.8;93.3
8023;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Kop van Noord-Holland (CR);2024;89.6;89.6
8024;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Alkmaar en omgeving (CR);2002;95.7;90.3
8025;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Alkmaar en omgeving (CR);2006;94.7;91.3
8026;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Alkmaar en omgeving (CR);2009;94.6;91.6
8027;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Alkmaar en omgeving (CR);2012;93.3;88.6
8028;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Alkmaar en omgeving (CR);2015;96.1;92.4
8029;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Alkmaar en omgeving (CR);2018;91.5;91.3
8030;Total;Age head of household: 45 to 54;Upper bound 95% confidence interval;Alkmaar en omgeving (CR);2021;93.0;95.1
