ID;ModesOfTravel;Population;TravelPurposes;Margins;RegionCharacteristics;Periods;AverageDistanceTravelledPerTrip_1;AverageTravelTimePerTrip_2
8151;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Limburg (PV);2021;13.13;19.77
8152;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Limburg (PV);2022;13.39;20.1
8153;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Limburg (PV);2023;12.28;18.78
8154;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Extremely urbanised;2018;19.53;28.59
8155;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Extremely urbanised;2019;19.06;28.26
8156;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Extremely urbanised;2020;17.03;25.93
8157;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Extremely urbanised;2021;17.11;26.63
8158;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Extremely urbanised;2022;17.13;26.51
8159;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Extremely urbanised;2023;17.58;27.37
8160;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Strongly urbanised;2018;18.52;25.26
8161;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Strongly urbanised;2019;18.14;25.26
8162;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Strongly urbanised;2020;15.87;22.95
8163;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Strongly urbanised;2021;16.41;23.81
8164;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Strongly urbanised;2022;17.0;24.49
8165;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Strongly urbanised;2023;16.94;24.59
8166;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Moderately urbanised;2018;16.79;23.25
8167;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Moderately urbanised;2019;17.5;24.08
8168;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Moderately urbanised;2020;14.51;20.91
8169;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Moderately urbanised;2021;15.45;22.41
8170;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Moderately urbanised;2022;15.88;22.85
8171;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Moderately urbanised;2023;16.25;22.97
8172;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Hardly urbanised;2018;18.06;23.8
8173;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Hardly urbanised;2019;17.69;23.57
8174;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Hardly urbanised;2020;15.12;21.07
8175;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Hardly urbanised;2021;15.74;22.09
8176;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Hardly urbanised;2022;16.6;22.73
8177;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Hardly urbanised;2023;16.89;23.04
8178;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Not urbanised;2018;17.63;22.96
8179;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Not urbanised;2019;18.66;24.16
8180;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Not urbanised;2020;15.6;21.0
8181;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Not urbanised;2021;17.85;22.92
8182;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Not urbanised;2022;16.64;22.42
8183;Passenger car (driver);Population 6 years or older;Total;Lower bound 95% confidence interval;Not urbanised;2023;17.19;22.5
8184;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;The Netherlands;2018;19.32;25.95
8185;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;The Netherlands;2019;19.4;26.24
8186;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;The Netherlands;2020;16.66;23.49
8187;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;The Netherlands;2021;17.43;24.67
8188;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;The Netherlands;2022;17.79;25.07
8189;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;The Netherlands;2023;18.01;25.24
8190;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Noord-Nederland (LD);2018;21.77;26.35
8191;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Noord-Nederland (LD);2019;22.81;27.11
8192;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Noord-Nederland (LD);2020;18.63;23.77
8193;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Noord-Nederland (LD);2021;19.26;24.63
8194;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Noord-Nederland (LD);2022;20.62;26.93
8195;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Noord-Nederland (LD);2023;20.2;25.17
8196;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Oost-Nederland (LD);2018;20.41;25.93
8197;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Oost-Nederland (LD);2019;20.64;26.49
8198;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Oost-Nederland (LD);2020;17.93;24.01
8199;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Oost-Nederland (LD);2021;18.36;25.02
8200;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Oost-Nederland (LD);2022;18.65;25.1
8201;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Oost-Nederland (LD);2023;18.96;25.35
8202;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;West-Nederland (LD);2018;19.97;27.78
8203;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;West-Nederland (LD);2019;20.16;28.42
8204;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;West-Nederland (LD);2020;17.44;25.19
8205;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;West-Nederland (LD);2021;18.05;26.34
8206;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;West-Nederland (LD);2022;18.14;26.41
8207;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;West-Nederland (LD);2023;18.78;27.29
8208;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Zuid-Nederland (LD);2018;17.45;23.85
8209;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Zuid-Nederland (LD);2019;17.12;23.38
8210;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Zuid-Nederland (LD);2020;14.68;21.43
8211;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Zuid-Nederland (LD);2021;16.09;22.95
8212;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Zuid-Nederland (LD);2022;16.53;23.36
8213;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Zuid-Nederland (LD);2023;16.26;23.12
8214;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Groningen (PV);2018;21.03;27.04
8215;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Groningen (PV);2019;25.24;29.92
8216;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Groningen (PV);2020;20.2;26.42
8217;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Groningen (PV);2021;20.32;26.41
8218;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Groningen (PV);2022;23.71;30.5
8219;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Groningen (PV);2023;18.91;25.33
8220;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Fryslân (PV);2018;23.84;27.13
8221;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Fryslân (PV);2019;26.19;29.32
8222;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Fryslân (PV);2020;20.83;24.81
8223;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Fryslân (PV);2021;21.17;25.25
8224;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Fryslân (PV);2022;21.96;28.21
8225;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Fryslân (PV);2023;22.13;26.11
8226;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Drenthe (PV);2018;22.73;27.32
8227;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Drenthe (PV);2019;20.2;25.12
8228;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Drenthe (PV);2020;17.02;22.51
8229;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Drenthe (PV);2021;18.65;24.72
8230;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Drenthe (PV);2022;19.18;25.16
8231;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Drenthe (PV);2023;21.69;26.39
8232;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Overijssel (PV);2018;20.15;25.3
8233;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Overijssel (PV);2019;20.33;26.82
8234;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Overijssel (PV);2020;17.46;24.29
8235;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Overijssel (PV);2021;18.5;25.17
8236;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Overijssel (PV);2022;19.47;25.47
8237;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Overijssel (PV);2023;18.63;24.47
8238;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Flevoland (PV);2018;25.52;29.49
8239;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Flevoland (PV);2019;23.64;28.07
8240;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Flevoland (PV);2020;22.21;25.5
8241;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Flevoland (PV);2021;22.75;27.23
8242;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Flevoland (PV);2022;23.13;28.27
8243;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Flevoland (PV);2023;23.6;29.26
8244;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Gelderland (PV);2018;20.45;26.37
8245;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Gelderland (PV);2019;21.16;26.92
8246;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Gelderland (PV);2020;18.18;24.39
8247;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Gelderland (PV);2021;18.34;25.39
8248;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Gelderland (PV);2022;18.17;25.07
8249;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Gelderland (PV);2023;19.0;25.85
8250;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Utrecht (PV);2018;21.99;27.58
8251;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Utrecht (PV);2019;23.97;30.39
8252;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Utrecht (PV);2020;19.71;26.22
8253;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Utrecht (PV);2021;19.57;26.28
8254;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Utrecht (PV);2022;19.61;26.74
8255;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Utrecht (PV);2023;20.61;28.01
8256;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Noord-Holland (PV);2018;21.37;29.19
8257;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Noord-Holland (PV);2019;20.77;29.59
8258;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Noord-Holland (PV);2020;16.84;24.73
8259;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Noord-Holland (PV);2021;18.79;27.61
8260;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Noord-Holland (PV);2022;19.37;27.41
8261;Passenger car (driver);Population 6 years or older;Total;Upper bound 95% confidence interval;Noord-Holland (PV);2023;19.42;27.5
