ID;Population;Sex;PersonalCharacteristics;ModesOfTravel;Margins;RegionCharacteristics;Periods;Trips_1;DistanceTravelled_2;TimeTravelled_3;Trips_4;DistanceTravelled_5;TimeTravelled_6
8055;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;The Netherlands;2021;0.06;0.92;3.02;24.0;334.0;18.4
8056;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;The Netherlands;2022;0.1;1.34;4.63;37.0;490.0;28.2
8057;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;The Netherlands;2023;0.1;1.26;4.48;37.0;459.0;27.3
8058;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Noord-Nederland (LD);2018;;;;;;
8059;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Noord-Nederland (LD);2019;;;;;;
8060;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Noord-Nederland (LD);2020;;;;;;
8061;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Noord-Nederland (LD);2021;;;;;;
8062;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Noord-Nederland (LD);2022;;;;;;
8063;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Noord-Nederland (LD);2023;;;;;;
8064;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Oost-Nederland (LD);2018;0.05;0.93;2.2;20.0;339.0;13.4
8065;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Oost-Nederland (LD);2019;;;;;;
8066;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Oost-Nederland (LD);2020;;;;;;
8067;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Oost-Nederland (LD);2021;;;;;;
8068;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Oost-Nederland (LD);2022;;;;;;
8069;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Oost-Nederland (LD);2023;;;;;;
8070;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;West-Nederland (LD);2018;0.16;1.86;6.26;58.0;677.0;38.1
8071;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;West-Nederland (LD);2019;0.15;1.69;6.21;55.0;619.0;37.8
8072;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;West-Nederland (LD);2020;0.09;1.1;4.05;33.0;401.0;24.7
8073;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;West-Nederland (LD);2021;0.09;1.19;4.42;34.0;434.0;26.9
8074;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;West-Nederland (LD);2022;0.14;1.59;6.14;51.0;580.0;37.4
8075;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;West-Nederland (LD);2023;0.14;1.54;6.28;52.0;564.0;38.2
8076;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Zuid-Nederland (LD);2018;0.08;1.17;3.52;28.0;427.0;21.4
8077;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Zuid-Nederland (LD);2019;;;;;;
8078;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Zuid-Nederland (LD);2020;;;;;;
8079;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Zuid-Nederland (LD);2021;;;;;;
8080;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Zuid-Nederland (LD);2022;;;;;;
8081;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Zuid-Nederland (LD);2023;;;;;;
8082;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Groningen (PV);2018;;;;;;
8083;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Groningen (PV);2019;;;;;;
8084;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Groningen (PV);2020;;;;;;
8085;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Groningen (PV);2021;;;;;;
8086;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Groningen (PV);2022;;;;;;
8087;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Groningen (PV);2023;;;;;;
8088;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Fryslân (PV);2018;;;;;;
8089;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Fryslân (PV);2019;;;;;;
8090;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Fryslân (PV);2020;;;;;;
8091;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Fryslân (PV);2021;;;;;;
8092;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Fryslân (PV);2022;;;;;;
8093;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Fryslân (PV);2023;;;;;;
8094;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Drenthe (PV);2018;;;;;;
8095;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Drenthe (PV);2019;;;;;;
8096;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Drenthe (PV);2020;;;;;;
8097;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Drenthe (PV);2021;;;;;;
8098;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Drenthe (PV);2022;;;;;;
8099;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Drenthe (PV);2023;;;;;;
8100;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Overijssel (PV);2018;;;;;;
8101;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Overijssel (PV);2019;;;;;;
8102;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Overijssel (PV);2020;;;;;;
8103;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Overijssel (PV);2021;;;;;;
8104;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Overijssel (PV);2022;;;;;;
8105;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Overijssel (PV);2023;;;;;;
8106;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Flevoland (PV);2018;;;;;;
8107;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Flevoland (PV);2019;;;;;;
8108;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Flevoland (PV);2020;;;;;;
8109;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Flevoland (PV);2021;;;;;;
8110;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Flevoland (PV);2022;;;;;;
8111;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Flevoland (PV);2023;;;;;;
8112;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Gelderland (PV);2018;;;;;;
8113;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Gelderland (PV);2019;;;;;;
8114;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Gelderland (PV);2020;;;;;;
8115;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Gelderland (PV);2021;;;;;;
8116;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Gelderland (PV);2022;;;;;;
8117;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Gelderland (PV);2023;;;;;;
8118;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Utrecht (PV);2018;;;;;;
8119;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Utrecht (PV);2019;;;;;;
8120;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Utrecht (PV);2020;;;;;;
8121;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Utrecht (PV);2021;;;;;;
8122;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Utrecht (PV);2022;;;;;;
8123;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Utrecht (PV);2023;;;;;;
8124;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Noord-Holland (PV);2018;0.16;1.59;6.22;58.0;579.0;37.9
8125;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Noord-Holland (PV);2019;0.1;1.04;4.38;38.0;378.0;26.7
8126;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Noord-Holland (PV);2020;;;;;;
8127;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Noord-Holland (PV);2021;;;;;;
8128;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Noord-Holland (PV);2022;0.12;1.26;5.17;43.0;458.0;31.5
8129;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Noord-Holland (PV);2023;0.12;1.01;4.63;42.0;369.0;28.2
8130;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Zuid-Holland (PV);2018;0.15;1.69;5.73;54.0;616.0;34.9
8131;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Zuid-Holland (PV);2019;0.19;1.87;7.23;68.0;683.0;44.0
8132;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Zuid-Holland (PV);2020;0.08;0.81;3.56;31.0;298.0;21.7
8133;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Zuid-Holland (PV);2021;0.09;1.14;4.41;32.0;417.0;26.8
8134;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Zuid-Holland (PV);2022;0.16;1.55;6.28;58.0;565.0;38.2
8135;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Zuid-Holland (PV);2023;0.16;1.6;6.64;57.0;583.0;40.4
8136;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Zeeland (PV);2018;;;;;;
8137;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Zeeland (PV);2019;;;;;;
8138;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Zeeland (PV);2020;;;;;;
8139;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Zeeland (PV);2021;;;;;;
8140;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Zeeland (PV);2022;;;;;;
8141;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Zeeland (PV);2023;;;;;;
8142;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Noord-Brabant (PV);2018;;;;;;
8143;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Noord-Brabant (PV);2019;;;;;;
8144;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Noord-Brabant (PV);2020;;;;;;
8145;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Noord-Brabant (PV);2021;;;;;;
8146;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Noord-Brabant (PV);2022;;;;;;
8147;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Noord-Brabant (PV);2023;;;;;;
8148;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Limburg (PV);2018;;;;;;
8149;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Limburg (PV);2019;;;;;;
8150;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Limburg (PV);2020;;;;;;
8151;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Limburg (PV);2021;;;;;;
8152;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Limburg (PV);2022;;;;;;
8153;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Limburg (PV);2023;;;;;;
8154;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Extremely urbanised;2018;0.22;2.02;8.37;80.0;737.0;50.9
8155;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Extremely urbanised;2019;0.19;1.67;7.28;69.0;611.0;44.3
8156;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Extremely urbanised;2020;0.11;0.97;4.57;40.0;356.0;27.9
8157;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Extremely urbanised;2021;0.12;1.04;5.08;44.0;379.0;30.9
8158;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Extremely urbanised;2022;0.2;1.35;7.03;72.0;494.0;42.8
8159;Population 6 years or older;Total male and female;Age: 12 to 17 years;Bus/tram/metro;Lower bound 95% confidence interval;Extremely urbanised;2023;0.19;1.4;7.92;69.0;512.0;48.2
