ID;Sex;Age;DegreeOfDisablement;Periods;TotalInflow_1;Employers_2;PersonnelPublicSector_3;SelfEmployed_4;YoungHandicapped_5;OtherInflow_6;WAO_7;Wajong_8;WAZ_9;TotalOutflow_10;ReasonRecoveredFromIllness_11;Retirement_12;OtherOutflow_13;WAO_14;Wajong_15;WAZ_16
7850;Women;45 to 55 years;Partial disablement (< 80%);2001 December;650;480;150;10;0;10;630;0;20;210;170;;40;200;0;0
7851;Women;45 to 55 years;Partial disablement (< 80%);2001 annual total;7010;4800;2000;100;0;110;6810;0;200;2580;1810;;770;2500;10;70
7852;Women;45 to 55 years;Partial disablement (< 80%);2002 January;510;380;100;10;0;10;480;0;20;210;160;;60;210;0;10
7853;Women;45 to 55 years;Partial disablement (< 80%);2002 February;550;410;120;10;0;10;530;0;20;250;180;;70;240;0;10
7854;Women;45 to 55 years;Partial disablement (< 80%);2002 March;570;440;110;10;0;10;550;0;20;250;190;;60;240;0;10
7855;Women;45 to 55 years;Partial disablement (< 80%);2002 April;580;460;110;10;0;10;560;0;20;280;210;;70;280;0;0
7856;Women;45 to 55 years;Partial disablement (< 80%);2002 May;530;400;110;10;0;0;510;0;20;230;180;;50;220;0;10
7857;Women;45 to 55 years;Partial disablement (< 80%);2002 June;460;320;130;10;0;0;440;0;10;210;160;;60;210;0;10
7858;Women;45 to 55 years;Partial disablement (< 80%);2002 July;480;340;120;20;0;0;460;0;20;280;210;;70;270;0;0
7859;Women;45 to 55 years;Partial disablement (< 80%);2002 August;530;400;100;20;0;0;510;0;20;240;170;;80;240;0;10
7860;Women;45 to 55 years;Partial disablement (< 80%);2002 September;450;320;120;10;0;0;440;0;10;260;190;;70;250;0;0
7861;Women;45 to 55 years;Partial disablement (< 80%);2002 October;610;420;160;20;0;10;580;0;20;250;190;;70;250;0;10
7862;Women;45 to 55 years;Partial disablement (< 80%);2002 November;570;410;140;20;0;10;550;0;20;290;220;;70;280;0;10
7863;Women;45 to 55 years;Partial disablement (< 80%);2002 December;540;360;170;10;0;0;530;0;10;260;200;;60;250;0;0
7864;Women;45 to 55 years;Partial disablement (< 80%);2002 annual total;6370;4650;1490;150;0;70;6140;0;220;3000;2230;;780;2930;0;70
7865;Women;45 to 55 years;Partial disablement (< 80%);2003 January;480;360;110;10;0;0;470;0;10;240;180;;60;230;0;10
7866;Women;45 to 55 years;Partial disablement (< 80%);2003 February;430;310;100;10;0;10;410;0;20;310;210;;100;290;0;20
7867;Women;45 to 55 years;Partial disablement (< 80%);2003 March;500;350;130;20;0;10;470;0;20;280;210;;70;270;0;10
7868;Women;45 to 55 years;Partial disablement (< 80%);2003 April;410;300;90;20;0;0;390;0;30;320;240;;80;300;0;10
7869;Women;45 to 55 years;Partial disablement (< 80%);2003 May;420;320;80;10;0;0;410;0;10;300;200;;90;290;0;10
7870;Women;45 to 55 years;Partial disablement (< 80%);2003 June;310;210;70;20;0;10;280;0;30;300;220;;80;290;0;0
7871;Women;45 to 55 years;Partial disablement (< 80%);2003 July;320;220;80;10;0;10;290;0;20;260;170;;90;250;0;10
7872;Women;45 to 55 years;Partial disablement (< 80%);2003 August;320;240;60;20;0;10;300;0;30;260;200;;60;250;0;10
7873;Women;45 to 55 years;Partial disablement (< 80%);2003 September;300;210;80;10;0;0;290;0;10;260;170;;90;240;0;10
7874;Women;45 to 55 years;Partial disablement (< 80%);2003 October;330;240;80;10;0;10;320;0;20;270;170;;100;260;0;10
7875;Women;45 to 55 years;Partial disablement (< 80%);2003 November;380;290;80;20;0;10;360;0;20;290;200;;100;290;0;10
7876;Women;45 to 55 years;Partial disablement (< 80%);2003 December;350;240;100;10;0;0;340;0;10;300;190;;110;290;0;10
7877;Women;45 to 55 years;Partial disablement (< 80%);2003 annual total;4560;3290;1030;170;0;70;4330;0;230;3370;2350;;1020;3250;10;110
7878;Women;45 to 55 years;Partial disablement (< 80%);2004 January;270;200;60;10;0;0;260;0;10;260;160;;100;250;0;0
7879;Women;45 to 55 years;Partial disablement (< 80%);2004 February;310;210;90;10;0;0;300;0;10;270;160;;110;260;0;10
7880;Women;45 to 55 years;Partial disablement (< 80%);2004 March;340;250;80;20;0;0;320;0;20;240;150;;90;240;0;10
7881;Women;45 to 55 years;Partial disablement (< 80%);2004 April;360;250;90;10;0;10;340;0;20;270;180;;90;270;0;10
7882;Women;45 to 55 years;Partial disablement (< 80%);2004 May;280;180;80;10;0;10;260;0;20;200;140;;60;190;0;10
7883;Women;45 to 55 years;Partial disablement (< 80%);2004 June;340;220;100;20;0;10;320;0;20;190;130;;60;190;0;10
7884;Women;45 to 55 years;Partial disablement (< 80%);2004 July;310;210;80;10;0;10;290;0;20;200;140;;60;200;0;10
7885;Women;45 to 55 years;Partial disablement (< 80%);2004 August;280;190;70;10;0;10;260;0;20;200;120;;80;190;0;10
7886;Women;45 to 55 years;Partial disablement (< 80%);2004 September;330;220;90;10;0;10;310;0;20;210;120;;90;200;0;10
7887;Women;45 to 55 years;Partial disablement (< 80%);2004 October;240;180;40;20;0;10;220;0;20;200;110;;90;190;0;10
7888;Women;45 to 55 years;Partial disablement (< 80%);2004 November;340;220;70;30;0;10;300;0;40;150;70;;80;140;0;10
7889;Women;45 to 55 years;Partial disablement (< 80%);2004 December;320;230;70;10;0;10;290;0;30;120;50;;70;120;0;0
7890;Women;45 to 55 years;Partial disablement (< 80%);2004 annual total;3720;2540;920;170;0;80;3470;0;240;2510;1530;;980;2420;10;80
7891;Women;45 to 55 years;Partial disablement (< 80%);2005 January;210;140;50;20;0;10;190;0;20;90;50;;40;80;0;10
7892;Women;45 to 55 years;Partial disablement (< 80%);2005 February;190;120;50;10;0;10;170;0;20;110;60;;50;100;0;10
7893;Women;45 to 55 years;Partial disablement (< 80%);2005 March;130;70;40;20;0;10;110;0;20;90;50;;40;90;0;0
7894;Women;45 to 55 years;Partial disablement (< 80%);2005 April;110;60;40;10;0;10;100;0;10;100;50;;50;100;0;0
7895;Women;45 to 55 years;Partial disablement (< 80%);2005 May;70;40;20;0;0;0;60;0;0;100;60;;50;100;0;0
7896;Women;45 to 55 years;Partial disablement (< 80%);2005 June;100;50;20;20;0;10;70;0;30;100;70;;30;100;0;0
7897;Women;45 to 55 years;Partial disablement (< 80%);2005 July;60;30;20;10;0;0;50;0;10;80;60;;20;80;0;0
7898;Women;45 to 55 years;Partial disablement (< 80%);2005 August;40;20;10;0;0;0;30;0;10;80;50;;30;80;0;0
7899;Women;45 to 55 years;Partial disablement (< 80%);2005 September;70;20;40;10;0;10;60;0;10;70;30;;40;70;0;0
7900;Women;45 to 55 years;Partial disablement (< 80%);2005 October;30;20;10;10;0;0;20;0;10;60;40;;20;60;0;0
7901;Women;45 to 55 years;Partial disablement (< 80%);2005 November;40;20;20;0;0;0;40;0;0;100;70;;30;90;0;10
7902;Women;45 to 55 years;Partial disablement (< 80%);2005 December;20;10;10;0;0;10;20;0;10;80;50;;40;70;0;10
7903;Women;45 to 55 years;Partial disablement (< 80%);2005 annual total;1070;600;310;100;0;60;910;0;150;1070;630;;440;1020;0;50
7904;Women;45 to 55 years;Partial disablement (< 80%);2006 January;30;20;10;0;0;0;30;0;10;110;70;;40;100;0;0
7905;Women;45 to 55 years;Partial disablement (< 80%);2006 February;40;20;20;0;0;0;30;0;10;70;40;;30;60;0;10
7906;Women;45 to 55 years;Partial disablement (< 80%);2006 March;30;20;10;0;0;0;30;0;0;90;50;;40;90;0;0
7907;Women;45 to 55 years;Partial disablement (< 80%);2006 April;20;10;0;0;0;0;10;0;0;100;60;;40;100;0;0
7908;Women;45 to 55 years;Partial disablement (< 80%);2006 May;20;10;10;0;0;0;20;0;0;90;50;;40;90;0;0
7909;Women;45 to 55 years;Partial disablement (< 80%);2006 June;10;10;0;0;0;0;10;0;0;100;50;;50;90;0;10
7910;Women;45 to 55 years;Partial disablement (< 80%);2006 July;20;10;10;0;0;0;20;0;0;100;50;;40;90;0;0
7911;Women;45 to 55 years;Partial disablement (< 80%);2006 August;30;20;10;0;0;0;20;0;0;90;50;;40;90;0;0
7912;Women;45 to 55 years;Partial disablement (< 80%);2006 September;20;10;0;0;0;10;10;0;10;100;50;;50;100;0;0
7913;Women;45 to 55 years;Partial disablement (< 80%);2006 October;20;20;0;0;0;0;20;0;0;120;40;;80;110;0;0
7914;Women;45 to 55 years;Partial disablement (< 80%);2006 November;20;10;0;0;0;0;10;0;0;100;50;;40;90;0;0
7915;Women;45 to 55 years;Partial disablement (< 80%);2006 December;20;20;0;0;0;0;20;0;0;110;50;;60;100;0;0
7916;Women;45 to 55 years;Partial disablement (< 80%);2006 annual total;270;170;70;10;0;20;240;0;30;1160;620;;540;1110;10;40
7917;Women;45 to 55 years;Partial disablement (< 80%);2007 January;30;20;10;0;0;0;30;0;0;110;60;;50;100;0;10
7918;Women;45 to 55 years;Partial disablement (< 80%);2007 February;10;10;0;0;0;0;10;0;0;110;50;;50;100;0;10
7919;Women;45 to 55 years;Partial disablement (< 80%);2007 March;20;10;0;0;0;0;20;0;0;120;70;;50;110;0;10
7920;Women;45 to 55 years;Partial disablement (< 80%);2007 April;10;10;10;0;0;0;10;0;0;80;40;;40;70;0;10
7921;Women;45 to 55 years;Partial disablement (< 80%);2007 May;30;20;0;0;0;0;30;0;0;90;50;;40;80;0;10
7922;Women;45 to 55 years;Partial disablement (< 80%);2007 June;20;10;0;0;0;0;10;0;0;80;40;;40;70;0;10
7923;Women;45 to 55 years;Partial disablement (< 80%);2007 July;20;10;0;0;0;0;20;0;0;70;40;;30;70;0;0
7924;Women;45 to 55 years;Partial disablement (< 80%);2007 August;20;10;0;0;0;0;20;0;0;60;40;;30;60;0;0
7925;Women;45 to 55 years;Partial disablement (< 80%);2007 September;20;10;0;0;0;0;20;0;0;50;30;;30;50;0;0
7926;Women;45 to 55 years;Partial disablement (< 80%);2007 October;40;40;0;0;0;0;40;0;0;60;30;;40;60;0;10
7927;Women;45 to 55 years;Partial disablement (< 80%);2007 November;70;50;10;10;0;0;60;0;10;80;30;;40;70;0;0
7928;Women;45 to 55 years;Partial disablement (< 80%);2007 December;30;20;10;0;0;0;30;0;0;40;20;;10;40;0;0
7929;Women;45 to 55 years;Partial disablement (< 80%);2007 annual total;300;240;40;10;10;10;280;10;10;940;500;;450;880;0;60
7930;Women;45 to 55 years;Partial disablement (< 80%);2008 January;30;30;10;0;0;0;30;0;0;50;30;;30;50;0;0
7931;Women;45 to 55 years;Partial disablement (< 80%);2008 February;20;20;10;0;0;0;20;0;0;50;20;;30;40;0;0
7932;Women;45 to 55 years;Partial disablement (< 80%);2008 March;20;20;0;0;0;0;20;0;0;40;20;;20;30;0;0
7933;Women;45 to 55 years;Partial disablement (< 80%);2008 April;20;10;0;0;0;0;20;0;0;40;20;;20;30;0;0
7934;Women;45 to 55 years;Partial disablement (< 80%);2008 May;10;10;0;0;0;0;10;0;0;50;20;;20;50;0;0
7935;Women;45 to 55 years;Partial disablement (< 80%);2008 June;10;10;0;0;0;0;10;0;0;50;30;;20;50;0;0
7936;Women;45 to 55 years;Partial disablement (< 80%);2008 July;20;20;0;0;0;0;20;0;0;30;10;;20;30;0;0
7937;Women;45 to 55 years;Partial disablement (< 80%);2008 August;10;10;0;0;0;0;10;0;0;40;20;;20;30;0;0
7938;Women;45 to 55 years;Partial disablement (< 80%);2008 September;10;10;0;0;0;0;10;0;0;50;30;;20;40;0;0
7939;Women;45 to 55 years;Partial disablement (< 80%);2008 October;10;10;0;0;0;0;10;0;0;30;10;;20;30;0;0
7940;Women;45 to 55 years;Partial disablement (< 80%);2008 November;20;10;0;0;0;0;20;0;0;60;30;;40;60;0;0
7941;Women;45 to 55 years;Partial disablement (< 80%);2008 December;10;10;0;0;0;0;10;0;0;40;20;;20;40;0;0
7942;Women;45 to 55 years;Partial disablement (< 80%);2008 annual total;210;160;30;10;0;10;190;0;20;520;260;;260;490;0;30
7943;Women;45 to 55 years;Partial disablement (< 80%);2009 January;20;10;0;0;0;0;20;0;0;60;40;;30;60;0;0
7944;Women;45 to 55 years;Partial disablement (< 80%);2009 February;10;10;0;0;0;0;10;0;0;40;30;;20;40;0;0
7945;Women;45 to 55 years;Partial disablement (< 80%);2009 March;10;10;0;0;0;0;10;0;0;50;20;;20;50;0;0
7946;Women;45 to 55 years;Partial disablement (< 80%);2009 April;10;10;0;0;0;0;10;0;0;50;30;;20;40;0;10
7947;Women;45 to 55 years;Partial disablement (< 80%);2009 May;20;20;0;0;0;0;20;0;0;40;30;;10;40;0;0
7948;Women;45 to 55 years;Partial disablement (< 80%);2009 June;10;10;0;0;0;0;10;0;0;20;10;;10;20;0;10
7949;Women;45 to 55 years;Partial disablement (< 80%);2009 July;10;10;0;0;0;0;10;0;0;10;0;;10;10;0;0
7950;Women;45 to 55 years;Partial disablement (< 80%);2009 August;10;10;0;0;0;0;10;0;0;10;0;;10;10;0;0
7951;Women;45 to 55 years;Partial disablement (< 80%);2009 September;30;30;0;0;0;0;30;0;0;10;0;;10;10;0;0
7952;Women;45 to 55 years;Partial disablement (< 80%);2009 October;20;10;0;0;0;0;20;0;0;10;0;;10;10;0;0
7953;Women;45 to 55 years;Partial disablement (< 80%);2009 November;10;10;0;0;0;0;10;0;0;10;0;;10;10;0;0
7954;Women;45 to 55 years;Partial disablement (< 80%);2009 December;10;10;0;0;0;0;10;0;0;0;0;;0;0;0;0
7955;Women;45 to 55 years;Partial disablement (< 80%);2009 annual total;160;140;10;0;0;10;160;0;10;300;160;;140;280;0;20
7956;Women;55 to 65 years;Total, degree of disablement;1998 January;420;310;40;10;10;50;360;10;50;1340;90;830.0;410;1210;70;60
7957;Women;55 to 65 years;Total, degree of disablement;1998 February;340;270;30;10;0;30;300;10;30;1170;40;710.0;420;1030;80;60
7958;Women;55 to 65 years;Total, degree of disablement;1998 March;350;240;50;20;0;40;300;0;50;1090;60;850.0;180;980;60;60
7959;Women;55 to 65 years;Total, degree of disablement;1998 April;380;280;40;20;0;30;330;0;50;1140;50;870.0;220;900;70;170
7960;Women;55 to 65 years;Total, degree of disablement;1998 May;320;240;40;0;20;20;280;20;20;1100;60;860.0;180;940;80;90
7961;Women;55 to 65 years;Total, degree of disablement;1998 June;320;240;40;10;10;30;280;10;30;970;40;740.0;190;830;50;90
7962;Women;55 to 65 years;Total, degree of disablement;1998 July;320;210;60;10;10;20;280;10;30;1020;40;760.0;220;890;50;80
7963;Women;55 to 65 years;Total, degree of disablement;1998 August;350;270;40;10;10;30;310;10;30;1130;40;790.0;300;930;130;70
7964;Women;55 to 65 years;Total, degree of disablement;1998 September;300;250;30;20;0;10;280;0;20;1120;40;800.0;280;880;130;120
7965;Women;55 to 65 years;Total, degree of disablement;1998 October;340;260;50;10;0;20;310;0;30;980;30;780.0;180;830;70;90
7966;Women;55 to 65 years;Total, degree of disablement;1998 November;400;280;80;10;0;30;370;0;30;940;40;700.0;200;810;40;80
7967;Women;55 to 65 years;Total, degree of disablement;1998 December;460;310;50;50;0;50;360;40;60;1030;40;770.0;230;880;60;100
7968;Women;55 to 65 years;Total, degree of disablement;1998 annual total;4290;3160;550;180;70;340;3760;110;410;13030;560;9470.0;3000;11100;880;1050
7969;Women;55 to 65 years;Total, degree of disablement;1999 January;360;240;100;10;0;10;350;0;20;1180;130;660.0;390;1010;40;130
7970;Women;55 to 65 years;Total, degree of disablement;1999 February;350;260;60;20;0;10;330;0;20;1050;40;800.0;220;920;60;70
7971;Women;55 to 65 years;Total, degree of disablement;1999 March;410;320;60;20;0;20;370;0;40;1440;30;890.0;520;1190;160;90
7972;Women;55 to 65 years;Total, degree of disablement;1999 April;330;260;50;10;0;20;310;0;30;1050;40;800.0;200;880;50;120
7973;Women;55 to 65 years;Total, degree of disablement;1999 May;320;260;40;10;0;10;300;0;20;1010;40;790.0;180;870;50;100
7974;Women;55 to 65 years;Total, degree of disablement;1999 June;350;280;40;10;0;20;330;0;20;1110;40;880.0;190;950;50;110
7975;Women;55 to 65 years;Total, degree of disablement;1999 July;310;240;40;10;0;20;280;0;30;980;30;780.0;180;850;40;90
7976;Women;55 to 65 years;Total, degree of disablement;1999 August;350;270;50;20;0;10;320;0;30;1020;30;770.0;220;890;50;90
7977;Women;55 to 65 years;Total, degree of disablement;1999 September;340;270;50;10;0;10;320;0;10;940;30;730.0;180;810;50;90
7978;Women;55 to 65 years;Total, degree of disablement;1999 October;350;290;40;10;0;10;330;0;20;940;30;740.0;180;790;60;90
7979;Women;55 to 65 years;Total, degree of disablement;1999 November;650;340;280;20;0;20;620;0;30;1230;40;1000.0;180;1110;40;80
7980;Women;55 to 65 years;Total, degree of disablement;1999 December;360;290;50;10;0;10;340;0;20;1290;30;790.0;470;1160;40;90
7981;Women;55 to 65 years;Total, degree of disablement;1999 annual total;4470;3310;850;140;10;160;4180;10;290;13230;530;9610.0;3090;11420;680;1130
7982;Women;55 to 65 years;Total, degree of disablement;2000 January;430;330;60;20;0;20;390;0;40;1060;50;850.0;170;900;50;120
7983;Women;55 to 65 years;Total, degree of disablement;2000 February;480;380;50;20;0;30;440;0;40;970;50;700.0;220;880;20;70
7984;Women;55 to 65 years;Total, degree of disablement;2000 March;460;350;80;20;0;10;430;0;30;1140;50;830.0;270;1040;0;100
7985;Women;55 to 65 years;Total, degree of disablement;2000 April;400;300;70;10;0;20;370;0;30;1190;50;830.0;320;1040;50;100
7986;Women;55 to 65 years;Total, degree of disablement;2000 May;420;340;50;10;0;20;390;0;30;1140;50;900.0;180;980;60;90
7987;Women;55 to 65 years;Total, degree of disablement;2000 June;360;250;80;10;0;20;330;0;30;1120;50;820.0;240;970;60;90
7988;Women;55 to 65 years;Total, degree of disablement;2000 July;340;250;50;20;0;20;300;0;40;1110;30;840.0;240;970;60;80
7989;Women;55 to 65 years;Total, degree of disablement;2000 August;350;290;30;10;0;20;320;0;30;1130;50;830.0;250;970;60;100
7990;Women;55 to 65 years;Total, degree of disablement;2000 September;440;300;100;20;0;20;400;0;40;1090;40;840.0;200;950;40;100
7991;Women;55 to 65 years;Total, degree of disablement;2000 October;370;290;50;10;0;20;340;0;20;1000;40;760.0;190;870;40;90
7992;Women;55 to 65 years;Total, degree of disablement;2000 November;510;400;80;10;0;20;480;0;30;1010;40;770.0;200;870;50;80
7993;Women;55 to 65 years;Total, degree of disablement;2000 December;460;360;70;10;0;20;440;0;30;1100;80;790.0;230;940;50;100
7994;Women;55 to 65 years;Total, degree of disablement;2000 annual total;5010;3840;760;180;10;230;4620;10;380;13050;570;9750.0;2720;11380;540;1120
7995;Women;55 to 65 years;Total, degree of disablement;2001 January;460;290;140;20;0;20;430;0;30;1060;50;830.0;190;900;40;120
7996;Women;55 to 65 years;Total, degree of disablement;2001 February;460;350;80;20;0;20;430;0;30;1020;50;750.0;210;910;50;70
7997;Women;55 to 65 years;Total, degree of disablement;2001 March;500;340;120;20;0;30;460;0;40;1170;80;900.0;190;990;40;130
7998;Women;55 to 65 years;Total, degree of disablement;2001 April;500;360;80;30;0;20;450;0;50;1060;60;820.0;190;920;60;80
7999;Women;55 to 65 years;Total, degree of disablement;2001 May;620;360;230;10;0;10;590;0;30;1550;70;1300.0;180;1420;60;80
8000;Women;55 to 65 years;Total, degree of disablement;2001 June;530;350;140;20;0;20;490;0;40;1100;60;850.0;190;930;60;110
8001;Women;55 to 65 years;Total, degree of disablement;2001 July;410;310;60;20;0;20;370;0;40;1750;70;840.0;840;1610;40;100
8002;Women;55 to 65 years;Total, degree of disablement;2001 August;430;350;50;20;0;20;400;0;30;1160;70;850.0;250;1020;50;90
8003;Women;55 to 65 years;Total, degree of disablement;2001 September;380;310;50;10;0;10;350;0;20;1110;70;840.0;200;940;50;110
8004;Women;55 to 65 years;Total, degree of disablement;2001 October;410;330;60;10;0;10;390;0;20;1040;80;790.0;170;920;40;80
8005;Women;55 to 65 years;Total, degree of disablement;2001 November;480;370;70;20;0;20;440;0;30;1010;70;760.0;180;870;50;90
8006;Women;55 to 65 years;Total, degree of disablement;2001 December;460;340;90;10;0;20;430;0;30;1010;80;790.0;140;880;40;90
8007;Women;55 to 65 years;Total, degree of disablement;2001 annual total;5630;4050;1160;200;10;210;5220;10;400;14030;780;10330.0;2920;12310;580;1140
8008;Women;55 to 65 years;Total, degree of disablement;2002 January;450;350;70;10;0;20;420;0;30;1100;60;860.0;180;920;60;120
8009;Women;55 to 65 years;Total, degree of disablement;2002 February;490;390;70;10;0;20;460;0;30;1080;70;740.0;260;940;50;90
8010;Women;55 to 65 years;Total, degree of disablement;2002 March;460;360;50;30;0;20;420;0;40;1130;90;840.0;200;980;50;100
8011;Women;55 to 65 years;Total, degree of disablement;2002 April;510;400;60;20;0;30;470;0;40;1140;90;870.0;190;1000;40;100
8012;Women;55 to 65 years;Total, degree of disablement;2002 May;430;330;60;10;0;20;400;0;30;1180;90;930.0;170;1030;50;100
8013;Women;55 to 65 years;Total, degree of disablement;2002 June;410;300;70;20;0;10;380;0;30;1110;80;850.0;180;950;50;110
8014;Women;55 to 65 years;Total, degree of disablement;2002 July;430;330;80;20;0;10;400;0;30;1140;120;850.0;180;1010;40;90
8015;Women;55 to 65 years;Total, degree of disablement;2002 August;430;310;70;40;0;20;380;0;50;1130;100;810.0;230;990;40;110
8016;Women;55 to 65 years;Total, degree of disablement;2002 September;410;300;80;20;0;10;370;0;30;1010;80;750.0;180;870;30;110
