ID;HouseholdExpenditure;CPISeries;Periods;PriceIndexFigures_1;MonthOnMonthChange_2;YearOnYearChange_3;WeightingCoefficient_4
3544;12  Miscellaneous goods and services;CPI high income households;2002 September;115.5;0.1;4.1;7043
3545;12  Miscellaneous goods and services;CPI high income households;2002 October;115.3;-0.2;3.6;7043
3546;12  Miscellaneous goods and services;CPI high income households;2002 November;115.5;0.2;3.3;7043
3547;12  Miscellaneous goods and services;CPI high income households;2002 December;115.5;0.0;3.2;7043
3548;12  Miscellaneous goods and services;CPI high income households;2002;115.0;;4.2;7043
3549;13  Consump-rel. taxes and gov. services;CPI all households;1996 January;103.6;;;4750
3550;13  Consump-rel. taxes and gov. services;CPI all households;1996 February;103.6;0.0;;4750
3551;13  Consump-rel. taxes and gov. services;CPI all households;1996 March;103.6;0.0;;4750
3552;13  Consump-rel. taxes and gov. services;CPI all households;1996 April;103.6;0.0;;4750
3553;13  Consump-rel. taxes and gov. services;CPI all households;1996 May;103.6;0.0;;4750
3554;13  Consump-rel. taxes and gov. services;CPI all households;1996 June;103.6;0.0;;4750
3555;13  Consump-rel. taxes and gov. services;CPI all households;1996 July;103.6;0.0;;4750
3556;13  Consump-rel. taxes and gov. services;CPI all households;1996 August;103.6;0.0;;4750
3557;13  Consump-rel. taxes and gov. services;CPI all households;1996 September;105.0;1.4;;4750
3558;13  Consump-rel. taxes and gov. services;CPI all households;1996 October;105.0;0.0;;4750
3559;13  Consump-rel. taxes and gov. services;CPI all households;1996 November;105.0;0.0;;4750
3560;13  Consump-rel. taxes and gov. services;CPI all households;1996 December;105.0;0.0;;4750
3561;13  Consump-rel. taxes and gov. services;CPI all households;1996;104.1;;;4750
3562;13  Consump-rel. taxes and gov. services;CPI all households;1997 January;107.8;2.7;4.1;4750
3563;13  Consump-rel. taxes and gov. services;CPI all households;1997 February;107.8;0.0;4.1;4750
3564;13  Consump-rel. taxes and gov. services;CPI all households;1997 March;107.8;0.0;4.1;4750
3565;13  Consump-rel. taxes and gov. services;CPI all households;1997 April;107.1;-0.6;3.4;4750
3566;13  Consump-rel. taxes and gov. services;CPI all households;1997 May;107.1;0.0;3.4;4750
3567;13  Consump-rel. taxes and gov. services;CPI all households;1997 June;107.1;0.0;3.4;4750
3568;13  Consump-rel. taxes and gov. services;CPI all households;1997 July;102.3;-4.5;-1.3;4750
3569;13  Consump-rel. taxes and gov. services;CPI all households;1997 August;102.3;0.0;-1.3;4750
3570;13  Consump-rel. taxes and gov. services;CPI all households;1997 September;103.2;0.9;-1.7;4750
3571;13  Consump-rel. taxes and gov. services;CPI all households;1997 October;103.2;0.0;-1.7;4750
3572;13  Consump-rel. taxes and gov. services;CPI all households;1997 November;103.2;0.0;-1.7;4750
3573;13  Consump-rel. taxes and gov. services;CPI all households;1997 December;103.2;0.0;-1.7;4750
3574;13  Consump-rel. taxes and gov. services;CPI all households;1997;105.2;;1.1;4750
3575;13  Consump-rel. taxes and gov. services;CPI all households;1998 January;106.5;3.2;-1.2;4750
3576;13  Consump-rel. taxes and gov. services;CPI all households;1998 February;106.5;0.0;-1.2;4750
3577;13  Consump-rel. taxes and gov. services;CPI all households;1998 March;106.5;0.0;-1.2;4750
3578;13  Consump-rel. taxes and gov. services;CPI all households;1998 April;106.6;0.1;-0.5;4750
3579;13  Consump-rel. taxes and gov. services;CPI all households;1998 May;106.6;0.0;-0.5;4750
3580;13  Consump-rel. taxes and gov. services;CPI all households;1998 June;106.6;0.0;-0.5;4750
3581;13  Consump-rel. taxes and gov. services;CPI all households;1998 July;106.6;0.0;4.2;4750
3582;13  Consump-rel. taxes and gov. services;CPI all households;1998 August;106.6;0.0;4.2;4750
3583;13  Consump-rel. taxes and gov. services;CPI all households;1998 September;107.4;0.8;4.1;4750
3584;13  Consump-rel. taxes and gov. services;CPI all households;1998 October;107.4;0.0;4.1;4750
3585;13  Consump-rel. taxes and gov. services;CPI all households;1998 November;107.4;0.0;4.1;4750
3586;13  Consump-rel. taxes and gov. services;CPI all households;1998 December;107.4;0.0;4.1;4750
3587;13  Consump-rel. taxes and gov. services;CPI all households;1998;106.8;;1.5;4750
3588;13  Consump-rel. taxes and gov. services;CPI all households;1999 January;110.1;2.5;3.4;4750
3589;13  Consump-rel. taxes and gov. services;CPI all households;1999 February;110.1;0.0;3.4;4750
3590;13  Consump-rel. taxes and gov. services;CPI all households;1999 March;110.1;0.0;3.4;4750
3591;13  Consump-rel. taxes and gov. services;CPI all households;1999 April;110.1;0.0;3.3;4750
3592;13  Consump-rel. taxes and gov. services;CPI all households;1999 May;110.1;0.0;3.3;4750
3593;13  Consump-rel. taxes and gov. services;CPI all households;1999 June;110.1;0.0;3.3;4750
3594;13  Consump-rel. taxes and gov. services;CPI all households;1999 July;110.1;0.0;3.3;4750
3595;13  Consump-rel. taxes and gov. services;CPI all households;1999 August;110.1;0.0;3.3;4750
3596;13  Consump-rel. taxes and gov. services;CPI all households;1999 September;111.9;1.6;4.2;4750
3597;13  Consump-rel. taxes and gov. services;CPI all households;1999 October;111.9;0.0;4.2;4750
3598;13  Consump-rel. taxes and gov. services;CPI all households;1999 November;111.9;0.0;4.2;4750
3599;13  Consump-rel. taxes and gov. services;CPI all households;1999 December;111.9;0.0;4.2;4750
3600;13  Consump-rel. taxes and gov. services;CPI all households;1999;110.7;;3.7;4750
3601;13  Consump-rel. taxes and gov. services;CPI all households;2000 January;104.7;-6.4;-4.9;4750
3602;13  Consump-rel. taxes and gov. services;CPI all households;2000 February;104.7;0.0;-4.9;4750
3603;13  Consump-rel. taxes and gov. services;CPI all households;2000 March;104.7;0.0;-4.9;4750
3604;13  Consump-rel. taxes and gov. services;CPI all households;2000 April;104.8;0.1;-4.8;4750
3605;13  Consump-rel. taxes and gov. services;CPI all households;2000 May;104.8;0.0;-4.8;4750
3606;13  Consump-rel. taxes and gov. services;CPI all households;2000 June;104.8;0.0;-4.8;4750
3607;13  Consump-rel. taxes and gov. services;CPI all households;2000 July;104.8;0.0;-4.8;4750
3608;13  Consump-rel. taxes and gov. services;CPI all households;2000 August;104.8;0.0;-4.8;4750
3609;13  Consump-rel. taxes and gov. services;CPI all households;2000 September;105.4;0.6;-5.8;4750
3610;13  Consump-rel. taxes and gov. services;CPI all households;2000 October;105.4;0.0;-5.8;4750
3611;13  Consump-rel. taxes and gov. services;CPI all households;2000 November;105.4;0.0;-5.8;4750
3612;13  Consump-rel. taxes and gov. services;CPI all households;2000 December;105.4;0.0;-5.8;4750
3613;13  Consump-rel. taxes and gov. services;CPI all households;2000;105.0;;-5.1;4750
3614;13  Consump-rel. taxes and gov. services;CPI all households;2001 January;107.1;1.6;2.3;4750
3615;13  Consump-rel. taxes and gov. services;CPI all households;2001 February;107.1;0.0;2.3;4750
3616;13  Consump-rel. taxes and gov. services;CPI all households;2001 March;107.1;0.0;2.3;4750
3617;13  Consump-rel. taxes and gov. services;CPI all households;2001 April;106.8;-0.3;1.9;4750
3618;13  Consump-rel. taxes and gov. services;CPI all households;2001 May;106.8;0.0;1.9;4750
3619;13  Consump-rel. taxes and gov. services;CPI all households;2001 June;106.8;0.0;1.9;4750
3620;13  Consump-rel. taxes and gov. services;CPI all households;2001 July;106.8;0.0;1.9;4750
3621;13  Consump-rel. taxes and gov. services;CPI all households;2001 August;106.8;0.0;1.9;4750
3622;13  Consump-rel. taxes and gov. services;CPI all households;2001 September;107.4;0.6;1.9;4750
3623;13  Consump-rel. taxes and gov. services;CPI all households;2001 October;107.3;-0.1;1.8;4750
3624;13  Consump-rel. taxes and gov. services;CPI all households;2001 November;107.3;0.0;1.8;4750
3625;13  Consump-rel. taxes and gov. services;CPI all households;2001 December;107.3;0.0;1.8;4750
3626;13  Consump-rel. taxes and gov. services;CPI all households;2001;107.0;;1.9;4750
3627;13  Consump-rel. taxes and gov. services;CPI all households;2002 January;109.3;1.9;2.1;4750
3628;13  Consump-rel. taxes and gov. services;CPI all households;2002 February;109.3;0.0;2.1;4750
3629;13  Consump-rel. taxes and gov. services;CPI all households;2002 March;109.3;0.0;2.1;4750
3630;13  Consump-rel. taxes and gov. services;CPI all households;2002 April;109.5;0.2;2.5;4750
3631;13  Consump-rel. taxes and gov. services;CPI all households;2002 May;109.5;0.0;2.5;4750
3632;13  Consump-rel. taxes and gov. services;CPI all households;2002 June;109.5;0.0;2.5;4750
3633;13  Consump-rel. taxes and gov. services;CPI all households;2002 July;109.5;0.0;2.5;4750
3634;13  Consump-rel. taxes and gov. services;CPI all households;2002 August;109.5;0.0;2.5;4750
3635;13  Consump-rel. taxes and gov. services;CPI all households;2002 September;110.6;1.0;3.0;4750
3636;13  Consump-rel. taxes and gov. services;CPI all households;2002 October;110.6;0.0;3.1;4750
3637;13  Consump-rel. taxes and gov. services;CPI all households;2002 November;110.6;0.0;3.1;4750
3638;13  Consump-rel. taxes and gov. services;CPI all households;2002 December;110.6;0.0;3.1;4750
3639;13  Consump-rel. taxes and gov. services;CPI all households;2002;109.8;;2.6;4750
3640;13  Consump-rel. taxes and gov. services;CPI low income households;1996 January;103.5;;;4806
3641;13  Consump-rel. taxes and gov. services;CPI low income households;1996 February;103.6;0.1;;4806
3642;13  Consump-rel. taxes and gov. services;CPI low income households;1996 March;103.6;0.0;;4806
3643;13  Consump-rel. taxes and gov. services;CPI low income households;1996 April;103.6;0.0;;4806
3644;13  Consump-rel. taxes and gov. services;CPI low income households;1996 May;103.6;0.0;;4806
3645;13  Consump-rel. taxes and gov. services;CPI low income households;1996 June;103.6;0.0;;4806
3646;13  Consump-rel. taxes and gov. services;CPI low income households;1996 July;103.6;0.0;;4806
3647;13  Consump-rel. taxes and gov. services;CPI low income households;1996 August;103.6;0.0;;4806
3648;13  Consump-rel. taxes and gov. services;CPI low income households;1996 September;104.7;1.1;;4806
3649;13  Consump-rel. taxes and gov. services;CPI low income households;1996 October;104.7;0.0;;4806
3650;13  Consump-rel. taxes and gov. services;CPI low income households;1996 November;104.7;0.0;;4806
3651;13  Consump-rel. taxes and gov. services;CPI low income households;1996 December;104.7;0.0;;4806
3652;13  Consump-rel. taxes and gov. services;CPI low income households;1996;103.9;;;4806
3653;13  Consump-rel. taxes and gov. services;CPI low income households;1997 January;107.5;2.7;3.9;4806
3654;13  Consump-rel. taxes and gov. services;CPI low income households;1997 February;107.5;0.0;3.8;4806
3655;13  Consump-rel. taxes and gov. services;CPI low income households;1997 March;107.5;0.0;3.8;4806
3656;13  Consump-rel. taxes and gov. services;CPI low income households;1997 April;106.8;-0.7;3.1;4806
3657;13  Consump-rel. taxes and gov. services;CPI low income households;1997 May;106.8;0.0;3.1;4806
3658;13  Consump-rel. taxes and gov. services;CPI low income households;1997 June;106.8;0.0;3.1;4806
3659;13  Consump-rel. taxes and gov. services;CPI low income households;1997 July;101.6;-4.9;-1.9;4806
3660;13  Consump-rel. taxes and gov. services;CPI low income households;1997 August;101.6;0.0;-1.9;4806
3661;13  Consump-rel. taxes and gov. services;CPI low income households;1997 September;102.4;0.8;-2.2;4806
3662;13  Consump-rel. taxes and gov. services;CPI low income households;1997 October;102.4;0.0;-2.2;4806
3663;13  Consump-rel. taxes and gov. services;CPI low income households;1997 November;102.4;0.0;-2.2;4806
3664;13  Consump-rel. taxes and gov. services;CPI low income households;1997 December;102.4;0.0;-2.2;4806
3665;13  Consump-rel. taxes and gov. services;CPI low income households;1997;104.7;;0.8;4806
3666;13  Consump-rel. taxes and gov. services;CPI low income households;1998 January;105.8;3.3;-1.6;4806
3667;13  Consump-rel. taxes and gov. services;CPI low income households;1998 February;105.8;0.0;-1.6;4806
3668;13  Consump-rel. taxes and gov. services;CPI low income households;1998 March;105.8;0.0;-1.6;4806
3669;13  Consump-rel. taxes and gov. services;CPI low income households;1998 April;105.8;0.0;-0.9;4806
3670;13  Consump-rel. taxes and gov. services;CPI low income households;1998 May;105.8;0.0;-0.9;4806
3671;13  Consump-rel. taxes and gov. services;CPI low income households;1998 June;105.8;0.0;-0.9;4806
3672;13  Consump-rel. taxes and gov. services;CPI low income households;1998 July;105.8;0.0;4.1;4806
3673;13  Consump-rel. taxes and gov. services;CPI low income households;1998 August;105.8;0.0;4.1;4806
3674;13  Consump-rel. taxes and gov. services;CPI low income households;1998 September;106.6;0.8;4.1;4806
3675;13  Consump-rel. taxes and gov. services;CPI low income households;1998 October;106.6;0.0;4.1;4806
3676;13  Consump-rel. taxes and gov. services;CPI low income households;1998 November;106.6;0.0;4.1;4806
3677;13  Consump-rel. taxes and gov. services;CPI low income households;1998 December;106.6;0.0;4.1;4806
3678;13  Consump-rel. taxes and gov. services;CPI low income households;1998;106.1;;1.3;4806
3679;13  Consump-rel. taxes and gov. services;CPI low income households;1999 January;109.2;2.4;3.2;4806
3680;13  Consump-rel. taxes and gov. services;CPI low income households;1999 February;109.2;0.0;3.2;4806
3681;13  Consump-rel. taxes and gov. services;CPI low income households;1999 March;109.2;0.0;3.2;4806
3682;13  Consump-rel. taxes and gov. services;CPI low income households;1999 April;109.2;0.0;3.2;4806
3683;13  Consump-rel. taxes and gov. services;CPI low income households;1999 May;109.2;0.0;3.2;4806
3684;13  Consump-rel. taxes and gov. services;CPI low income households;1999 June;109.2;0.0;3.2;4806
3685;13  Consump-rel. taxes and gov. services;CPI low income households;1999 July;109.2;0.0;3.2;4806
3686;13  Consump-rel. taxes and gov. services;CPI low income households;1999 August;109.2;0.0;3.2;4806
3687;13  Consump-rel. taxes and gov. services;CPI low income households;1999 September;110.7;1.4;3.8;4806
3688;13  Consump-rel. taxes and gov. services;CPI low income households;1999 October;110.7;0.0;3.8;4806
3689;13  Consump-rel. taxes and gov. services;CPI low income households;1999 November;110.7;0.0;3.8;4806
