ID;TripCharacteristics;Population;ModesOfTravel;Margins;RegionCharacteristics;Periods;AverageDistanceTravelledPerTrip_1;AverageTravelTimePerTrip_2
7617;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Noord-Brabant (PV);2021;;
7618;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Noord-Brabant (PV);2022;;
7619;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Noord-Brabant (PV);2023;;
7620;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Limburg (PV);2018;;
7621;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Limburg (PV);2019;;
7622;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Limburg (PV);2020;;
7623;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Limburg (PV);2021;;
7624;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Limburg (PV);2022;;
7625;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Limburg (PV);2023;;
7626;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Extremely urbanised;2018;;
7627;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Extremely urbanised;2019;;
7628;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Extremely urbanised;2020;;
7629;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Extremely urbanised;2021;;
7630;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Extremely urbanised;2022;;
7631;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Extremely urbanised;2023;;
7632;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Strongly urbanised;2018;;
7633;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Strongly urbanised;2019;;
7634;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Strongly urbanised;2020;;
7635;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Strongly urbanised;2021;;
7636;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Strongly urbanised;2022;;
7637;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Strongly urbanised;2023;;
7638;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Moderately urbanised;2018;;
7639;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Moderately urbanised;2019;;
7640;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Moderately urbanised;2020;;
7641;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Moderately urbanised;2021;;
7642;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Moderately urbanised;2022;;
7643;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Moderately urbanised;2023;;
7644;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Hardly urbanised;2018;;
7645;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Hardly urbanised;2019;;
7646;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Hardly urbanised;2020;;
7647;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Hardly urbanised;2021;;
7648;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Hardly urbanised;2022;;
7649;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Hardly urbanised;2023;;
7650;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Not urbanised;2018;;
7651;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Not urbanised;2019;;
7652;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Not urbanised;2020;;
7653;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Not urbanised;2021;;
7654;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Not urbanised;2022;;
7655;Distance: 0 to <1 km;Population 6 years or older;Train;Value;Not urbanised;2023;;
7656;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;The Netherlands;2018;;
7657;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;The Netherlands;2019;;
7658;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;The Netherlands;2020;;
7659;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;The Netherlands;2021;;
7660;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;The Netherlands;2022;;
7661;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;The Netherlands;2023;;
7662;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Noord-Nederland (LD);2018;;
7663;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Noord-Nederland (LD);2019;;
7664;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Noord-Nederland (LD);2020;;
7665;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Noord-Nederland (LD);2021;;
7666;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Noord-Nederland (LD);2022;;
7667;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Noord-Nederland (LD);2023;;
7668;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Oost-Nederland (LD);2018;;
7669;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Oost-Nederland (LD);2019;;
7670;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Oost-Nederland (LD);2020;;
7671;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Oost-Nederland (LD);2021;;
7672;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Oost-Nederland (LD);2022;;
7673;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Oost-Nederland (LD);2023;;
7674;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;West-Nederland (LD);2018;;
7675;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;West-Nederland (LD);2019;;
7676;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;West-Nederland (LD);2020;;
7677;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;West-Nederland (LD);2021;;
7678;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;West-Nederland (LD);2022;;
7679;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;West-Nederland (LD);2023;;
7680;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Zuid-Nederland (LD);2018;;
7681;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Zuid-Nederland (LD);2019;;
7682;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Zuid-Nederland (LD);2020;;
7683;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Zuid-Nederland (LD);2021;;
7684;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Zuid-Nederland (LD);2022;;
7685;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Zuid-Nederland (LD);2023;;
7686;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Groningen (PV);2018;;
7687;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Groningen (PV);2019;;
7688;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Groningen (PV);2020;;
7689;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Groningen (PV);2021;;
7690;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Groningen (PV);2022;;
7691;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Groningen (PV);2023;;
7692;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Fryslân (PV);2018;;
7693;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Fryslân (PV);2019;;
7694;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Fryslân (PV);2020;;
7695;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Fryslân (PV);2021;;
7696;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Fryslân (PV);2022;;
7697;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Fryslân (PV);2023;;
7698;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Drenthe (PV);2018;;
7699;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Drenthe (PV);2019;;
7700;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Drenthe (PV);2020;;
7701;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Drenthe (PV);2021;;
7702;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Drenthe (PV);2022;;
7703;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Drenthe (PV);2023;;
7704;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Overijssel (PV);2018;;
7705;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Overijssel (PV);2019;;
7706;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Overijssel (PV);2020;;
7707;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Overijssel (PV);2021;;
7708;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Overijssel (PV);2022;;
7709;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Overijssel (PV);2023;;
7710;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Flevoland (PV);2018;;
7711;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Flevoland (PV);2019;;
7712;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Flevoland (PV);2020;;
7713;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Flevoland (PV);2021;;
7714;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Flevoland (PV);2022;;
7715;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Flevoland (PV);2023;;
7716;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Gelderland (PV);2018;;
7717;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Gelderland (PV);2019;;
7718;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Gelderland (PV);2020;;
7719;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Gelderland (PV);2021;;
7720;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Gelderland (PV);2022;;
7721;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Gelderland (PV);2023;;
7722;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Utrecht (PV);2018;;
7723;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Utrecht (PV);2019;;
7724;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Utrecht (PV);2020;;
7725;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Utrecht (PV);2021;;
7726;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Utrecht (PV);2022;;
7727;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Utrecht (PV);2023;;
7728;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Noord-Holland (PV);2018;;
7729;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Noord-Holland (PV);2019;;
7730;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Noord-Holland (PV);2020;;
7731;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Noord-Holland (PV);2021;;
7732;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Noord-Holland (PV);2022;;
7733;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Noord-Holland (PV);2023;;
7734;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Zuid-Holland (PV);2018;;
7735;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Zuid-Holland (PV);2019;;
7736;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Zuid-Holland (PV);2020;;
7737;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Zuid-Holland (PV);2021;;
7738;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Zuid-Holland (PV);2022;;
7739;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Zuid-Holland (PV);2023;;
7740;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Zeeland (PV);2018;;
7741;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Zeeland (PV);2019;;
7742;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Zeeland (PV);2020;;
7743;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Zeeland (PV);2021;;
7744;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Zeeland (PV);2022;;
7745;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Zeeland (PV);2023;;
7746;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Noord-Brabant (PV);2018;;
7747;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Noord-Brabant (PV);2019;;
7748;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Noord-Brabant (PV);2020;;
7749;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Noord-Brabant (PV);2021;;
7750;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Noord-Brabant (PV);2022;;
7751;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Noord-Brabant (PV);2023;;
7752;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Limburg (PV);2018;;
7753;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Limburg (PV);2019;;
7754;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Limburg (PV);2020;;
7755;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Limburg (PV);2021;;
7756;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Limburg (PV);2022;;
7757;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Limburg (PV);2023;;
7758;Distance: 0 to <1 km;Population 6 years or older;Train;Lower bound 95% confidence interval;Extremely urbanised;2018;;
