ID;Sex;Age;BackgroundAndGeneration;MedicineGroupATC;Periods;PersonsWithDispensedMedicines_1;PersonsWithMedicinesRelative_2
7458;Total male and female;10000;Dutch background;C09A Ace inhibitors, plain;2009;734150;5.49
7459;Total male and female;10000;Dutch background;C09A Ace inhibitors, plain;2010;756980;5.66
7460;Total male and female;10000;Dutch background;C09A Ace inhibitors, plain;2011;780095;5.82
7461;Total male and female;10000;Dutch background;C09A Ace inhibitors, plain;2012;803415;6.0
7462;Total male and female;10000;Dutch background;C09A Ace inhibitors, plain;2013;810795;6.05
7463;Total male and female;10000;Dutch background;C09A Ace inhibitors, plain;2014;824115;6.15
7464;Total male and female;10000;Dutch background;C09A Ace inhibitors, plain;2015;836790;6.25
7465;Total male and female;10000;Dutch background;C09A Ace inhibitors, plain;2016;847565;6.33
7466;Total male and female;10000;Dutch background;C09A Ace inhibitors, plain;2017;854695;6.39
7467;Total male and female;10000;Dutch background;C09A Ace inhibitors, plain;2018;866280;6.48
7468;Total male and female;10000;Dutch background;C09A Ace inhibitors, plain;2019;887535;6.65
7469;Total male and female;10000;Dutch background;C09A Ace inhibitors, plain;2020;882690;6.62
7470;Total male and female;10000;Dutch background;C09B Ace inhibitors, combinations;2006;115255;0.86
7471;Total male and female;10000;Dutch background;C09B Ace inhibitors, combinations;2007;122295;0.92
7472;Total male and female;10000;Dutch background;C09B Ace inhibitors, combinations;2008;128245;0.96
7473;Total male and female;10000;Dutch background;C09B Ace inhibitors, combinations;2009;131570;0.98
7474;Total male and female;10000;Dutch background;C09B Ace inhibitors, combinations;2010;133630;1.0
7475;Total male and female;10000;Dutch background;C09B Ace inhibitors, combinations;2011;134945;1.01
7476;Total male and female;10000;Dutch background;C09B Ace inhibitors, combinations;2012;134470;1.0
7477;Total male and female;10000;Dutch background;C09B Ace inhibitors, combinations;2013;130305;0.97
7478;Total male and female;10000;Dutch background;C09B Ace inhibitors, combinations;2014;127835;0.95
7479;Total male and female;10000;Dutch background;C09B Ace inhibitors, combinations;2015;123990;0.93
7480;Total male and female;10000;Dutch background;C09B Ace inhibitors, combinations;2016;119640;0.89
7481;Total male and female;10000;Dutch background;C09B Ace inhibitors, combinations;2017;115625;0.86
7482;Total male and female;10000;Dutch background;C09B Ace inhibitors, combinations;2018;110575;0.83
7483;Total male and female;10000;Dutch background;C09B Ace inhibitors, combinations;2019;104455;0.78
7484;Total male and female;10000;Dutch background;C09B Ace inhibitors, combinations;2020;93175;0.7
7485;Total male and female;10000;Dutch background;C09C Angiotensin II antagonists, plain;2006;410715;3.07
7486;Total male and female;10000;Dutch background;C09C Angiotensin II antagonists, plain;2007;442800;3.32
7487;Total male and female;10000;Dutch background;C09C Angiotensin II antagonists, plain;2008;470530;3.52
7488;Total male and female;10000;Dutch background;C09C Angiotensin II antagonists, plain;2009;491640;3.68
7489;Total male and female;10000;Dutch background;C09C Angiotensin II antagonists, plain;2010;508320;3.8
7490;Total male and female;10000;Dutch background;C09C Angiotensin II antagonists, plain;2011;525235;3.92
7491;Total male and female;10000;Dutch background;C09C Angiotensin II antagonists, plain;2012;539140;4.02
7492;Total male and female;10000;Dutch background;C09C Angiotensin II antagonists, plain;2013;543435;4.06
7493;Total male and female;10000;Dutch background;C09C Angiotensin II antagonists, plain;2014;547770;4.09
7494;Total male and female;10000;Dutch background;C09C Angiotensin II antagonists, plain;2015;549875;4.11
7495;Total male and female;10000;Dutch background;C09C Angiotensin II antagonists, plain;2016;555900;4.15
7496;Total male and female;10000;Dutch background;C09C Angiotensin II antagonists, plain;2017;562530;4.21
7497;Total male and female;10000;Dutch background;C09C Angiotensin II antagonists, plain;2018;585350;4.38
7498;Total male and female;10000;Dutch background;C09C Angiotensin II antagonists, plain;2019;618155;4.63
7499;Total male and female;10000;Dutch background;C09C Angiotensin II antagonists, plain;2020;589895;4.42
7500;Total male and female;10000;Dutch background;C09D Angiotensin II antagonists, combin.;2006;173560;1.3
7501;Total male and female;10000;Dutch background;C09D Angiotensin II antagonists, combin.;2007;199895;1.5
7502;Total male and female;10000;Dutch background;C09D Angiotensin II antagonists, combin.;2008;221970;1.66
7503;Total male and female;10000;Dutch background;C09D Angiotensin II antagonists, combin.;2009;239945;1.79
7504;Total male and female;10000;Dutch background;C09D Angiotensin II antagonists, combin.;2010;252650;1.89
7505;Total male and female;10000;Dutch background;C09D Angiotensin II antagonists, combin.;2011;262205;1.96
7506;Total male and female;10000;Dutch background;C09D Angiotensin II antagonists, combin.;2012;265285;1.98
7507;Total male and female;10000;Dutch background;C09D Angiotensin II antagonists, combin.;2013;257540;1.92
7508;Total male and female;10000;Dutch background;C09D Angiotensin II antagonists, combin.;2014;252415;1.88
7509;Total male and female;10000;Dutch background;C09D Angiotensin II antagonists, combin.;2015;244225;1.82
7510;Total male and female;10000;Dutch background;C09D Angiotensin II antagonists, combin.;2016;236880;1.77
7511;Total male and female;10000;Dutch background;C09D Angiotensin II antagonists, combin.;2017;232215;1.74
7512;Total male and female;10000;Dutch background;C09D Angiotensin II antagonists, combin.;2018;226770;1.7
7513;Total male and female;10000;Dutch background;C09D Angiotensin II antagonists, combin.;2019;199650;1.5
7514;Total male and female;10000;Dutch background;C09D Angiotensin II antagonists, combin.;2020;184040;1.38
7515;Total male and female;10000;Dutch background;C09X Other renin angiotensin syst.agents;2006;0;0.0
7516;Total male and female;10000;Dutch background;C09X Other renin angiotensin syst.agents;2007;0;0.0
7517;Total male and female;10000;Dutch background;C09X Other renin angiotensin syst.agents;2008;1880;0.01
7518;Total male and female;10000;Dutch background;C09X Other renin angiotensin syst.agents;2009;6305;0.05
7519;Total male and female;10000;Dutch background;C09X Other renin angiotensin syst.agents;2010;11150;0.08
7520;Total male and female;10000;Dutch background;C09X Other renin angiotensin syst.agents;2011;15015;0.11
7521;Total male and female;10000;Dutch background;C09X Other renin angiotensin syst.agents;2012;13445;0.1
7522;Total male and female;10000;Dutch background;C09X Other renin angiotensin syst.agents;2013;10790;0.08
7523;Total male and female;10000;Dutch background;C09X Other renin angiotensin syst.agents;2014;9325;0.07
7524;Total male and female;10000;Dutch background;C09X Other renin angiotensin syst.agents;2015;8310;0.06
7525;Total male and female;10000;Dutch background;C09X Other renin angiotensin syst.agents;2016;7580;0.06
7526;Total male and female;10000;Dutch background;C09X Other renin angiotensin syst.agents;2017;6885;0.05
7527;Total male and female;10000;Dutch background;C09X Other renin angiotensin syst.agents;2018;6280;0.05
7528;Total male and female;10000;Dutch background;C09X Other renin angiotensin syst.agents;2019;5760;0.04
7529;Total male and female;10000;Dutch background;C09X Other renin angiotensin syst.agents;2020;5265;0.04
7530;Total male and female;10000;Dutch background;C10 Lipid modifying agents;2006;1160135;8.69
7531;Total male and female;10000;Dutch background;C10 Lipid modifying agents;2007;1238850;9.28
7532;Total male and female;10000;Dutch background;C10 Lipid modifying agents;2008;1264310;9.46
7533;Total male and female;10000;Dutch background;C10 Lipid modifying agents;2009;1330325;9.95
7534;Total male and female;10000;Dutch background;C10 Lipid modifying agents;2010;1394170;10.42
7535;Total male and female;10000;Dutch background;C10 Lipid modifying agents;2011;1461460;10.91
7536;Total male and female;10000;Dutch background;C10 Lipid modifying agents;2012;1529380;11.42
7537;Total male and female;10000;Dutch background;C10 Lipid modifying agents;2013;1564715;11.68
7538;Total male and female;10000;Dutch background;C10 Lipid modifying agents;2014;1601000;11.95
7539;Total male and female;10000;Dutch background;C10 Lipid modifying agents;2015;1630300;12.18
7540;Total male and female;10000;Dutch background;C10 Lipid modifying agents;2016;1657470;12.39
7541;Total male and female;10000;Dutch background;C10 Lipid modifying agents;2017;1685465;12.6
7542;Total male and female;10000;Dutch background;C10 Lipid modifying agents;2018;1695725;12.69
7543;Total male and female;10000;Dutch background;C10 Lipid modifying agents;2019;1693860;12.69
7544;Total male and female;10000;Dutch background;C10 Lipid modifying agents;2020;1660415;12.45
7545;Total male and female;10000;Dutch background;C10A Lipid modifying agents, plain;2006;1150805;8.62
7546;Total male and female;10000;Dutch background;C10A Lipid modifying agents, plain;2007;1221385;9.15
7547;Total male and female;10000;Dutch background;C10A Lipid modifying agents, plain;2008;1240100;9.28
7548;Total male and female;10000;Dutch background;C10A Lipid modifying agents, plain;2009;1304070;9.75
7549;Total male and female;10000;Dutch background;C10A Lipid modifying agents, plain;2010;1365655;10.2
7550;Total male and female;10000;Dutch background;C10A Lipid modifying agents, plain;2011;1431365;10.69
7551;Total male and female;10000;Dutch background;C10A Lipid modifying agents, plain;2012;1497650;11.18
7552;Total male and female;10000;Dutch background;C10A Lipid modifying agents, plain;2013;1532715;11.44
7553;Total male and female;10000;Dutch background;C10A Lipid modifying agents, plain;2014;1570340;11.72
7554;Total male and female;10000;Dutch background;C10A Lipid modifying agents, plain;2015;1601280;11.96
7555;Total male and female;10000;Dutch background;C10A Lipid modifying agents, plain;2016;1628915;12.17
7556;Total male and female;10000;Dutch background;C10A Lipid modifying agents, plain;2017;1658915;12.41
7557;Total male and female;10000;Dutch background;C10A Lipid modifying agents, plain;2018;1669645;12.5
7558;Total male and female;10000;Dutch background;C10A Lipid modifying agents, plain;2019;1669750;12.51
7559;Total male and female;10000;Dutch background;C10A Lipid modifying agents, plain;2020;1640265;12.3
7560;Total male and female;10000;Dutch background;C10B Lipid modifying agents,combinations;2006;19190;0.14
7561;Total male and female;10000;Dutch background;C10B Lipid modifying agents,combinations;2007;30005;0.22
7562;Total male and female;10000;Dutch background;C10B Lipid modifying agents,combinations;2008;32995;0.25
7563;Total male and female;10000;Dutch background;C10B Lipid modifying agents,combinations;2009;33330;0.25
7564;Total male and female;10000;Dutch background;C10B Lipid modifying agents,combinations;2010;34795;0.26
7565;Total male and female;10000;Dutch background;C10B Lipid modifying agents,combinations;2011;36595;0.27
7566;Total male and female;10000;Dutch background;C10B Lipid modifying agents,combinations;2012;38540;0.29
7567;Total male and female;10000;Dutch background;C10B Lipid modifying agents,combinations;2013;38545;0.29
7568;Total male and female;10000;Dutch background;C10B Lipid modifying agents,combinations;2014;36640;0.27
7569;Total male and female;10000;Dutch background;C10B Lipid modifying agents,combinations;2015;34865;0.26
7570;Total male and female;10000;Dutch background;C10B Lipid modifying agents,combinations;2016;34780;0.26
7571;Total male and female;10000;Dutch background;C10B Lipid modifying agents,combinations;2017;35340;0.26
7572;Total male and female;10000;Dutch background;C10B Lipid modifying agents,combinations;2018;34155;0.26
7573;Total male and female;10000;Dutch background;C10B Lipid modifying agents,combinations;2019;32340;0.24
7574;Total male and female;10000;Dutch background;C10B Lipid modifying agents,combinations;2020;25005;0.19
7575;Total male and female;10000;Dutch background;D Dermatologicals;2006;2620225;19.62
7576;Total male and female;10000;Dutch background;D Dermatologicals;2007;2688095;20.13
7577;Total male and female;10000;Dutch background;D Dermatologicals;2008;2690520;20.14
7578;Total male and female;10000;Dutch background;D Dermatologicals;2009;2725950;20.39
7579;Total male and female;10000;Dutch background;D Dermatologicals;2010;2794580;20.88
7580;Total male and female;10000;Dutch background;D Dermatologicals;2011;2785845;20.8
7581;Total male and female;10000;Dutch background;D Dermatologicals;2012;2749080;20.52
7582;Total male and female;10000;Dutch background;D Dermatologicals;2013;2702960;20.18
7583;Total male and female;10000;Dutch background;D Dermatologicals;2014;2719450;20.3
7584;Total male and female;10000;Dutch background;D Dermatologicals;2015;2641130;19.72
7585;Total male and female;10000;Dutch background;D Dermatologicals;2016;2632025;19.67
7586;Total male and female;10000;Dutch background;D Dermatologicals;2017;2586840;19.34
7587;Total male and female;10000;Dutch background;D Dermatologicals;2018;2617855;19.59
7588;Total male and female;10000;Dutch background;D Dermatologicals;2019;2578660;19.32
7589;Total male and female;10000;Dutch background;D Dermatologicals;2020;2409835;18.07
7590;Total male and female;10000;Dutch background;D01 Antifungals for dermatological use;2006;384975;2.88
7591;Total male and female;10000;Dutch background;D01 Antifungals for dermatological use;2007;382640;2.86
7592;Total male and female;10000;Dutch background;D01 Antifungals for dermatological use;2008;369680;2.77
7593;Total male and female;10000;Dutch background;D01 Antifungals for dermatological use;2009;376105;2.81
