ID;Financing;RevenuesOfHealthCareFinancingScheme;FunctionsOfHealthAndSocialCare;Periods;HealthAndSocialCareExpenditure_1
9683;HF11: Government schemes;FS.1.4  Other transfers from governm...;Other goods and services;2006;0
9684;HF11: Government schemes;FS.1.4  Other transfers from governm...;Other goods and services;2007;0
9685;HF11: Government schemes;FS.1.4  Other transfers from governm...;Other goods and services;2008;0
9686;HF11: Government schemes;FS.1.4  Other transfers from governm...;Other goods and services;2009;0
9687;HF11: Government schemes;FS.1.4  Other transfers from governm...;Other goods and services;2010;0
9688;HF11: Government schemes;FS.1.4  Other transfers from governm...;Other goods and services;2011;0
9689;HF11: Government schemes;FS.1.4  Other transfers from governm...;Other goods and services;2012;0
9690;HF11: Government schemes;FS.1.4  Other transfers from governm...;Other goods and services;2013;0
9691;HF11: Government schemes;FS.1.4  Other transfers from governm...;Other goods and services;2014;0
9692;HF11: Government schemes;FS.1.4  Other transfers from governm...;Other goods and services;2015;0
9693;HF11: Government schemes;FS.1.4  Other transfers from governm...;Other goods and services;2016;0
9694;HF11: Government schemes;FS.1.4  Other transfers from governm...;Other goods and services;2017;0
9695;HF11: Government schemes;FS.1.4  Other transfers from governm...;Other goods and services;2018;0
9696;HF11: Government schemes;FS.1.4  Other transfers from governm...;Other goods and services;2019;0
9697;HF11: Government schemes;FS.1.4  Other transfers from governm...;Other goods and services;2020;0
9698;HF11: Government schemes;FS.1.4  Other transfers from governm...;Other goods and services;2021;0
9699;HF11: Government schemes;FS.1.4  Other transfers from governm...;Other goods and services;2022;0
9700;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health, social care and welfare;1998;0
9701;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health, social care and welfare;1999;0
9702;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health, social care and welfare;2000;0
9703;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health, social care and welfare;2001;0
9704;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health, social care and welfare;2002;0
9705;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health, social care and welfare;2003;0
9706;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health, social care and welfare;2004;0
9707;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health, social care and welfare;2005;0
9708;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health, social care and welfare;2006;0
9709;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health, social care and welfare;2007;0
9710;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health, social care and welfare;2008;0
9711;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health, social care and welfare;2009;0
9712;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health, social care and welfare;2010;0
9713;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health, social care and welfare;2011;0
9714;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health, social care and welfare;2012;0
9715;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health, social care and welfare;2013;0
9716;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health, social care and welfare;2014;0
9717;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health, social care and welfare;2015;0
9718;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health, social care and welfare;2016;0
9719;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health, social care and welfare;2017;0
9720;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health, social care and welfare;2018;0
9721;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health, social care and welfare;2019;0
9722;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health, social care and welfare;2020;0
9723;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health, social care and welfare;2021;0
9724;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health, social care and welfare;2022;0
9725;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total current expenditure on healthcare;1998;0
9726;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total current expenditure on healthcare;1999;0
9727;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total current expenditure on healthcare;2000;0
9728;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total current expenditure on healthcare;2001;0
9729;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total current expenditure on healthcare;2002;0
9730;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total current expenditure on healthcare;2003;0
9731;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total current expenditure on healthcare;2004;0
9732;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total current expenditure on healthcare;2005;0
9733;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total current expenditure on healthcare;2006;0
9734;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total current expenditure on healthcare;2007;0
9735;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total current expenditure on healthcare;2008;0
9736;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total current expenditure on healthcare;2009;0
9737;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total current expenditure on healthcare;2010;0
9738;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total current expenditure on healthcare;2011;0
9739;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total current expenditure on healthcare;2012;0
9740;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total current expenditure on healthcare;2013;0
9741;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total current expenditure on healthcare;2014;0
9742;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total current expenditure on healthcare;2015;0
9743;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total current expenditure on healthcare;2016;0
9744;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total current expenditure on healthcare;2017;0
9745;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total current expenditure on healthcare;2018;0
9746;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total current expenditure on healthcare;2019;0
9747;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total current expenditure on healthcare;2020;0
9748;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total current expenditure on healthcare;2021;0
9749;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total current expenditure on healthcare;2022;0
9750;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health related expenditure;1998;0
9751;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health related expenditure;1999;0
9752;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health related expenditure;2000;0
9753;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health related expenditure;2001;0
9754;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health related expenditure;2002;0
9755;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health related expenditure;2003;0
9756;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health related expenditure;2004;0
9757;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health related expenditure;2005;0
9758;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health related expenditure;2006;0
9759;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health related expenditure;2007;0
9760;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health related expenditure;2008;0
9761;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health related expenditure;2009;0
9762;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health related expenditure;2010;0
9763;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health related expenditure;2011;0
9764;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health related expenditure;2012;0
9765;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health related expenditure;2013;0
9766;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health related expenditure;2014;0
9767;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health related expenditure;2015;0
9768;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health related expenditure;2016;0
9769;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health related expenditure;2017;0
9770;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health related expenditure;2018;0
9771;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health related expenditure;2019;0
9772;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health related expenditure;2020;0
9773;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health related expenditure;2021;0
9774;HF11: Government schemes;FS.2  Transfers distributed by govern...;Total health related expenditure;2022;0
9775;HF11: Government schemes;FS.2  Transfers distributed by govern...;Other goods and services;1998;0
9776;HF11: Government schemes;FS.2  Transfers distributed by govern...;Other goods and services;1999;0
9777;HF11: Government schemes;FS.2  Transfers distributed by govern...;Other goods and services;2000;0
9778;HF11: Government schemes;FS.2  Transfers distributed by govern...;Other goods and services;2001;0
9779;HF11: Government schemes;FS.2  Transfers distributed by govern...;Other goods and services;2002;0
9780;HF11: Government schemes;FS.2  Transfers distributed by govern...;Other goods and services;2003;0
9781;HF11: Government schemes;FS.2  Transfers distributed by govern...;Other goods and services;2004;0
9782;HF11: Government schemes;FS.2  Transfers distributed by govern...;Other goods and services;2005;0
9783;HF11: Government schemes;FS.2  Transfers distributed by govern...;Other goods and services;2006;0
9784;HF11: Government schemes;FS.2  Transfers distributed by govern...;Other goods and services;2007;0
9785;HF11: Government schemes;FS.2  Transfers distributed by govern...;Other goods and services;2008;0
9786;HF11: Government schemes;FS.2  Transfers distributed by govern...;Other goods and services;2009;0
9787;HF11: Government schemes;FS.2  Transfers distributed by govern...;Other goods and services;2010;0
9788;HF11: Government schemes;FS.2  Transfers distributed by govern...;Other goods and services;2011;0
9789;HF11: Government schemes;FS.2  Transfers distributed by govern...;Other goods and services;2012;0
