ID;InstitutionalSectors;DebtInstruments;CounterpartSectors;FaceValueAndMarketValue;Periods;TotalGovernmentDebt_1;GovernmentDebtInForeignCurrency_2
8328;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2002 2nd quarter;;
8329;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2002 3rd quarter;;
8330;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2002 4th quarter;48.0;
8331;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2002;48.0;
8332;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2003 1st quarter;;
8333;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2003 2nd quarter;;
8334;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2003 3rd quarter;;
8335;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2003 4th quarter;23.0;
8336;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2003;23.0;
8337;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2004 1st quarter;;
8338;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2004 2nd quarter;;
8339;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2004 3rd quarter;;
8340;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2004 4th quarter;23.0;
8341;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2004;23.0;
8342;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2005 1st quarter;;
8343;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2005 2nd quarter;;
8344;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2005 3rd quarter;;
8345;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2005 4th quarter;23.0;
8346;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2005;23.0;
8347;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2006 1st quarter;;
8348;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2006 2nd quarter;;
8349;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2006 3rd quarter;;
8350;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2006 4th quarter;23.0;
8351;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2006;23.0;
8352;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2007 1st quarter;;
8353;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2007 2nd quarter;;
8354;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2007 3rd quarter;;
8355;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2007 4th quarter;23.0;
8356;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2007;23.0;
8357;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2008 1st quarter;23.0;
8358;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2008 2nd quarter;23.0;
8359;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2008 3rd quarter;23.0;
8360;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2008 4th quarter;23.0;
8361;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2008;23.0;
8362;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2009 1st quarter;23.0;
8363;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2009 2nd quarter;23.0;
8364;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2009 3rd quarter;36.0;
8365;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2009 4th quarter;22.0;
8366;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2009;22.0;
8367;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2010 1st quarter;24.0;
8368;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2010 2nd quarter;24.0;
8369;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2010 3rd quarter;22.0;
8370;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2010 4th quarter;22.0;
8371;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2010;22.0;
8372;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2011 1st quarter;64.0;
8373;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2011 2nd quarter;135.0;
8374;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2011 3rd quarter;149.0;
8375;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2011 4th quarter;150.0;
8376;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2011;150.0;
8377;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2012 1st quarter;122.0;
8378;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2012 2nd quarter;136.0;
8379;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2012 3rd quarter;138.0;
8380;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2012 4th quarter;1693.0;
8381;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2012;1693.0;
8382;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2013 1st quarter;152.0;
8383;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2013 2nd quarter;239.0;
8384;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2013 3rd quarter;277.0;
8385;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2013 4th quarter;458.0;
8386;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2013;458.0;
8387;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2014 1st quarter;483.0;
8388;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2014 2nd quarter;513.0;
8389;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2014 3rd quarter;368.0;
8390;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2014 4th quarter;698.0;
8391;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2014;698.0;
8392;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2015 1st quarter;490.0;
8393;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2015 2nd quarter;406.0;
8394;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2015 3rd quarter;302.0;
8395;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2015 4th quarter;309.0;
8396;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2015;309.0;
8397;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2016 1st quarter;499.0;
8398;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2016 2nd quarter;641.0;
8399;General government;AF31 Short-term debt securities;Other financial institutions;Face value;2016 3rd quarter;616.0;
