ID;SexOfEmployee;TypeOfEmploymentContract;CaoSector;SizeOfCompany;Periods;Jobs_1;LabourVolume_2;HourlyWage_3;MonthlyWageIncludingOvertime_4;MonthlyWageExcludingOvertime_5;YearlyWageIncludingBonuses_6;YearlyWageExcludingSpecialPayments_7;BonusesAndAllowances_8;AdditionalTaxLiabilityForCompanyCar_9;PerJobPerWeekIncludingOvertime_10;PerJobPerWeekExcludingOvertime_11;PerJobPerYear_12;PerWorkingYear_13
2189;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2021;146;146;26.17;3747;3732;52680;44970;7720;150;37.6;37.5;1711;1711
2190;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2022;150;150;27.09;3888;3874;54990;46660;8330;160;37.7;37.6;1716;1716
2191;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;Total employed persons;2023;153;153;28.84;4118;4105;58060;49420;8640;190;37.7;37.6;1708;1708
2192;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2009;8;8;17.97;2468;2460;32810;29620;3190;300;36.0;35.9;1643;1643
2193;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2010 before change of method;8;8;19.83;2713;2705;35900;32560;3340;340;36.2;36.0;1636;1636
2194;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2010 after change of method;8;8;19.8;2714;2706;35950;32560;3390;360;36.2;36.1;1639;1639
2195;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2011;7;7;20.66;2894;2888;38120;34730;3390;460;36.7;36.6;1678;1678
2196;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2012;6;6;21.17;2947;2940;38650;35360;3290;440;36.8;36.7;1666;1665
2197;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2013;5;5;21.8;3069;3059;40610;36830;3780;500;37.3;37.1;1683;1683
2198;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2014;5;5;21.9;3123;3115;41100;37480;3620;450;37.6;37.5;1707;1707
2199;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2015;6;6;28.44;4107;4100;52690;49280;3420;510;38.1;38.0;1730;1730
2200;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2016;6;6;28.73;4203;4196;53910;50440;3470;540;38.4;38.3;1753;1753
2201;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2017;6;6;28.99;4256;4245;54660;51080;3580;560;38.6;38.5;1757;1757
2202;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2018;6;6;29.76;4353;4342;56090;52230;3850;590;38.6;38.5;1751;1751
2203;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2019;6;6;30.44;4484;4471;57580;53800;3780;690;38.7;38.6;1763;1763
2204;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2020;6;6;31.71;4692;4677;60250;56310;3940;800;39.0;38.9;1770;1770
2205;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2021;6;6;31.39;4670;4657;60130;56040;4090;790;38.9;38.8;1780;1780
2206;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2022;7;7;32.33;4812;4802;62380;57740;4640;870;38.9;38.8;1782;1782
2207;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;0 to 9 employed persons;2023;7;7;33.73;4985;4975;64560;59820;4740;930;38.9;38.8;1770;1770
2208;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2009;24;24;17.59;2405;2395;32510;28860;3650;140;35.9;35.8;1634;1634
2209;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2010 before change of method;24;24;18.41;2486;2476;33730;29830;3890;130;35.8;35.7;1614;1614
2210;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2010 after change of method;24;24;18.4;2489;2479;33800;29860;3940;140;35.9;35.7;1616;1616
2211;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2011;23;23;18.6;2544;2535;34640;30530;4110;140;36.0;35.9;1636;1636
2212;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2012;21;21;19.64;2679;2669;36370;32140;4220;160;36.2;36.0;1631;1630
2213;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2013;19;19;20.3;2772;2762;37780;33270;4510;160;36.3;36.2;1633;1633
2214;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2014;18;18;20.42;2840;2830;38740;34080;4660;150;36.8;36.6;1663;1663
2215;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2015;18;18;21.27;2924;2914;39730;35080;4650;160;36.5;36.4;1644;1644
2216;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2016;18;18;21.45;2982;2972;40750;35790;4960;170;36.7;36.6;1662;1662
2217;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2017;17;17;21.66;3114;3100;42510;37360;5140;230;37.8;37.7;1717;1717
2218;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2018;18;18;22.28;3177;3165;43450;38120;5330;240;37.7;37.6;1705;1705
2219;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2019;19;19;22.64;3254;3240;44690;39050;5640;270;37.9;37.7;1717;1717
2220;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2020;18;18;23.76;3395;3382;46860;40730;6130;290;37.8;37.6;1708;1708
2221;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2021;20;20;24.22;3489;3477;48520;41870;6640;310;37.8;37.7;1723;1723
2222;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2022;21;21;24.78;3578;3566;49940;42930;7010;310;37.9;37.8;1727;1727
2223;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;10 to 99 employed persons;2023;21;21;26.76;3835;3824;53370;46020;7340;380;37.8;37.7;1715;1715
2224;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2009;176;176;17.78;2456;2445;33570;29470;4100;30;36.2;36.1;1651;1651
2225;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2010 before change of method;175;175;18.55;2514;2505;34440;30170;4270;30;36.0;35.9;1620;1620
2226;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2010 after change of method;175;175;18.54;2514;2505;34460;30170;4300;30;36.0;35.9;1621;1621
2227;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2011;171;171;18.9;2591;2583;35580;31090;4490;30;36.2;36.1;1640;1640
2228;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2012;165;165;19.88;2706;2697;37170;32470;4700;40;36.1;36.0;1628;1628
2229;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2013;157;157;21.07;2843;2833;39210;34110;5100;40;36.0;35.9;1613;1613
2230;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2014;153;153;21.36;2907;2897;40270;34880;5390;40;36.1;36.0;1628;1628
2231;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2015;145;145;22.21;3008;2998;41610;36090;5520;40;36.1;36.0;1620;1620
2232;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2016;137;137;22.52;3086;3075;43040;37030;6020;40;36.3;36.2;1638;1638
2233;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2017;110;110;23.18;3291;3277;46120;39490;6640;60;37.5;37.4;1697;1697
2234;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2018;113;113;23.86;3363;3350;47120;40360;6760;70;37.4;37.3;1685;1685
2235;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2019;114;114;24.42;3460;3447;48710;41520;7190;80;37.5;37.3;1694;1694
2236;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2020;116;116;25.65;3633;3617;51480;43600;7880;90;37.5;37.4;1692;1692
2237;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2021;120;120;26.2;3740;3724;52960;44880;8090;90;37.5;37.4;1706;1706
2238;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2022;122;122;27.2;3891;3876;55460;46700;8770;100;37.6;37.5;1710;1710
2239;Sex: Female;Type of employment contract: full-time;Cao-sector: subsidised corporations ;100 or more employed persons;2023;125;125;28.92;4119;4105;58500;49430;9080;120;37.6;37.5;1703;1703
2240;Sex: Female;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2009;171;171;21.35;3006;2999;41910;36070;5840;10;37.0;36.9;1686;1686
2241;Sex: Female;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2010 before change of method;172;172;21.88;3064;3057;43050;36760;6290;10;36.8;36.8;1677;1677
2242;Sex: Female;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2010 after change of method;173;173;21.86;3063;3057;43050;36750;6300;10;36.9;36.8;1678;1678
2243;Sex: Female;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2011;161;161;22.33;3140;3135;44100;37680;6420;10;36.8;36.7;1685;1685
2244;Sex: Female;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2012;158;158;23.14;3225;3220;45360;38700;6660;10;36.8;36.7;1670;1670
2245;Sex: Female;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2013;157;157;23.76;3286;3280;46220;39430;6780;10;36.7;36.6;1657;1657
2246;Sex: Female;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2014;159;159;24.14;3345;3341;46930;40150;6790;10;36.6;36.6;1660;1660
2247;Sex: Female;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2015;160;160;25.0;3448;3444;48440;41380;7060;10;36.7;36.6;1653;1653
2248;Sex: Female;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2016;163;163;25.56;3552;3548;50030;42630;7400;10;36.8;36.7;1666;1666
2249;Sex: Female;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2017;165;165;25.54;3594;3589;50630;43120;7500;10;36.9;36.9;1687;1687
2250;Sex: Female;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2018;169;169;26.21;3675;3671;51720;44100;7620;10;36.9;36.9;1680;1680
2251;Sex: Female;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2019;177;177;26.84;3779;3774;52970;45340;7630;10;36.9;36.9;1687;1687
2252;Sex: Female;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2020;183;183;28.12;3944;3940;56000;47330;8680;10;36.9;36.9;1681;1681
2253;Sex: Female;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2021;195;195;28.56;4054;4050;56770;48650;8120;10;37.0;37.0;1701;1701
2254;Sex: Female;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2022;207;207;29.71;4215;4210;60060;50580;9470;10;37.0;37.0;1700;1700
2255;Sex: Female;Type of employment contract: full-time;Cao-sector: government;Total employed persons;2023;212;212;32.28;4537;4532;64130;54450;9680;20;37.2;37.2;1685;1685
2256;Sex: Female;Type of employment contract: full-time;Cao-sector: government;0 to 9 employed persons;2009;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0;0
2257;Sex: Female;Type of employment contract: full-time;Cao-sector: government;0 to 9 employed persons;2010 before change of method;1;1;20.33;2831;2829;38810;33970;4840;130;36.6;36.6;1670;1670
2258;Sex: Female;Type of employment contract: full-time;Cao-sector: government;0 to 9 employed persons;2010 after change of method;1;1;20.28;2825;2824;38760;33900;4860;130;36.6;36.6;1671;1671
2259;Sex: Female;Type of employment contract: full-time;Cao-sector: government;0 to 9 employed persons;2011;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0;0
2260;Sex: Female;Type of employment contract: full-time;Cao-sector: government;0 to 9 employed persons;2012;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0;0
2261;Sex: Female;Type of employment contract: full-time;Cao-sector: government;0 to 9 employed persons;2013;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0;0
2262;Sex: Female;Type of employment contract: full-time;Cao-sector: government;0 to 9 employed persons;2014;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0;0
2263;Sex: Female;Type of employment contract: full-time;Cao-sector: government;0 to 9 employed persons;2015;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0;0
2264;Sex: Female;Type of employment contract: full-time;Cao-sector: government;0 to 9 employed persons;2016;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0;0
2265;Sex: Female;Type of employment contract: full-time;Cao-sector: government;0 to 9 employed persons;2017;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0;0
2266;Sex: Female;Type of employment contract: full-time;Cao-sector: government;0 to 9 employed persons;2018;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0;0
2267;Sex: Female;Type of employment contract: full-time;Cao-sector: government;0 to 9 employed persons;2019;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0;0
2268;Sex: Female;Type of employment contract: full-time;Cao-sector: government;0 to 9 employed persons;2020;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0;0
2269;Sex: Female;Type of employment contract: full-time;Cao-sector: government;0 to 9 employed persons;2021;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0;0
2270;Sex: Female;Type of employment contract: full-time;Cao-sector: government;0 to 9 employed persons;2022;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0;0
2271;Sex: Female;Type of employment contract: full-time;Cao-sector: government;0 to 9 employed persons;2023;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0;0
2272;Sex: Female;Type of employment contract: full-time;Cao-sector: government;10 to 99 employed persons;2009;9;9;19.93;2822;2819;39130;33870;5260;20;37.3;37.2;1697;1697
2273;Sex: Female;Type of employment contract: full-time;Cao-sector: government;10 to 99 employed persons;2010 before change of method;10;10;20.24;2873;2870;40040;34470;5560;20;37.2;37.2;1702;1702
2274;Sex: Female;Type of employment contract: full-time;Cao-sector: government;10 to 99 employed persons;2010 after change of method;10;10;20.23;2876;2873;40070;34510;5560;20;37.2;37.2;1704;1704
2275;Sex: Female;Type of employment contract: full-time;Cao-sector: government;10 to 99 employed persons;2011;8;8;21.2;2962;2960;41220;35540;5680;20;36.6;36.6;1676;1676
2276;Sex: Female;Type of employment contract: full-time;Cao-sector: government;10 to 99 employed persons;2012;8;8;21.87;3037;3035;42320;36440;5880;20;36.6;36.6;1665;1665
2277;Sex: Female;Type of employment contract: full-time;Cao-sector: government;10 to 99 employed persons;2013;8;8;22.09;3039;3035;42320;36460;5860;10;36.4;36.4;1649;1649
2278;Sex: Female;Type of employment contract: full-time;Cao-sector: government;10 to 99 employed persons;2014;8;8;22.64;3127;3125;43400;37520;5880;20;36.4;36.4;1656;1656
