ID;Sex;Age;EthnicBackground;LevelOfEducation;FieldOfEducation;Periods;TotalPopulationAged15To65Years_1;LabourForce_2;EmployedLabourForceAged15To65Year_3;UnemployedLabourForce_4;PersonsNotIncludedInTheLabourForce_5;GrossLabourParticipation_6;NetLabourParticipation_7;PercentageUnemployed_8
7576;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;8;2005;;;;;;;;
7577;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;8;2006;;;;;;;;
7578;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;8;2007;;;;;;;;
7579;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;8;2008;;;;;;;;
7580;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;8;2009;;;;;;;;
7581;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;8;2010;16.0;13.0;12.0;;2.0;85.0;77.9;
7582;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;8;2011;17.0;14.0;13.0;;3.0;80.7;73.8;
7583;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;8;2012;;;;;;;;
7584;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;9;2001;;;;;;;;
7585;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;9;2002;;;;;;;;
7586;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;9;2003;;;;;;;;
7587;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;9;2004;;;;;;;;
7588;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;9;2005;;;;;;;;
7589;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;9;2006;;;;;;;;
7590;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;9;2007;;;;;;;;
7591;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;9;2008;;;;;;;;
7592;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;9;2009;;;;;;;;
7593;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;9;2010;;;;;;;;
7594;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;9;2011;;;;;;;;
7595;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;9;2012;;;;;;;;
7596;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;Health and welfare;2001;17.0;12.0;11.0;;4.0;73.8;67.4;
7597;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;Health and welfare;2002;17.0;12.0;11.0;;4.0;73.4;68.8;
7598;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;Health and welfare;2003;16.0;11.0;10.0;;4.0;72.6;64.5;
7599;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;Health and welfare;2004;17.0;13.0;13.0;;3.0;81.2;76.7;
7600;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;Health and welfare;2005;;;;;;;;
7601;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;Health and welfare;2006;;;;;;;;
7602;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;Health and welfare;2007;;;;;;;;
7603;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;Health and welfare;2008;19.0;16.0;16.0;;3.0;84.7;81.9;
7604;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;Health and welfare;2009;24.0;19.0;18.0;;5.0;80.0;77.8;
7605;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;Health and welfare;2010;22.0;18.0;17.0;;4.0;81.1;76.0;
7606;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;Health and welfare;2011;24.0;18.0;17.0;;5.0;77.4;71.6;
7607;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;Health and welfare;2012;;;;;;;;
7608;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;Personal, transport services, logistics;2001;;;;;;;;
7609;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;Personal, transport services, logistics;2002;;;;;;;;
7610;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;Personal, transport services, logistics;2003;;;;;;;;
7611;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;Personal, transport services, logistics;2004;;;;;;;;
7612;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;Personal, transport services, logistics;2005;;;;;;;;
7613;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;Personal, transport services, logistics;2006;;;;;;;;
7614;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;Personal, transport services, logistics;2007;;;;;;;;
7615;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;Personal, transport services, logistics;2008;;;;;;;;
7616;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;Personal, transport services, logistics;2009;;;;;;;;
7617;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;Personal, transport services, logistics;2010;;;;;;;;
7618;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;Personal, transport services, logistics;2011;;;;;;;;
7619;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;Personal, transport services, logistics;2012;;;;;;;;
7620;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;Unknown field of education;2001;;;;;;;;
7621;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;Unknown field of education;2002;;;;;;;;
7622;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;Unknown field of education;2003;;;;;;;;
7623;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;Unknown field of education;2004;;;;;;;;
7624;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;Unknown field of education;2005;;;;;;;;
7625;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;Unknown field of education;2006;;;;;;;;
7626;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;Unknown field of education;2007;;;;;;;;
7627;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;Unknown field of education;2008;;;;;;;;
7628;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;Unknown field of education;2009;;;;;;;;
7629;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;Unknown field of education;2010;;;;;;;;
7630;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;Unknown field of education;2011;;;;;;;;
7631;Total men and women;Total aged 15 to 65 years;Non-western foreign background;Hbo, wo bachelor;Unknown field of education;2012;;;;;;;;
7632;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;1;2001;49.0;42.0;39.0;3.0;7.0;85.5;80.2;6.2
7633;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;1;2002;58.0;47.0;43.0;4.0;11.0;80.9;74.2;8.3
7634;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;1;2003;57.0;45.0;40.0;6.0;12.0;79.1;69.5;12.2
7635;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;1;2004;81.0;58.0;50.0;8.0;24.0;71.0;61.1;14.0
7636;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;1;2005;91.0;69.0;58.0;11.0;22.0;75.9;64.1;15.5
7637;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;1;2006;93.0;70.0;62.0;8.0;24.0;74.7;66.1;11.6
7638;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;1;2007;101.0;77.0;70.0;7.0;24.0;76.0;69.5;8.6
7639;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;1;2008;101.0;81.0;74.0;7.0;20.0;80.3;73.1;8.9
7640;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;1;2009;100.0;78.0;72.0;6.0;22.0;77.8;71.9;7.6
7641;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;1;2010;98.0;78.0;70.0;8.0;20.0;79.6;71.8;9.7
7642;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;1;2011;100.0;81.0;73.0;8.0;20.0;80.4;72.7;9.6
7643;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;1;2012;110.0;91.0;83.0;8.0;19.0;82.6;75.6;8.5
7644;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;2;2001;;;;;;;;
7645;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;2;2002;;;;;;;;
7646;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;2;2003;;;;;;;;
7647;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;2;2004;;;;;;;;
7648;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;2;2005;;;;;;;;
7649;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;2;2006;;;;;;;;
7650;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;2;2007;;;;;;;;
7651;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;2;2008;;;;;;;;
7652;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;2;2009;;;;;;;;
7653;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;2;2010;;;;;;;;
7654;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;2;2011;;;;;;;;
7655;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;2;2012;;;;;;;;
7656;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;3;2001;;;;;;;;
7657;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;3;2002;;;;;;;;
7658;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;3;2003;;;;;;;;
7659;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;3;2004;;;;;;;;
7660;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;3;2005;;;;;;;;
7661;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;3;2006;;;;;;;;
7662;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;3;2007;;;;;;;;
7663;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;3;2008;;;;;;;;
7664;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;3;2009;;;;;;;;
7665;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;3;2010;;;;;;;;
7666;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;3;2011;;;;;;;;
7667;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;3;2012;;;;;;;;
7668;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;4;2001;;;;;;;;
7669;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;4;2002;;;;;;;;
7670;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;4;2003;;;;;;;;
7671;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;4;2004;;;;;;;;
7672;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;4;2005;;;;;;;;
7673;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;4;2006;;;;;;;;
7674;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;4;2007;;;;;;;;
7675;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;4;2008;17.0;14.0;13.0;2.0;2.0;85.2;74.8;12.2
7676;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;4;2009;20.0;16.0;15.0;;4.0;81.4;74.4;
7677;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;4;2010;17.0;13.0;12.0;;3.0;79.5;73.3;
7678;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;4;2011;18.0;15.0;14.0;;3.0;81.5;76.1;
7679;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;4;2012;;;;;;;;
7680;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;5;2001;;;;;;;;
7681;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;5;2002;;;;;;;;
7682;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;5;2003;;;;;;;;
7683;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;5;2004;;;;;;;;
7684;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;5;2005;;;;;;;;
7685;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;5;2006;;;;;;;;
7686;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;5;2007;;;;;;;;
7687;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;5;2008;18.0;16.0;15.0;;2.0;87.0;83.3;
7688;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;5;2009;25.0;21.0;20.0;;4.0;82.5;77.6;
7689;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;5;2010;25.0;21.0;19.0;2.0;4.0;84.9;76.9;9.4
7690;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;5;2011;23.0;18.0;16.0;2.0;5.0;79.8;72.5;9.1
7691;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;5;2012;;;;;;;;
7692;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;6;2001;;;;;;;;
7693;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;6;2002;;;;;;;;
7694;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;6;2003;;;;;;;;
7695;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;6;2004;;;;;;;;
7696;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;6;2005;;;;;;;;
7697;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;6;2006;;;;;;;;
7698;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;6;2007;;;;;;;;
7699;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;6;2008;;;;;;;;
7700;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;6;2009;;;;;;;;
7701;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;6;2010;;;;;;;;
7702;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;6;2011;;;;;;;;
7703;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;6;2012;;;;;;;;
7704;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;7;2001;;;;;;;;
7705;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;7;2002;;;;;;;;
7706;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;7;2003;;;;;;;;
7707;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;7;2004;;;;;;;;
7708;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;7;2005;;;;;;;;
7709;Total men and women;Total aged 15 to 65 years;Non-western foreign background;WO masters, doctor;7;2006;;;;;;;;
