ID;Functions;Financing;Periods;HealthAndSocialCareExpenditure_1
3446;HCR2: Health promotion multi-sector;Total financing of residents;2019;342.0
3447;HCR2: Health promotion multi-sector;Total financing of residents;2020;370.0
3448;HCR2: Health promotion multi-sector;Total financing of residents;2021;448.0
3449;HCR2: Health promotion multi-sector;Total financing of residents;2022;469.0
3450;HCR2: Health promotion multi-sector;HF1: Government, comp. contr. schemes;1998;61.0
3451;HCR2: Health promotion multi-sector;HF1: Government, comp. contr. schemes;1999;72.0
3452;HCR2: Health promotion multi-sector;HF1: Government, comp. contr. schemes;2000;80.0
3453;HCR2: Health promotion multi-sector;HF1: Government, comp. contr. schemes;2001;103.0
3454;HCR2: Health promotion multi-sector;HF1: Government, comp. contr. schemes;2002;136.0
3455;HCR2: Health promotion multi-sector;HF1: Government, comp. contr. schemes;2003;116.0
3456;HCR2: Health promotion multi-sector;HF1: Government, comp. contr. schemes;2004;101.0
3457;HCR2: Health promotion multi-sector;HF1: Government, comp. contr. schemes;2005;114.0
3458;HCR2: Health promotion multi-sector;HF1: Government, comp. contr. schemes;2006;124.0
3459;HCR2: Health promotion multi-sector;HF1: Government, comp. contr. schemes;2007;123.0
3460;HCR2: Health promotion multi-sector;HF1: Government, comp. contr. schemes;2008;121.0
3461;HCR2: Health promotion multi-sector;HF1: Government, comp. contr. schemes;2009;129.0
3462;HCR2: Health promotion multi-sector;HF1: Government, comp. contr. schemes;2010;219.0
3463;HCR2: Health promotion multi-sector;HF1: Government, comp. contr. schemes;2011;206.0
3464;HCR2: Health promotion multi-sector;HF1: Government, comp. contr. schemes;2012;195.0
3465;HCR2: Health promotion multi-sector;HF1: Government, comp. contr. schemes;2013;203.0
3466;HCR2: Health promotion multi-sector;HF1: Government, comp. contr. schemes;2014;197.0
3467;HCR2: Health promotion multi-sector;HF1: Government, comp. contr. schemes;2015;210.0
3468;HCR2: Health promotion multi-sector;HF1: Government, comp. contr. schemes;2016;222.0
3469;HCR2: Health promotion multi-sector;HF1: Government, comp. contr. schemes;2017;221.0
3470;HCR2: Health promotion multi-sector;HF1: Government, comp. contr. schemes;2018;248.0
3471;HCR2: Health promotion multi-sector;HF1: Government, comp. contr. schemes;2019;230.0
3472;HCR2: Health promotion multi-sector;HF1: Government, comp. contr. schemes;2020;250.0
3473;HCR2: Health promotion multi-sector;HF1: Government, comp. contr. schemes;2021;304.0
3474;HCR2: Health promotion multi-sector;HF1: Government, comp. contr. schemes;2022;316.0
3475;HCR2: Health promotion multi-sector;HF11: Government schemes;1998;61.0
3476;HCR2: Health promotion multi-sector;HF11: Government schemes;1999;72.0
3477;HCR2: Health promotion multi-sector;HF11: Government schemes;2000;80.0
3478;HCR2: Health promotion multi-sector;HF11: Government schemes;2001;103.0
3479;HCR2: Health promotion multi-sector;HF11: Government schemes;2002;136.0
3480;HCR2: Health promotion multi-sector;HF11: Government schemes;2003;116.0
3481;HCR2: Health promotion multi-sector;HF11: Government schemes;2004;101.0
3482;HCR2: Health promotion multi-sector;HF11: Government schemes;2005;114.0
3483;HCR2: Health promotion multi-sector;HF11: Government schemes;2006;124.0
3484;HCR2: Health promotion multi-sector;HF11: Government schemes;2007;123.0
3485;HCR2: Health promotion multi-sector;HF11: Government schemes;2008;121.0
3486;HCR2: Health promotion multi-sector;HF11: Government schemes;2009;129.0
3487;HCR2: Health promotion multi-sector;HF11: Government schemes;2010;219.0
3488;HCR2: Health promotion multi-sector;HF11: Government schemes;2011;206.0
3489;HCR2: Health promotion multi-sector;HF11: Government schemes;2012;195.0
3490;HCR2: Health promotion multi-sector;HF11: Government schemes;2013;203.0
3491;HCR2: Health promotion multi-sector;HF11: Government schemes;2014;197.0
3492;HCR2: Health promotion multi-sector;HF11: Government schemes;2015;210.0
3493;HCR2: Health promotion multi-sector;HF11: Government schemes;2016;222.0
3494;HCR2: Health promotion multi-sector;HF11: Government schemes;2017;221.0
3495;HCR2: Health promotion multi-sector;HF11: Government schemes;2018;248.0
3496;HCR2: Health promotion multi-sector;HF11: Government schemes;2019;230.0
3497;HCR2: Health promotion multi-sector;HF11: Government schemes;2020;250.0
3498;HCR2: Health promotion multi-sector;HF11: Government schemes;2021;304.0
3499;HCR2: Health promotion multi-sector;HF11: Government schemes;2022;316.0
3500;HCR2: Health promotion multi-sector;HF12: Compulsory contributory schemes;1998;0.0
3501;HCR2: Health promotion multi-sector;HF12: Compulsory contributory schemes;1999;0.0
3502;HCR2: Health promotion multi-sector;HF12: Compulsory contributory schemes;2000;0.0
3503;HCR2: Health promotion multi-sector;HF12: Compulsory contributory schemes;2001;0.0
3504;HCR2: Health promotion multi-sector;HF12: Compulsory contributory schemes;2002;0.0
3505;HCR2: Health promotion multi-sector;HF12: Compulsory contributory schemes;2003;0.0
3506;HCR2: Health promotion multi-sector;HF12: Compulsory contributory schemes;2004;0.0
3507;HCR2: Health promotion multi-sector;HF12: Compulsory contributory schemes;2005;0.0
3508;HCR2: Health promotion multi-sector;HF12: Compulsory contributory schemes;2006;0.0
3509;HCR2: Health promotion multi-sector;HF12: Compulsory contributory schemes;2007;0.0
3510;HCR2: Health promotion multi-sector;HF12: Compulsory contributory schemes;2008;0.0
3511;HCR2: Health promotion multi-sector;HF12: Compulsory contributory schemes;2009;0.0
3512;HCR2: Health promotion multi-sector;HF12: Compulsory contributory schemes;2010;0.0
3513;HCR2: Health promotion multi-sector;HF12: Compulsory contributory schemes;2011;0.0
3514;HCR2: Health promotion multi-sector;HF12: Compulsory contributory schemes;2012;0.0
3515;HCR2: Health promotion multi-sector;HF12: Compulsory contributory schemes;2013;0.0
3516;HCR2: Health promotion multi-sector;HF12: Compulsory contributory schemes;2014;0.0
3517;HCR2: Health promotion multi-sector;HF12: Compulsory contributory schemes;2015;0.0
3518;HCR2: Health promotion multi-sector;HF12: Compulsory contributory schemes;2016;0.0
3519;HCR2: Health promotion multi-sector;HF12: Compulsory contributory schemes;2017;0.0
3520;HCR2: Health promotion multi-sector;HF12: Compulsory contributory schemes;2018;0.0
3521;HCR2: Health promotion multi-sector;HF12: Compulsory contributory schemes;2019;0.0
3522;HCR2: Health promotion multi-sector;HF12: Compulsory contributory schemes;2020;0.0
3523;HCR2: Health promotion multi-sector;HF12: Compulsory contributory schemes;2021;0.0
3524;HCR2: Health promotion multi-sector;HF12: Compulsory contributory schemes;2022;0.0
3525;HCR2: Health promotion multi-sector;HF121a: Long-term care insurance;1998;0.0
3526;HCR2: Health promotion multi-sector;HF121a: Long-term care insurance;1999;0.0
3527;HCR2: Health promotion multi-sector;HF121a: Long-term care insurance;2000;0.0
3528;HCR2: Health promotion multi-sector;HF121a: Long-term care insurance;2001;0.0
3529;HCR2: Health promotion multi-sector;HF121a: Long-term care insurance;2002;0.0
3530;HCR2: Health promotion multi-sector;HF121a: Long-term care insurance;2003;0.0
3531;HCR2: Health promotion multi-sector;HF121a: Long-term care insurance;2004;0.0
3532;HCR2: Health promotion multi-sector;HF121a: Long-term care insurance;2005;0.0
3533;HCR2: Health promotion multi-sector;HF121a: Long-term care insurance;2006;0.0
3534;HCR2: Health promotion multi-sector;HF121a: Long-term care insurance;2007;0.0
3535;HCR2: Health promotion multi-sector;HF121a: Long-term care insurance;2008;0.0
3536;HCR2: Health promotion multi-sector;HF121a: Long-term care insurance;2009;0.0
3537;HCR2: Health promotion multi-sector;HF121a: Long-term care insurance;2010;0.0
3538;HCR2: Health promotion multi-sector;HF121a: Long-term care insurance;2011;0.0
3539;HCR2: Health promotion multi-sector;HF121a: Long-term care insurance;2012;0.0
3540;HCR2: Health promotion multi-sector;HF121a: Long-term care insurance;2013;0.0
3541;HCR2: Health promotion multi-sector;HF121a: Long-term care insurance;2014;0.0
3542;HCR2: Health promotion multi-sector;HF121a: Long-term care insurance;2015;0.0
3543;HCR2: Health promotion multi-sector;HF121a: Long-term care insurance;2016;0.0
3544;HCR2: Health promotion multi-sector;HF121a: Long-term care insurance;2017;0.0
3545;HCR2: Health promotion multi-sector;HF121a: Long-term care insurance;2018;0.0
3546;HCR2: Health promotion multi-sector;HF121a: Long-term care insurance;2019;0.0
3547;HCR2: Health promotion multi-sector;HF121a: Long-term care insurance;2020;0.0
3548;HCR2: Health promotion multi-sector;HF121a: Long-term care insurance;2021;0.0
3549;HCR2: Health promotion multi-sector;HF121a: Long-term care insurance;2022;0.0
3550;HCR2: Health promotion multi-sector;HF121b: Health Insurance Fund;1998;0.0
3551;HCR2: Health promotion multi-sector;HF121b: Health Insurance Fund;1999;0.0
3552;HCR2: Health promotion multi-sector;HF121b: Health Insurance Fund;2000;0.0
3553;HCR2: Health promotion multi-sector;HF121b: Health Insurance Fund;2001;0.0
3554;HCR2: Health promotion multi-sector;HF121b: Health Insurance Fund;2002;0.0
3555;HCR2: Health promotion multi-sector;HF121b: Health Insurance Fund;2003;0.0
3556;HCR2: Health promotion multi-sector;HF121b: Health Insurance Fund;2004;0.0
3557;HCR2: Health promotion multi-sector;HF121b: Health Insurance Fund;2005;0.0
3558;HCR2: Health promotion multi-sector;HF121b: Health Insurance Fund;2006;
3559;HCR2: Health promotion multi-sector;HF121b: Health Insurance Fund;2007;
3560;HCR2: Health promotion multi-sector;HF121b: Health Insurance Fund;2008;
3561;HCR2: Health promotion multi-sector;HF121b: Health Insurance Fund;2009;
3562;HCR2: Health promotion multi-sector;HF121b: Health Insurance Fund;2010;
3563;HCR2: Health promotion multi-sector;HF121b: Health Insurance Fund;2011;
3564;HCR2: Health promotion multi-sector;HF121b: Health Insurance Fund;2012;
3565;HCR2: Health promotion multi-sector;HF121b: Health Insurance Fund;2013;
3566;HCR2: Health promotion multi-sector;HF121b: Health Insurance Fund;2014;
3567;HCR2: Health promotion multi-sector;HF121b: Health Insurance Fund;2015;
3568;HCR2: Health promotion multi-sector;HF121b: Health Insurance Fund;2016;
3569;HCR2: Health promotion multi-sector;HF121b: Health Insurance Fund;2017;
3570;HCR2: Health promotion multi-sector;HF121b: Health Insurance Fund;2018;
3571;HCR2: Health promotion multi-sector;HF121b: Health Insurance Fund;2019;
3572;HCR2: Health promotion multi-sector;HF121b: Health Insurance Fund;2020;
3573;HCR2: Health promotion multi-sector;HF121b: Health Insurance Fund;2021;
3574;HCR2: Health promotion multi-sector;HF121b: Health Insurance Fund;2022;
3575;HCR2: Health promotion multi-sector;HF122: Compulsory private insurance;1998;
3576;HCR2: Health promotion multi-sector;HF122: Compulsory private insurance;1999;
3577;HCR2: Health promotion multi-sector;HF122: Compulsory private insurance;2000;
3578;HCR2: Health promotion multi-sector;HF122: Compulsory private insurance;2001;
3579;HCR2: Health promotion multi-sector;HF122: Compulsory private insurance;2002;
3580;HCR2: Health promotion multi-sector;HF122: Compulsory private insurance;2003;
3581;HCR2: Health promotion multi-sector;HF122: Compulsory private insurance;2004;
3582;HCR2: Health promotion multi-sector;HF122: Compulsory private insurance;2005;
3583;HCR2: Health promotion multi-sector;HF122: Compulsory private insurance;2006;0.0
3584;HCR2: Health promotion multi-sector;HF122: Compulsory private insurance;2007;0.0
3585;HCR2: Health promotion multi-sector;HF122: Compulsory private insurance;2008;0.0
3586;HCR2: Health promotion multi-sector;HF122: Compulsory private insurance;2009;0.0
3587;HCR2: Health promotion multi-sector;HF122: Compulsory private insurance;2010;0.0
3588;HCR2: Health promotion multi-sector;HF122: Compulsory private insurance;2011;0.0
3589;HCR2: Health promotion multi-sector;HF122: Compulsory private insurance;2012;0.0
3590;HCR2: Health promotion multi-sector;HF122: Compulsory private insurance;2013;0.0
3591;HCR2: Health promotion multi-sector;HF122: Compulsory private insurance;2014;0.0
3592;HCR2: Health promotion multi-sector;HF122: Compulsory private insurance;2015;0.0
3593;HCR2: Health promotion multi-sector;HF122: Compulsory private insurance;2016;0.0
3594;HCR2: Health promotion multi-sector;HF122: Compulsory private insurance;2017;0.0
3595;HCR2: Health promotion multi-sector;HF122: Compulsory private insurance;2018;0.0
3596;HCR2: Health promotion multi-sector;HF122: Compulsory private insurance;2019;0.0
3597;HCR2: Health promotion multi-sector;HF122: Compulsory private insurance;2020;0.0
3598;HCR2: Health promotion multi-sector;HF122: Compulsory private insurance;2021;0.0
3599;HCR2: Health promotion multi-sector;HF122: Compulsory private insurance;2022;0.0
3600;HCR2: Health promotion multi-sector;Voluntary schemes (incl. OOP);1998;48.0
3601;HCR2: Health promotion multi-sector;Voluntary schemes (incl. OOP);1999;57.0
3602;HCR2: Health promotion multi-sector;Voluntary schemes (incl. OOP);2000;63.0
3603;HCR2: Health promotion multi-sector;Voluntary schemes (incl. OOP);2001;82.0
3604;HCR2: Health promotion multi-sector;Voluntary schemes (incl. OOP);2002;108.0
3605;HCR2: Health promotion multi-sector;Voluntary schemes (incl. OOP);2003;91.0
3606;HCR2: Health promotion multi-sector;Voluntary schemes (incl. OOP);2004;92.0
3607;HCR2: Health promotion multi-sector;Voluntary schemes (incl. OOP);2005;79.0
3608;HCR2: Health promotion multi-sector;Voluntary schemes (incl. OOP);2006;45.0
3609;HCR2: Health promotion multi-sector;Voluntary schemes (incl. OOP);2007;48.0
3610;HCR2: Health promotion multi-sector;Voluntary schemes (incl. OOP);2008;56.0
3611;HCR2: Health promotion multi-sector;Voluntary schemes (incl. OOP);2009;57.0
3612;HCR2: Health promotion multi-sector;Voluntary schemes (incl. OOP);2010;66.0
3613;HCR2: Health promotion multi-sector;Voluntary schemes (incl. OOP);2011;62.0
3614;HCR2: Health promotion multi-sector;Voluntary schemes (incl. OOP);2012;61.0
3615;HCR2: Health promotion multi-sector;Voluntary schemes (incl. OOP);2013;58.0
3616;HCR2: Health promotion multi-sector;Voluntary schemes (incl. OOP);2014;110.0
3617;HCR2: Health promotion multi-sector;Voluntary schemes (incl. OOP);2015;104.0
3618;HCR2: Health promotion multi-sector;Voluntary schemes (incl. OOP);2016;112.0
3619;HCR2: Health promotion multi-sector;Voluntary schemes (incl. OOP);2017;118.0
3620;HCR2: Health promotion multi-sector;Voluntary schemes (incl. OOP);2018;104.0
3621;HCR2: Health promotion multi-sector;Voluntary schemes (incl. OOP);2019;112.0
3622;HCR2: Health promotion multi-sector;Voluntary schemes (incl. OOP);2020;120.0
3623;HCR2: Health promotion multi-sector;Voluntary schemes (incl. OOP);2021;144.0
3624;HCR2: Health promotion multi-sector;Voluntary schemes (incl. OOP);2022;153.0
3625;HCR2: Health promotion multi-sector;HF2: Voluntary schemes;1998;48.0
3626;HCR2: Health promotion multi-sector;HF2: Voluntary schemes;1999;57.0
3627;HCR2: Health promotion multi-sector;HF2: Voluntary schemes;2000;63.0
3628;HCR2: Health promotion multi-sector;HF2: Voluntary schemes;2001;82.0
3629;HCR2: Health promotion multi-sector;HF2: Voluntary schemes;2002;108.0
3630;HCR2: Health promotion multi-sector;HF2: Voluntary schemes;2003;91.0
3631;HCR2: Health promotion multi-sector;HF2: Voluntary schemes;2004;92.0
3632;HCR2: Health promotion multi-sector;HF2: Voluntary schemes;2005;79.0
3633;HCR2: Health promotion multi-sector;HF2: Voluntary schemes;2006;45.0
3634;HCR2: Health promotion multi-sector;HF2: Voluntary schemes;2007;48.0
3635;HCR2: Health promotion multi-sector;HF2: Voluntary schemes;2008;56.0
3636;HCR2: Health promotion multi-sector;HF2: Voluntary schemes;2009;57.0
3637;HCR2: Health promotion multi-sector;HF2: Voluntary schemes;2010;66.0
3638;HCR2: Health promotion multi-sector;HF2: Voluntary schemes;2011;62.0
3639;HCR2: Health promotion multi-sector;HF2: Voluntary schemes;2012;61.0
3640;HCR2: Health promotion multi-sector;HF2: Voluntary schemes;2013;58.0
3641;HCR2: Health promotion multi-sector;HF2: Voluntary schemes;2014;110.0
3642;HCR2: Health promotion multi-sector;HF2: Voluntary schemes;2015;104.0
3643;HCR2: Health promotion multi-sector;HF2: Voluntary schemes;2016;112.0
3644;HCR2: Health promotion multi-sector;HF2: Voluntary schemes;2017;118.0
3645;HCR2: Health promotion multi-sector;HF2: Voluntary schemes;2018;104.0
3646;HCR2: Health promotion multi-sector;HF2: Voluntary schemes;2019;112.0
3647;HCR2: Health promotion multi-sector;HF2: Voluntary schemes;2020;120.0
