ID;Transactions;FunctionsOfGeneralGovernment;InstitutionalSectors;Periods;GovernmentExpenditureAndConsumption_1
8134;Total government expenditure;6.6 Housing and community amenities n...;Local government;2009;5.0
8135;Total government expenditure;6.6 Housing and community amenities n...;Local government;2010;4.0
8136;Total government expenditure;6.6 Housing and community amenities n...;Local government;2011;2.0
8137;Total government expenditure;6.6 Housing and community amenities n...;Local government;2012;3.0
8138;Total government expenditure;6.6 Housing and community amenities n...;Local government;2013;2.0
8139;Total government expenditure;6.6 Housing and community amenities n...;Local government;2014;5.0
8140;Total government expenditure;6.6 Housing and community amenities n...;Local government;2015;0.0
8141;Total government expenditure;6.6 Housing and community amenities n...;Local government;2016;0.0
8142;Total government expenditure;6.6 Housing and community amenities n...;Local government;2017;0.0
8143;Total government expenditure;6.6 Housing and community amenities n...;Local government;2018;0.0
8144;Total government expenditure;6.6 Housing and community amenities n...;Local government;2019;0.0
8145;Total government expenditure;6.6 Housing and community amenities n...;Local government;2020;0.0
8146;Total government expenditure;6.6 Housing and community amenities n...;Local government;2021;0.0
8147;Total government expenditure;6.6 Housing and community amenities n...;Local government;2022;0.0
8148;Total government expenditure;6.6 Housing and community amenities n...;Local government;2023;0.0
8149;Total government expenditure;6.6 Housing and community amenities n...;Social security funds;1995;0.0
8150;Total government expenditure;6.6 Housing and community amenities n...;Social security funds;1996;0.0
8151;Total government expenditure;6.6 Housing and community amenities n...;Social security funds;1997;0.0
8152;Total government expenditure;6.6 Housing and community amenities n...;Social security funds;1998;0.0
8153;Total government expenditure;6.6 Housing and community amenities n...;Social security funds;1999;0.0
8154;Total government expenditure;6.6 Housing and community amenities n...;Social security funds;2000;0.0
8155;Total government expenditure;6.6 Housing and community amenities n...;Social security funds;2001;0.0
8156;Total government expenditure;6.6 Housing and community amenities n...;Social security funds;2002;0.0
8157;Total government expenditure;6.6 Housing and community amenities n...;Social security funds;2003;0.0
8158;Total government expenditure;6.6 Housing and community amenities n...;Social security funds;2004;0.0
8159;Total government expenditure;6.6 Housing and community amenities n...;Social security funds;2005;0.0
8160;Total government expenditure;6.6 Housing and community amenities n...;Social security funds;2006;0.0
8161;Total government expenditure;6.6 Housing and community amenities n...;Social security funds;2007;0.0
8162;Total government expenditure;6.6 Housing and community amenities n...;Social security funds;2008;0.0
8163;Total government expenditure;6.6 Housing and community amenities n...;Social security funds;2009;0.0
8164;Total government expenditure;6.6 Housing and community amenities n...;Social security funds;2010;0.0
8165;Total government expenditure;6.6 Housing and community amenities n...;Social security funds;2011;0.0
8166;Total government expenditure;6.6 Housing and community amenities n...;Social security funds;2012;0.0
8167;Total government expenditure;6.6 Housing and community amenities n...;Social security funds;2013;0.0
8168;Total government expenditure;6.6 Housing and community amenities n...;Social security funds;2014;0.0
8169;Total government expenditure;6.6 Housing and community amenities n...;Social security funds;2015;0.0
8170;Total government expenditure;6.6 Housing and community amenities n...;Social security funds;2016;0.0
8171;Total government expenditure;6.6 Housing and community amenities n...;Social security funds;2017;0.0
8172;Total government expenditure;6.6 Housing and community amenities n...;Social security funds;2018;0.0
8173;Total government expenditure;6.6 Housing and community amenities n...;Social security funds;2019;0.0
8174;Total government expenditure;6.6 Housing and community amenities n...;Social security funds;2020;0.0
8175;Total government expenditure;6.6 Housing and community amenities n...;Social security funds;2021;0.0
8176;Total government expenditure;6.6 Housing and community amenities n...;Social security funds;2022;0.0
8177;Total government expenditure;6.6 Housing and community amenities n...;Social security funds;2023;0.0
8178;Total government expenditure;7. Health;General government;1995;15432.0
8179;Total government expenditure;7. Health;General government;1996;15207.0
8180;Total government expenditure;7. Health;General government;1997;17029.0
8181;Total government expenditure;7. Health;General government;1998;17918.0
8182;Total government expenditure;7. Health;General government;1999;18898.0
8183;Total government expenditure;7. Health;General government;2000;20930.0
8184;Total government expenditure;7. Health;General government;2001;23000.0
8185;Total government expenditure;7. Health;General government;2002;25788.0
8186;Total government expenditure;7. Health;General government;2003;27631.0
8187;Total government expenditure;7. Health;General government;2004;28372.0
8188;Total government expenditure;7. Health;General government;2005;29529.0
8189;Total government expenditure;7. Health;General government;2006;38835.0
8190;Total government expenditure;7. Health;General government;2007;41593.0
8191;Total government expenditure;7. Health;General government;2008;42396.0
8192;Total government expenditure;7. Health;General government;2009;46323.0
8193;Total government expenditure;7. Health;General government;2010;49575.0
8194;Total government expenditure;7. Health;General government;2011;51249.0
8195;Total government expenditure;7. Health;General government;2012;53071.0
8196;Total government expenditure;7. Health;General government;2013;53058.0
8197;Total government expenditure;7. Health;General government;2014;53484.0
8198;Total government expenditure;7. Health;General government;2015;53261.0
8199;Total government expenditure;7. Health;General government;2016;51395.0
8200;Total government expenditure;7. Health;General government;2017;53812.0
8201;Total government expenditure;7. Health;General government;2018;56886.0
8202;Total government expenditure;7. Health;General government;2019;59868.0
8203;Total government expenditure;7. Health;General government;2020;66321.0
8204;Total government expenditure;7. Health;General government;2021;73736.0
8205;Total government expenditure;7. Health;General government;2022;71321.0
8206;Total government expenditure;7. Health;General government;2023;74926.0
8207;Total government expenditure;7. Health;Central government;1995;3388.0
8208;Total government expenditure;7. Health;Central government;1996;3727.0
8209;Total government expenditure;7. Health;Central government;1997;4223.0
8210;Total government expenditure;7. Health;Central government;1998;4265.0
8211;Total government expenditure;7. Health;Central government;1999;4421.0
8212;Total government expenditure;7. Health;Central government;2000;4544.0
8213;Total government expenditure;7. Health;Central government;2001;6544.0
