ID;CountryOfUltimateControllingInstance;CharacteristicsOfCompanies;EducationLevelOfEducation;CharacteristicsOfJobsAndEmployees;Periods;EmployeeJobs_1
8492;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: Polish;2012;
8493;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: Polish;2013;1.0
8494;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: Polish;2014;1.0
8495;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: Polish;2015;
8496;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: Indian;2008;
8497;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: Indian;2009;
8498;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: Indian;2010;
8499;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: Indian;2011;
8500;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: Indian;2012;
8501;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: Indian;2013;
8502;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: Indian;2014;
8503;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: Indian;2015;
8504;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: other;2008;9.0
8505;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: other;2009;10.0
8506;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: other;2010;11.0
8507;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: other;2011;11.0
8508;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: other;2012;11.0
8509;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: other;2013;11.0
8510;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: other;2014;11.0
8511;Total domestic and foreign;O-Q Government and care;300 Higher education;Nationality: other;2015;
8512;Total domestic and foreign;O-U Noncommercial services;Total;Total ;2008;2513.0
8513;Total domestic and foreign;O-U Noncommercial services;Total;Total ;2009;2585.0
8514;Total domestic and foreign;O-U Noncommercial services;Total;Total ;2010;2669.0
8515;Total domestic and foreign;O-U Noncommercial services;Total;Total ;2011;2709.0
8516;Total domestic and foreign;O-U Noncommercial services;Total;Total ;2012;2689.0
8517;Total domestic and foreign;O-U Noncommercial services;Total;Total ;2013;2636.0
8518;Total domestic and foreign;O-U Noncommercial services;Total;Total ;2014;2603.0
8519;Total domestic and foreign;O-U Noncommercial services;Total;Total ;2015;2580.0
8520;Total domestic and foreign;O-U Noncommercial services;Total;Type of contract: specified time;2008;554.0
8521;Total domestic and foreign;O-U Noncommercial services;Total;Type of contract: specified time;2009;606.0
8522;Total domestic and foreign;O-U Noncommercial services;Total;Type of contract: specified time;2010;634.0
8523;Total domestic and foreign;O-U Noncommercial services;Total;Type of contract: specified time;2011;636.0
8524;Total domestic and foreign;O-U Noncommercial services;Total;Type of contract: specified time;2012;641.0
8525;Total domestic and foreign;O-U Noncommercial services;Total;Type of contract: specified time;2013;626.0
8526;Total domestic and foreign;O-U Noncommercial services;Total;Type of contract: specified time;2014;633.0
8527;Total domestic and foreign;O-U Noncommercial services;Total;Type of contract: specified time;2015;643.0
8528;Total domestic and foreign;O-U Noncommercial services;Total;Type of contract: unspecified time;2008;1947.0
8529;Total domestic and foreign;O-U Noncommercial services;Total;Type of contract: unspecified time;2009;1961.0
8530;Total domestic and foreign;O-U Noncommercial services;Total;Type of contract: unspecified time;2010;2019.0
8531;Total domestic and foreign;O-U Noncommercial services;Total;Type of contract: unspecified time;2011;2057.0
8532;Total domestic and foreign;O-U Noncommercial services;Total;Type of contract: unspecified time;2012;2032.0
8533;Total domestic and foreign;O-U Noncommercial services;Total;Type of contract: unspecified time;2013;1995.0
8534;Total domestic and foreign;O-U Noncommercial services;Total;Type of contract: unspecified time;2014;1954.0
8535;Total domestic and foreign;O-U Noncommercial services;Total;Type of contract: unspecified time;2015;1918.0
8536;Total domestic and foreign;O-U Noncommercial services;Total;Type of contract: other;2008;13.0
8537;Total domestic and foreign;O-U Noncommercial services;Total;Type of contract: other;2009;13.0
8538;Total domestic and foreign;O-U Noncommercial services;Total;Type of contract: other;2010;14.0
8539;Total domestic and foreign;O-U Noncommercial services;Total;Type of contract: other;2011;16.0
8540;Total domestic and foreign;O-U Noncommercial services;Total;Type of contract: other;2012;16.0
8541;Total domestic and foreign;O-U Noncommercial services;Total;Type of contract: other;2013;15.0
8542;Total domestic and foreign;O-U Noncommercial services;Total;Type of contract: other;2014;16.0
8543;Total domestic and foreign;O-U Noncommercial services;Total;Type of contract: other;2015;18.0
8544;Total domestic and foreign;O-U Noncommercial services;Total;Sex: Male;2008;831.0
8545;Total domestic and foreign;O-U Noncommercial services;Total;Sex: Male;2009;843.0
8546;Total domestic and foreign;O-U Noncommercial services;Total;Sex: Male;2010;851.0
8547;Total domestic and foreign;O-U Noncommercial services;Total;Sex: Male;2011;852.0
8548;Total domestic and foreign;O-U Noncommercial services;Total;Sex: Male;2012;835.0
8549;Total domestic and foreign;O-U Noncommercial services;Total;Sex: Male;2013;819.0
8550;Total domestic and foreign;O-U Noncommercial services;Total;Sex: Male;2014;812.0
8551;Total domestic and foreign;O-U Noncommercial services;Total;Sex: Male;2015;807.0
8552;Total domestic and foreign;O-U Noncommercial services;Total;Sex: Female;2008;1682.0
8553;Total domestic and foreign;O-U Noncommercial services;Total;Sex: Female;2009;1742.0
8554;Total domestic and foreign;O-U Noncommercial services;Total;Sex: Female;2010;1818.0
8555;Total domestic and foreign;O-U Noncommercial services;Total;Sex: Female;2011;1857.0
8556;Total domestic and foreign;O-U Noncommercial services;Total;Sex: Female;2012;1853.0
8557;Total domestic and foreign;O-U Noncommercial services;Total;Sex: Female;2013;1818.0
8558;Total domestic and foreign;O-U Noncommercial services;Total;Sex: Female;2014;1791.0
8559;Total domestic and foreign;O-U Noncommercial services;Total;Sex: Female;2015;1773.0
8560;Total domestic and foreign;O-U Noncommercial services;Total;Age: 15 to 34 years;2008;804.0
8561;Total domestic and foreign;O-U Noncommercial services;Total;Age: 15 to 34 years;2009;832.0
8562;Total domestic and foreign;O-U Noncommercial services;Total;Age: 15 to 34 years;2010;860.0
8563;Total domestic and foreign;O-U Noncommercial services;Total;Age: 15 to 34 years;2011;872.0
8564;Total domestic and foreign;O-U Noncommercial services;Total;Age: 15 to 34 years;2012;859.0
8565;Total domestic and foreign;O-U Noncommercial services;Total;Age: 15 to 34 years;2013;823.0
8566;Total domestic and foreign;O-U Noncommercial services;Total;Age: 15 to 34 years;2014;803.0
8567;Total domestic and foreign;O-U Noncommercial services;Total;Age: 15 to 34 years;2015;793.0
8568;Total domestic and foreign;O-U Noncommercial services;Total;Age: 35 to 54 years;2008;1316.0
8569;Total domestic and foreign;O-U Noncommercial services;Total;Age: 35 to 54 years;2009;1321.0
8570;Total domestic and foreign;O-U Noncommercial services;Total;Age: 35 to 54 years;2010;1337.0
8571;Total domestic and foreign;O-U Noncommercial services;Total;Age: 35 to 54 years;2011;1329.0
8572;Total domestic and foreign;O-U Noncommercial services;Total;Age: 35 to 54 years;2012;1300.0
8573;Total domestic and foreign;O-U Noncommercial services;Total;Age: 35 to 54 years;2013;1260.0
8574;Total domestic and foreign;O-U Noncommercial services;Total;Age: 35 to 54 years;2014;1225.0
8575;Total domestic and foreign;O-U Noncommercial services;Total;Age: 35 to 54 years;2015;1197.0
8576;Total domestic and foreign;O-U Noncommercial services;Total;Age: 55 years or older;2008;394.0
8577;Total domestic and foreign;O-U Noncommercial services;Total;Age: 55 years or older;2009;432.0
8578;Total domestic and foreign;O-U Noncommercial services;Total;Age: 55 years or older;2010;472.0
8579;Total domestic and foreign;O-U Noncommercial services;Total;Age: 55 years or older;2011;507.0
8580;Total domestic and foreign;O-U Noncommercial services;Total;Age: 55 years or older;2012;530.0
8581;Total domestic and foreign;O-U Noncommercial services;Total;Age: 55 years or older;2013;554.0
8582;Total domestic and foreign;O-U Noncommercial services;Total;Age: 55 years or older;2014;574.0
8583;Total domestic and foreign;O-U Noncommercial services;Total;Age: 55 years or older;2015;589.0
8584;Total domestic and foreign;O-U Noncommercial services;Total;Wage: low (among lowest 30 percent);2008;518.0
8585;Total domestic and foreign;O-U Noncommercial services;Total;Wage: low (among lowest 30 percent);2009;533.0
8586;Total domestic and foreign;O-U Noncommercial services;Total;Wage: low (among lowest 30 percent);2010;549.0
8587;Total domestic and foreign;O-U Noncommercial services;Total;Wage: low (among lowest 30 percent);2011;553.0
8588;Total domestic and foreign;O-U Noncommercial services;Total;Wage: low (among lowest 30 percent);2012;548.0
8589;Total domestic and foreign;O-U Noncommercial services;Total;Wage: low (among lowest 30 percent);2013;511.0
8590;Total domestic and foreign;O-U Noncommercial services;Total;Wage: low (among lowest 30 percent);2014;479.0
8591;Total domestic and foreign;O-U Noncommercial services;Total;Wage: low (among lowest 30 percent);2015;441.0
8592;Total domestic and foreign;O-U Noncommercial services;Total;Wage: middle;2008;1534.0
8593;Total domestic and foreign;O-U Noncommercial services;Total;Wage: middle;2009;1570.0
8594;Total domestic and foreign;O-U Noncommercial services;Total;Wage: middle;2010;1614.0
8595;Total domestic and foreign;O-U Noncommercial services;Total;Wage: middle;2011;1656.0
8596;Total domestic and foreign;O-U Noncommercial services;Total;Wage: middle;2012;1657.0
8597;Total domestic and foreign;O-U Noncommercial services;Total;Wage: middle;2013;1650.0
8598;Total domestic and foreign;O-U Noncommercial services;Total;Wage: middle;2014;1638.0
8599;Total domestic and foreign;O-U Noncommercial services;Total;Wage: middle;2015;1631.0
8600;Total domestic and foreign;O-U Noncommercial services;Total;Wage: high (among highest 20 percent);2008;461.0
8601;Total domestic and foreign;O-U Noncommercial services;Total;Wage: high (among highest 20 percent);2009;482.0
8602;Total domestic and foreign;O-U Noncommercial services;Total;Wage: high (among highest 20 percent);2010;506.0
8603;Total domestic and foreign;O-U Noncommercial services;Total;Wage: high (among highest 20 percent);2011;500.0
8604;Total domestic and foreign;O-U Noncommercial services;Total;Wage: high (among highest 20 percent);2012;484.0
8605;Total domestic and foreign;O-U Noncommercial services;Total;Wage: high (among highest 20 percent);2013;476.0
