ID;Functions;Financing;Periods;ExpenditureOnHealthAndSocialCare_1
7377;HC32: Day cases long-term nursing care;HF121b: Health Insurance Fund;2000;0.0
7378;HC32: Day cases long-term nursing care;HF121b: Health Insurance Fund;2001;0.0
7379;HC32: Day cases long-term nursing care;HF121b: Health Insurance Fund;2002;0.0
7380;HC32: Day cases long-term nursing care;HF121b: Health Insurance Fund;2003;0.0
7381;HC32: Day cases long-term nursing care;HF121b: Health Insurance Fund;2004;0.0
7382;HC32: Day cases long-term nursing care;HF121b: Health Insurance Fund;2005;0.0
7383;HC32: Day cases long-term nursing care;HF121b: Health Insurance Fund;2006;0.0
7384;HC32: Day cases long-term nursing care;HF121b: Health Insurance Fund;2007;
7385;HC32: Day cases long-term nursing care;HF121b: Health Insurance Fund;2008;
7386;HC32: Day cases long-term nursing care;HF121b: Health Insurance Fund;2009;
7387;HC32: Day cases long-term nursing care;HF121b: Health Insurance Fund;2010;
7388;HC32: Day cases long-term nursing care;HF121b: Health Insurance Fund;2011;
7389;HC32: Day cases long-term nursing care;HF121b: Health Insurance Fund;2012;
7390;HC32: Day cases long-term nursing care;HF121b: Health Insurance Fund;2013;
7391;HC32: Day cases long-term nursing care;HF121b: Health Insurance Fund;2014;
7392;HC32: Day cases long-term nursing care;HF121b: Health Insurance Fund;2015;
7393;HC32: Day cases long-term nursing care;HF121b: Health Insurance Fund;2016;
7394;HC32: Day cases long-term nursing care;HF121b: Health Insurance Fund;2017;
7395;HC32: Day cases long-term nursing care;HF121b: Health Insurance Fund;2018;
7396;HC32: Day cases long-term nursing care;HF121b: Health Insurance Fund;2019;
7397;HC32: Day cases long-term nursing care;HF121b: Health Insurance Fund;2020;
7398;HC32: Day cases long-term nursing care;HF121b: Health Insurance Fund;2021;
7399;HC32: Day cases long-term nursing care;HF121b: Health Insurance Fund;2022;
7400;HC32: Day cases long-term nursing care;HF122: Compulsory private insurance;1998;
7401;HC32: Day cases long-term nursing care;HF122: Compulsory private insurance;1999;
7402;HC32: Day cases long-term nursing care;HF122: Compulsory private insurance;2000;
7403;HC32: Day cases long-term nursing care;HF122: Compulsory private insurance;2001;
7404;HC32: Day cases long-term nursing care;HF122: Compulsory private insurance;2002;
7405;HC32: Day cases long-term nursing care;HF122: Compulsory private insurance;2003;
7406;HC32: Day cases long-term nursing care;HF122: Compulsory private insurance;2004;
7407;HC32: Day cases long-term nursing care;HF122: Compulsory private insurance;2005;
7408;HC32: Day cases long-term nursing care;HF122: Compulsory private insurance;2006;0.0
7409;HC32: Day cases long-term nursing care;HF122: Compulsory private insurance;2007;0.0
7410;HC32: Day cases long-term nursing care;HF122: Compulsory private insurance;2008;0.0
7411;HC32: Day cases long-term nursing care;HF122: Compulsory private insurance;2009;0.0
7412;HC32: Day cases long-term nursing care;HF122: Compulsory private insurance;2010;0.0
7413;HC32: Day cases long-term nursing care;HF122: Compulsory private insurance;2011;0.0
7414;HC32: Day cases long-term nursing care;HF122: Compulsory private insurance;2012;0.0
7415;HC32: Day cases long-term nursing care;HF122: Compulsory private insurance;2013;0.0
7416;HC32: Day cases long-term nursing care;HF122: Compulsory private insurance;2014;0.0
7417;HC32: Day cases long-term nursing care;HF122: Compulsory private insurance;2015;1.0
7418;HC32: Day cases long-term nursing care;HF122: Compulsory private insurance;2016;0.0
7419;HC32: Day cases long-term nursing care;HF122: Compulsory private insurance;2017;0.0
7420;HC32: Day cases long-term nursing care;HF122: Compulsory private insurance;2018;0.0
7421;HC32: Day cases long-term nursing care;HF122: Compulsory private insurance;2019;0.0
7422;HC32: Day cases long-term nursing care;HF122: Compulsory private insurance;2020;0.0
7423;HC32: Day cases long-term nursing care;HF122: Compulsory private insurance;2021;0.0
7424;HC32: Day cases long-term nursing care;HF122: Compulsory private insurance;2022;0.0
7425;HC32: Day cases long-term nursing care;Voluntary schemes (incl. OOP);1998;7.0
7426;HC32: Day cases long-term nursing care;Voluntary schemes (incl. OOP);1999;7.0
7427;HC32: Day cases long-term nursing care;Voluntary schemes (incl. OOP);2000;7.0
7428;HC32: Day cases long-term nursing care;Voluntary schemes (incl. OOP);2001;7.0
7429;HC32: Day cases long-term nursing care;Voluntary schemes (incl. OOP);2002;7.0
7430;HC32: Day cases long-term nursing care;Voluntary schemes (incl. OOP);2003;8.0
7431;HC32: Day cases long-term nursing care;Voluntary schemes (incl. OOP);2004;9.0
7432;HC32: Day cases long-term nursing care;Voluntary schemes (incl. OOP);2005;9.0
7433;HC32: Day cases long-term nursing care;Voluntary schemes (incl. OOP);2006;9.0
7434;HC32: Day cases long-term nursing care;Voluntary schemes (incl. OOP);2007;9.0
7435;HC32: Day cases long-term nursing care;Voluntary schemes (incl. OOP);2008;8.0
7436;HC32: Day cases long-term nursing care;Voluntary schemes (incl. OOP);2009;9.0
7437;HC32: Day cases long-term nursing care;Voluntary schemes (incl. OOP);2010;9.0
7438;HC32: Day cases long-term nursing care;Voluntary schemes (incl. OOP);2011;11.0
7439;HC32: Day cases long-term nursing care;Voluntary schemes (incl. OOP);2012;11.0
7440;HC32: Day cases long-term nursing care;Voluntary schemes (incl. OOP);2013;13.0
7441;HC32: Day cases long-term nursing care;Voluntary schemes (incl. OOP);2014;14.0
7442;HC32: Day cases long-term nursing care;Voluntary schemes (incl. OOP);2015;0.0
7443;HC32: Day cases long-term nursing care;Voluntary schemes (incl. OOP);2016;0.0
7444;HC32: Day cases long-term nursing care;Voluntary schemes (incl. OOP);2017;0.0
7445;HC32: Day cases long-term nursing care;Voluntary schemes (incl. OOP);2018;0.0
7446;HC32: Day cases long-term nursing care;Voluntary schemes (incl. OOP);2019;0.0
7447;HC32: Day cases long-term nursing care;Voluntary schemes (incl. OOP);2020;0.0
7448;HC32: Day cases long-term nursing care;Voluntary schemes (incl. OOP);2021;0.0
7449;HC32: Day cases long-term nursing care;Voluntary schemes (incl. OOP);2022;0.0
7450;HC32: Day cases long-term nursing care;HF2: Voluntary schemes;1998;0.0
7451;HC32: Day cases long-term nursing care;HF2: Voluntary schemes;1999;0.0
7452;HC32: Day cases long-term nursing care;HF2: Voluntary schemes;2000;0.0
7453;HC32: Day cases long-term nursing care;HF2: Voluntary schemes;2001;0.0
7454;HC32: Day cases long-term nursing care;HF2: Voluntary schemes;2002;0.0
7455;HC32: Day cases long-term nursing care;HF2: Voluntary schemes;2003;0.0
7456;HC32: Day cases long-term nursing care;HF2: Voluntary schemes;2004;0.0
7457;HC32: Day cases long-term nursing care;HF2: Voluntary schemes;2005;0.0
7458;HC32: Day cases long-term nursing care;HF2: Voluntary schemes;2006;0.0
7459;HC32: Day cases long-term nursing care;HF2: Voluntary schemes;2007;0.0
7460;HC32: Day cases long-term nursing care;HF2: Voluntary schemes;2008;0.0
7461;HC32: Day cases long-term nursing care;HF2: Voluntary schemes;2009;0.0
7462;HC32: Day cases long-term nursing care;HF2: Voluntary schemes;2010;0.0
7463;HC32: Day cases long-term nursing care;HF2: Voluntary schemes;2011;0.0
7464;HC32: Day cases long-term nursing care;HF2: Voluntary schemes;2012;0.0
7465;HC32: Day cases long-term nursing care;HF2: Voluntary schemes;2013;0.0
7466;HC32: Day cases long-term nursing care;HF2: Voluntary schemes;2014;0.0
7467;HC32: Day cases long-term nursing care;HF2: Voluntary schemes;2015;0.0
7468;HC32: Day cases long-term nursing care;HF2: Voluntary schemes;2016;0.0
7469;HC32: Day cases long-term nursing care;HF2: Voluntary schemes;2017;0.0
7470;HC32: Day cases long-term nursing care;HF2: Voluntary schemes;2018;0.0
7471;HC32: Day cases long-term nursing care;HF2: Voluntary schemes;2019;0.0
7472;HC32: Day cases long-term nursing care;HF2: Voluntary schemes;2020;0.0
7473;HC32: Day cases long-term nursing care;HF2: Voluntary schemes;2021;0.0
7474;HC32: Day cases long-term nursing care;HF2: Voluntary schemes;2022;0.0
7475;HC32: Day cases long-term nursing care;HF21: Voluntary health insurance schemes;1998;0.0
7476;HC32: Day cases long-term nursing care;HF21: Voluntary health insurance schemes;1999;0.0
7477;HC32: Day cases long-term nursing care;HF21: Voluntary health insurance schemes;2000;0.0
7478;HC32: Day cases long-term nursing care;HF21: Voluntary health insurance schemes;2001;0.0
7479;HC32: Day cases long-term nursing care;HF21: Voluntary health insurance schemes;2002;0.0
7480;HC32: Day cases long-term nursing care;HF21: Voluntary health insurance schemes;2003;0.0
7481;HC32: Day cases long-term nursing care;HF21: Voluntary health insurance schemes;2004;0.0
7482;HC32: Day cases long-term nursing care;HF21: Voluntary health insurance schemes;2005;0.0
7483;HC32: Day cases long-term nursing care;HF21: Voluntary health insurance schemes;2006;0.0
7484;HC32: Day cases long-term nursing care;HF21: Voluntary health insurance schemes;2007;0.0
7485;HC32: Day cases long-term nursing care;HF21: Voluntary health insurance schemes;2008;0.0
7486;HC32: Day cases long-term nursing care;HF21: Voluntary health insurance schemes;2009;0.0
7487;HC32: Day cases long-term nursing care;HF21: Voluntary health insurance schemes;2010;0.0
7488;HC32: Day cases long-term nursing care;HF21: Voluntary health insurance schemes;2011;0.0
7489;HC32: Day cases long-term nursing care;HF21: Voluntary health insurance schemes;2012;0.0
7490;HC32: Day cases long-term nursing care;HF21: Voluntary health insurance schemes;2013;0.0
7491;HC32: Day cases long-term nursing care;HF21: Voluntary health insurance schemes;2014;0.0
7492;HC32: Day cases long-term nursing care;HF21: Voluntary health insurance schemes;2015;0.0
7493;HC32: Day cases long-term nursing care;HF21: Voluntary health insurance schemes;2016;0.0
7494;HC32: Day cases long-term nursing care;HF21: Voluntary health insurance schemes;2017;0.0
7495;HC32: Day cases long-term nursing care;HF21: Voluntary health insurance schemes;2018;0.0
7496;HC32: Day cases long-term nursing care;HF21: Voluntary health insurance schemes;2019;0.0
7497;HC32: Day cases long-term nursing care;HF21: Voluntary health insurance schemes;2020;0.0
7498;HC32: Day cases long-term nursing care;HF21: Voluntary health insurance schemes;2021;0.0
7499;HC32: Day cases long-term nursing care;HF21: Voluntary health insurance schemes;2022;0.0
7500;HC32: Day cases long-term nursing care;HF22: Financing schemes NPI;1998;0.0
7501;HC32: Day cases long-term nursing care;HF22: Financing schemes NPI;1999;0.0
7502;HC32: Day cases long-term nursing care;HF22: Financing schemes NPI;2000;0.0
7503;HC32: Day cases long-term nursing care;HF22: Financing schemes NPI;2001;0.0
7504;HC32: Day cases long-term nursing care;HF22: Financing schemes NPI;2002;0.0
7505;HC32: Day cases long-term nursing care;HF22: Financing schemes NPI;2003;0.0
7506;HC32: Day cases long-term nursing care;HF22: Financing schemes NPI;2004;0.0
7507;HC32: Day cases long-term nursing care;HF22: Financing schemes NPI;2005;0.0
7508;HC32: Day cases long-term nursing care;HF22: Financing schemes NPI;2006;0.0
7509;HC32: Day cases long-term nursing care;HF22: Financing schemes NPI;2007;0.0
7510;HC32: Day cases long-term nursing care;HF22: Financing schemes NPI;2008;0.0
7511;HC32: Day cases long-term nursing care;HF22: Financing schemes NPI;2009;0.0
7512;HC32: Day cases long-term nursing care;HF22: Financing schemes NPI;2010;0.0
7513;HC32: Day cases long-term nursing care;HF22: Financing schemes NPI;2011;0.0
7514;HC32: Day cases long-term nursing care;HF22: Financing schemes NPI;2012;0.0
7515;HC32: Day cases long-term nursing care;HF22: Financing schemes NPI;2013;0.0
7516;HC32: Day cases long-term nursing care;HF22: Financing schemes NPI;2014;0.0
7517;HC32: Day cases long-term nursing care;HF22: Financing schemes NPI;2015;0.0
7518;HC32: Day cases long-term nursing care;HF22: Financing schemes NPI;2016;0.0
7519;HC32: Day cases long-term nursing care;HF22: Financing schemes NPI;2017;0.0
7520;HC32: Day cases long-term nursing care;HF22: Financing schemes NPI;2018;0.0
7521;HC32: Day cases long-term nursing care;HF22: Financing schemes NPI;2019;0.0
7522;HC32: Day cases long-term nursing care;HF22: Financing schemes NPI;2020;0.0
7523;HC32: Day cases long-term nursing care;HF22: Financing schemes NPI;2021;0.0
7524;HC32: Day cases long-term nursing care;HF22: Financing schemes NPI;2022;0.0
7525;HC32: Day cases long-term nursing care;HF23: Enterprise financing schemes;1998;0.0
7526;HC32: Day cases long-term nursing care;HF23: Enterprise financing schemes;1999;0.0
7527;HC32: Day cases long-term nursing care;HF23: Enterprise financing schemes;2000;0.0
7528;HC32: Day cases long-term nursing care;HF23: Enterprise financing schemes;2001;0.0
7529;HC32: Day cases long-term nursing care;HF23: Enterprise financing schemes;2002;0.0
7530;HC32: Day cases long-term nursing care;HF23: Enterprise financing schemes;2003;0.0
7531;HC32: Day cases long-term nursing care;HF23: Enterprise financing schemes;2004;0.0
7532;HC32: Day cases long-term nursing care;HF23: Enterprise financing schemes;2005;0.0
7533;HC32: Day cases long-term nursing care;HF23: Enterprise financing schemes;2006;0.0
7534;HC32: Day cases long-term nursing care;HF23: Enterprise financing schemes;2007;0.0
7535;HC32: Day cases long-term nursing care;HF23: Enterprise financing schemes;2008;0.0
7536;HC32: Day cases long-term nursing care;HF23: Enterprise financing schemes;2009;0.0
7537;HC32: Day cases long-term nursing care;HF23: Enterprise financing schemes;2010;0.0
7538;HC32: Day cases long-term nursing care;HF23: Enterprise financing schemes;2011;0.0
7539;HC32: Day cases long-term nursing care;HF23: Enterprise financing schemes;2012;0.0
7540;HC32: Day cases long-term nursing care;HF23: Enterprise financing schemes;2013;0.0
7541;HC32: Day cases long-term nursing care;HF23: Enterprise financing schemes;2014;0.0
7542;HC32: Day cases long-term nursing care;HF23: Enterprise financing schemes;2015;0.0
7543;HC32: Day cases long-term nursing care;HF23: Enterprise financing schemes;2016;0.0
7544;HC32: Day cases long-term nursing care;HF23: Enterprise financing schemes;2017;0.0
7545;HC32: Day cases long-term nursing care;HF23: Enterprise financing schemes;2018;0.0
7546;HC32: Day cases long-term nursing care;HF23: Enterprise financing schemes;2019;0.0
7547;HC32: Day cases long-term nursing care;HF23: Enterprise financing schemes;2020;0.0
7548;HC32: Day cases long-term nursing care;HF23: Enterprise financing schemes;2021;0.0
7549;HC32: Day cases long-term nursing care;HF23: Enterprise financing schemes;2022;0.0
