ID;EmployeeWithWithoutRegistration;EmployeeCharacteristics;SectorBranchesSIC2008;JobCharacteristics;MigrationBackgroundNationality;Periods;JobsEmployeesFromAbroad_1
8736;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;United Kingdom;2013 2nd quarter;0.6
8737;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;United Kingdom;2013 3rd quarter;0.6
8738;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;United Kingdom;2013 4th quarter;0.6
8739;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;United Kingdom;2013;0.6
8740;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;United Kingdom;2014 1st quarter;0.6
8741;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;United Kingdom;2014 2nd quarter;0.6
8742;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;United Kingdom;2014 3rd quarter;0.6
8743;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;United Kingdom;2014 4th quarter;0.6
8744;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;United Kingdom;2014;0.6
8745;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;United Kingdom;2015 1st quarter;0.6
8746;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;United Kingdom;2015 2nd quarter;0.6
8747;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;United Kingdom;2015 3rd quarter;0.6
8748;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;United Kingdom;2015 4th quarter;0.7
8749;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;United Kingdom;2015;0.6
8750;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;United Kingdom;2016 1st quarter;0.7
8751;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;United Kingdom;2016 2nd quarter;0.7
8752;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;United Kingdom;2016 3rd quarter;0.6
8753;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;United Kingdom;2016 4th quarter;0.7
8754;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;United Kingdom;2016;0.7
8755;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;United Kingdom;2017 1st quarter;0.6
8756;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;United Kingdom;2017 2nd quarter;0.7
8757;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;United Kingdom;2017 3rd quarter;0.7
8758;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;United Kingdom;2017 4th quarter;0.7
8759;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;United Kingdom;2017;0.7
8760;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Other Europe (excl. Dutch background);2010 1st quarter;0.6
8761;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Other Europe (excl. Dutch background);2010 2nd quarter;0.5
8762;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Other Europe (excl. Dutch background);2010 3rd quarter;0.5
8763;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Other Europe (excl. Dutch background);2010 4th quarter;0.6
8764;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Other Europe (excl. Dutch background);2010;0.5
8765;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Other Europe (excl. Dutch background);2011 1st quarter;0.6
8766;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Other Europe (excl. Dutch background);2011 2nd quarter;0.6
8767;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Other Europe (excl. Dutch background);2011 3rd quarter;0.6
8768;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Other Europe (excl. Dutch background);2011 4th quarter;0.6
8769;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Other Europe (excl. Dutch background);2011;0.6
8770;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Other Europe (excl. Dutch background);2012 1st quarter;0.6
8771;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Other Europe (excl. Dutch background);2012 2nd quarter;0.6
8772;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Other Europe (excl. Dutch background);2012 3rd quarter;0.7
8773;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Other Europe (excl. Dutch background);2012 4th quarter;0.6
8774;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Other Europe (excl. Dutch background);2012;0.6
8775;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Other Europe (excl. Dutch background);2013 1st quarter;0.7
8776;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Other Europe (excl. Dutch background);2013 2nd quarter;0.8
8777;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Other Europe (excl. Dutch background);2013 3rd quarter;0.8
8778;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Other Europe (excl. Dutch background);2013 4th quarter;0.8
8779;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Other Europe (excl. Dutch background);2013;0.8
8780;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Other Europe (excl. Dutch background);2014 1st quarter;0.8
8781;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Other Europe (excl. Dutch background);2014 2nd quarter;0.8
8782;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Other Europe (excl. Dutch background);2014 3rd quarter;0.8
8783;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Other Europe (excl. Dutch background);2014 4th quarter;0.9
8784;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Other Europe (excl. Dutch background);2014;0.8
8785;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Other Europe (excl. Dutch background);2015 1st quarter;0.9
8786;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Other Europe (excl. Dutch background);2015 2nd quarter;1.0
8787;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Other Europe (excl. Dutch background);2015 3rd quarter;1.0
8788;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Other Europe (excl. Dutch background);2015 4th quarter;1.0
8789;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Other Europe (excl. Dutch background);2015;1.0
8790;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Other Europe (excl. Dutch background);2016 1st quarter;0.9
8791;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Other Europe (excl. Dutch background);2016 2nd quarter;1.0
8792;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Other Europe (excl. Dutch background);2016 3rd quarter;1.0
8793;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Other Europe (excl. Dutch background);2016 4th quarter;1.1
8794;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Other Europe (excl. Dutch background);2016;1.0
8795;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Other Europe (excl. Dutch background);2017 1st quarter;1.0
8796;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Other Europe (excl. Dutch background);2017 2nd quarter;1.0
8797;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Other Europe (excl. Dutch background);2017 3rd quarter;1.1
8798;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Other Europe (excl. Dutch background);2017 4th quarter;1.1
8799;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 45 to 49 euro;Other Europe (excl. Dutch background);2017;1.0
8800;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Total;2010 1st quarter;3.1
8801;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Total;2010 2nd quarter;3.1
8802;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Total;2010 3rd quarter;3.2
8803;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Total;2010 4th quarter;3.3
8804;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Total;2010;3.2
8805;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Total;2011 1st quarter;3.5
8806;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Total;2011 2nd quarter;3.4
8807;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Total;2011 3rd quarter;3.4
8808;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Total;2011 4th quarter;3.5
8809;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Total;2011;3.4
8810;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Total;2012 1st quarter;3.7
8811;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Total;2012 2nd quarter;3.8
8812;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Total;2012 3rd quarter;3.8
8813;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Total;2012 4th quarter;3.8
8814;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Total;2012;3.8
8815;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Total;2013 1st quarter;3.9
8816;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Total;2013 2nd quarter;3.9
8817;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Total;2013 3rd quarter;3.9
8818;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Total;2013 4th quarter;3.9
8819;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Total;2013;3.9
8820;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Total;2014 1st quarter;4.1
8821;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Total;2014 2nd quarter;4.2
8822;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Total;2014 3rd quarter;4.2
8823;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Total;2014 4th quarter;4.3
8824;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Total;2014;4.2
8825;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Total;2015 1st quarter;4.5
8826;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Total;2015 2nd quarter;4.5
8827;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Total;2015 3rd quarter;4.6
8828;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Total;2015 4th quarter;4.5
8829;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Total;2015;4.5
8830;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Total;2016 1st quarter;4.7
8831;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Total;2016 2nd quarter;4.8
8832;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Total;2016 3rd quarter;5.0
8833;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Total;2016 4th quarter;5.1
8834;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Total;2016;4.9
8835;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Total;2017 1st quarter;4.9
8836;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Total;2017 2nd quarter;5.0
8837;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Total;2017 3rd quarter;5.0
8838;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Total;2017 4th quarter;5.1
8839;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Total;2017;5.0
8840;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Africa;2010 1st quarter;0.2
8841;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Africa;2010 2nd quarter;0.2
8842;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Africa;2010 3rd quarter;0.2
8843;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Africa;2010 4th quarter;0.2
8844;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Africa;2010;0.2
8845;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Africa;2011 1st quarter;0.2
8846;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Africa;2011 2nd quarter;0.1
8847;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Africa;2011 3rd quarter;0.2
8848;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Africa;2011 4th quarter;0.2
8849;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Africa;2011;0.2
8850;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Africa;2012 1st quarter;0.2
8851;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Africa;2012 2nd quarter;0.2
8852;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Africa;2012 3rd quarter;0.2
8853;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Africa;2012 4th quarter;0.2
8854;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Africa;2012;0.2
8855;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Africa;2013 1st quarter;0.2
8856;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Africa;2013 2nd quarter;0.2
8857;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Africa;2013 3rd quarter;0.2
8858;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Africa;2013 4th quarter;0.2
8859;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Africa;2013;0.2
8860;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Africa;2014 1st quarter;0.2
8861;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Africa;2014 2nd quarter;0.2
8862;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 50 to 54 euro;Africa;2014 3rd quarter;0.2
