ID;EmployeeResidentNonResident;EmployeeCharacteristics;SectorBranchesSIC2008;JobCharacteristics;MigrationBackground;Periods;JobsForeignBornEmployees_1
7644;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Middle and Eastern European EU countries;2020;3.7
7645;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2010 1st quarter;7.1
7646;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2010 2nd quarter;7.0
7647;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2010 3rd quarter;7.1
7648;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2010 4th quarter;7.2
7649;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2010;7.1
7650;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2011 1st quarter;7.5
7651;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2011 2nd quarter;7.5
7652;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2011 3rd quarter;7.9
7653;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2011 4th quarter;7.9
7654;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2011;7.7
7655;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2012 1st quarter;8.4
7656;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2012 2nd quarter;8.4
7657;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2012 3rd quarter;8.6
7658;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2012 4th quarter;8.5
7659;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2012;8.5
7660;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2013 1st quarter;8.8
7661;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2013 2nd quarter;8.9
7662;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2013 3rd quarter;8.8
7663;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2013 4th quarter;8.9
7664;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2013;8.9
7665;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2014 1st quarter;9.2
7666;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2014 2nd quarter;9.2
7667;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2014 3rd quarter;9.2
7668;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2014 4th quarter;9.3
7669;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2014;9.2
7670;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2015 1st quarter;10.0
7671;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2015 2nd quarter;10.0
7672;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2015 3rd quarter;10.1
7673;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2015 4th quarter;10.1
7674;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2015;10.0
7675;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2016 1st quarter;10.4
7676;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2016 2nd quarter;10.6
7677;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2016 3rd quarter;10.6
7678;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2016 4th quarter;10.8
7679;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2016;10.6
7680;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2017 1st quarter;11.4
7681;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2017 2nd quarter;11.7
7682;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2017 3rd quarter;11.7
7683;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2017 4th quarter;12.0
7684;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2017;11.7
7685;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2018 1st quarter;12.7
7686;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2018 2nd quarter;13.2
7687;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2018 3rd quarter;13.4
7688;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2018 4th quarter;13.9
7689;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2018;13.3
7690;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2019 1st quarter;14.1
7691;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2019 2nd quarter;14.5
7692;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2019 3rd quarter;14.9
7693;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2019 4th quarter;15.2
7694;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2019;14.7
7695;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2020 1st quarter;17.1
7696;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2020 2nd quarter;17.1
7697;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2020 3rd quarter;17.5
7698;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2020 4th quarter;17.7
7699;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;European Union (excluding Dutch backg...;2020;17.4
7700;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2010 1st quarter;5.4
7701;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2010 2nd quarter;5.3
7702;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2010 3rd quarter;5.3
7703;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2010 4th quarter;5.4
7704;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2010;5.4
7705;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2011 1st quarter;5.6
7706;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2011 2nd quarter;5.6
7707;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2011 3rd quarter;5.7
7708;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2011 4th quarter;5.8
7709;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2011;5.7
7710;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2012 1st quarter;6.1
7711;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2012 2nd quarter;6.1
7712;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2012 3rd quarter;6.2
7713;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2012 4th quarter;6.0
7714;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2012;6.1
7715;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2013 1st quarter;6.4
7716;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2013 2nd quarter;6.4
7717;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2013 3rd quarter;6.3
7718;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2013 4th quarter;6.3
7719;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2013;6.3
7720;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2014 1st quarter;6.5
7721;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2014 2nd quarter;6.5
7722;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2014 3rd quarter;6.5
7723;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2014 4th quarter;6.4
7724;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2014;6.5
7725;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2015 1st quarter;6.9
7726;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2015 2nd quarter;6.9
7727;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2015 3rd quarter;6.9
7728;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2015 4th quarter;6.8
7729;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2015;6.9
7730;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2016 1st quarter;7.1
7731;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2016 2nd quarter;7.1
7732;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2016 3rd quarter;7.1
7733;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2016 4th quarter;7.2
7734;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2016;7.1
7735;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2017 1st quarter;7.6
7736;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2017 2nd quarter;7.7
7737;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2017 3rd quarter;7.7
7738;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2017 4th quarter;7.8
7739;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2017;7.7
7740;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2018 1st quarter;8.1
7741;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2018 2nd quarter;8.4
7742;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2018 3rd quarter;8.4
7743;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2018 4th quarter;8.6
7744;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2018;8.4
7745;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 30 to 34 euro;Other EU countries;2019 1st quarter;8.7
